Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Computer Hardware,Business Support Directorate,Specialist Computer Centres Plc,OP/L235508,136956.65,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,566218,721.74,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,568050,799.47,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,564355,832.78,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,567126,838.34,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2010,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,565296,860.55,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/11/2010,Training,International Policy Directorate,Amazon.co.uk,Jptak,24.24,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/11/2010,Training,International Policy Directorate,Google Chopsticks Club ,Jptak,56.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/11/2010,Training,Business Support Directorate,Wimbledon School,ss022,105.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/11/2010,Training,Business Support Directorate,Newport Council,ss023,62.2,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/11/2010,Training,Copyright and IP Enforcement Directorate,DOD's Parliamentary Co,SGILES,810.75,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2010,Training,Business Support Directorate,Business Language Services Ltd,10249,99.4,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2010,Training,Business Support Directorate,European Patent Office,40189691/20.10/10,1799.72,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/11/2010,Training,Business Support Directorate,Eliesha Training Ltd,11158,52.09,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2010,Training,Business Support Directorate,Business Language Services Ltd,10249,99.4,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2010,Training,Business Support Directorate,European Patent Office,40189691/20.10/10,1080.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/11/2010,Training,Innovation Directorate,Now-C-Change,NCC000257,447.7,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2010,Training,Innovation Directorate,Business Language Services Ltd,10249,49.7,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-481,114.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-480,369.24,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-481,114.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-480,492.32,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Innovation Directorate,Centre for Parliamentary Studies,CPS-481,114.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/11/2010,Training,Innovation Directorate,Central Office of Information,729666,200.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/11/2010,Training,Innovation Directorate,Central Office of Information,729733,200.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/11/2010,Training,Innovation Directorate,Central Office of Information,729778,200.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/11/2010,Training,Copyright and IP Enforcement Directorate,Eliesha Training Ltd,11158,52.09,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-481,114.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-480,369.21,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/11/2010,Training,Copyright and IP Enforcement Directorate,Forensic Telephone Communication Service,51337,95.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-480,123.07,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/11/2010,Training,Copyright and IP Enforcement Directorate,Business Language Services Ltd,10249,250.7,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2010,Training,Copyright and IP Enforcement Directorate,Forensic Telephone Communication Service,51202,340.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2010,Training,Copyright and IP Enforcement Directorate,Centre for Parliamentary Studies,CPS-481,685.6,Not known
