CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
50089424,THAT SUSHI SPOT,3475875100,Jewish/Kosher,10.0,Pre-permit (Operational) / Initial Inspection,3076480043.0,BK43
50085447,NEW CANARSIE CHICKEN & GYRO,7182510170,Chicken,47.0,Cycle Inspection / Initial Inspection,3080260045.0,BK50
41549545,IL SOGNO ITALIANO RISTORANTE,7183567800,Italian,16.0,Cycle Inspection / Re-inspection,5062570010.0,SI01
40755766,EL POLLO PERUANO,7184575130,Latin American,12.0,Cycle Inspection / Re-inspection,4019760007.0,QN26
50080372,Spice Hut,6464765853,Indian,10.0,Cycle Inspection / Re-inspection,1016760050.0,MN33
50045025,REBEL COFFEE,2126450825,Coffee/Tea,12.0,Cycle Inspection / Initial Inspection,1006250040.0,MN23
50017967,PROSPERITY NOODLE,9176831622,Chinese,,Administrative Miscellaneous / Re-inspection,3006970007.0,BK32
40808056,FEI TENG BAKERY,7188715889,Bakery Products/Desserts,14.0,Cycle Inspection / Initial Inspection,3055860009.0,BK34
50080570,IN FINE FETTLE,7189817888,American,18.0,Cycle Inspection / Initial Inspection,5003780029.0,SI07
41447522,FLATBUSH LATIN GRILL,7184622022,Latin American,17.0,Cycle Inspection / Re-inspection,3050990101.0,BK42
50053059,GUO BA SHABU SHABU,7185395115,Chinese,13.0,Pre-permit (Operational) / Initial Inspection,4073710006.0,QN46
50038802,REGO PARK COFFEE SHOP,7184592233,American,13.0,Cycle Inspection / Re-inspection,4030830056.0,QN18
50011542,SUP CRAB SEAFOOD RESTAURANT,2122958083,Chinese,12.0,Cycle Inspection / Initial Inspection,1003040002.0,MN27
50018772,LINDA ASIAN KITCHEN,7185741686,Chinese,27.0,Cycle Inspection / Initial Inspection,3017820030.0,BK35
40401742,MCDONALD'S,7182766230,Hamburgers,18.0,Cycle Inspection / Initial Inspection,4134910031.0,QN03
50048872,XING SHUN DA RESTAURANT,7183211262,Chinese,33.0,Cycle Inspection / Initial Inspection,4051370110.0,QN22
50043664,QUALITY EATS,2123379988,American,43.0,Cycle Inspection / Initial Inspection,1006100054.0,MN23
41390159,BOKA,2122282887,Korean,17.0,Cycle Inspection / Re-inspection,1004640055.0,MN22
40386619,PERIYALI,2124637890,Greek,13.0,Cycle Inspection / Initial Inspection,1008227502.0,MN13
50041083,TENZAN 89,2123693600,Japanese,16.0,Cycle Inspection / Initial Inspection,1015510050.0,MN32
50037092,SUBWAY,7185269800,Sandwiches,,Administrative Miscellaneous / Re-inspection,4092840019.0,QN54
50000083,KENNEDY FRIED CHICKEN,7183294139,Chicken,13.0,Cycle Inspection / Initial Inspection,2031590003.0,BX40
50086811,MOGETEE,9178618181,Coffee/Tea,12.0,Cycle Inspection / Initial Inspection,1007620042.0,MN15
41696014,NOISETTE CAFE,7184406450,Bakery Products/Desserts,24.0,Cycle Inspection / Initial Inspection,4006860008.0,QN70
41163307,TAQUERIA SAN PEDRO,2124912644,Mexican,17.0,Cycle Inspection / Re-inspection,1020830001.0,MN04
50052328,HADO ASIA BISTRO,7185585758,Japanese,24.0,Cycle Inspection / Initial Inspection,4096460032.0,QN35
41646824,IRIS TEA & BAKERY,7188881633,Bakery Products/Desserts,58.0,Cycle Inspection / Initial Inspection,4049767501.0,QN22
50065192,XINYANG RESTAURANT,7189618877,Chinese,10.0,Cycle Inspection / Initial Inspection,4050190108.0,QN22
41517801,CHINA GARDEN RESTAURANT,7189194476,Chinese,9.0,Cycle Inspection / Initial Inspection,3032520007.0,BK78
50088538,NATTO HIBACHI & SUSHI,7183691021,Japanese,8.0,Pre-permit (Operational) / Initial Inspection,3009690042.0,BK37
41692608,SWEET CHICK,3477254793,American,11.0,Cycle Inspection / Initial Inspection,3023190017.0,BK73
50087933,DUE FRATELLI,7189977111,Pizza,20.0,Cycle Inspection / Initial Inspection,4031710028.0,QN17
50008669,NUMERO 28 PIZZERIA,2127771555,Pizza,13.0,Cycle Inspection / Reopening Inspection,1004530002.0,MN22
50045161,JUNIOR'S PIZZA & FRIED CHICKEN,7186760770,Chicken,15.0,Cycle Inspection / Re-inspection,3072640020.0,BK19
50059292,HILLSIDE HOT BAGELS,7184652500,Bagels/Pretzels,16.0,Cycle Inspection / Initial Inspection,4105330001.0,QN06
50001751,KE ZHANG,7186610008,Chinese,12.0,Cycle Inspection / Re-inspection,4051480034.0,QN22
41677155,RICHIE RICH CARIBBEAN TASTE II,7187088431,Caribbean,37.0,Cycle Inspection / Initial Inspection,2047350004.0,BX03
50068084,99 CENTS HOT PIZZA,3479634238,Pizza,31.0,Cycle Inspection / Initial Inspection,2022930004.0,BX39
41463456,DUNKIN,7183514967,Donuts,7.0,Cycle Inspection / Initial Inspection,5036470058.0,SI45
50085407,BROOKLYN BAGEL,7184009042,Coffee/Tea,46.0,Cycle Inspection / Initial Inspection,3031710010.0,BK78
41565555,THE FLYING FISHERMAN,2128739400,Latin American,21.0,Cycle Inspection / Re-inspection,1011250062.0,MN14
41678386,CORKY'S DINER,7189332484,American,33.0,Cycle Inspection / Re-inspection,2031670068.0,BX05
50084838,HONGBAO RESTAURANT,9173066664,Chinese,29.0,Pre-permit (Operational) / Initial Inspection,3056370001.0,BK34
50060197,KOWLOON CAFE,7183331388,Chinese,17.0,Cycle Inspection / Re-inspection,3068580050.0,BK29
41085065,THE LEVEE,7182188787,American,13.0,Cycle Inspection / Re-inspection,3023580018.0,BK73
50098808,NOVO DELI,9296030012,Sandwiches,27.0,Pre-permit (Operational) / Initial Inspection,4043190010.0,QN23
41124419,BURGER HUT,7188426426,American,19.0,Cycle Inspection / Initial Inspection,2.0,
50005171,The Royal Palms Shuffleboard Club,3472234293,American,10.0,Cycle Inspection / Re-inspection,3004400012.0,BK37
41721670,MULBERRY & VINE,2127916300,American,30.0,Cycle Inspection / Initial Inspection,1001320027.0,MN24
50071429,DANIELLO'S PIZZERIA & RESTAURANT,2127525710,Pizza,15.0,Cycle Inspection / Initial Inspection,1013490003.0,MN19
50037042,COCO,2123322525,"Juice, Smoothies, Fruit Salads",20.0,Cycle Inspection / Initial Inspection,1008130050.0,MN17
41138983,HOTEL PIERRE-MAIN KITCHEN,2128388000,American,17.0,Cycle Inspection / Initial Inspection,1013750067.0,MN40
50051353,SUPER SKYWAY RESTAURANT & KEBAB HOUSE,7183733332,Pakistani,12.0,Cycle Inspection / Initial Inspection,3064430031.0,BK27
41138977,PERRINE,2129408195,American,17.0,Cycle Inspection / Initial Inspection,1013750067.0,MN40
41655272,PAPI'S PIZZERIA,6466926840,Pizza,4.0,Cycle Inspection / Initial Inspection,1021540001.0,MN35
50035397,PIZZA GYRO GRILL,7186765006,Pizza,22.0,Cycle Inspection / Initial Inspection,3067450009.0,BK43
50053346,COFFEE TOSSY,9295220944,Sandwiches/Salads/Mixed Buffet,40.0,Pre-permit (Operational) / Initial Inspection,4001750012.0,QN31
50034992,EMPANADAS MONUMENTAL,6469645773,Latin American,24.0,Cycle Inspection / Initial Inspection,1021530072.0,MN35
50080135,ADRIAEN BLOCK,7186061391,American,13.0,Pre-permit (Operational) / Initial Inspection,4008920086.0,QN72
