CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50005138,HENRY'S LOCAL,Brooklyn,570,HENRY STREET,11231.0,9176404867,Coffee/Tea,U,06D,Cycle Inspection / Re-inspection,BK33
41627762,PICCOLINO,Staten Island,3935,AMBOY ROAD,10308.0,7189675870,Italian,D,10F,Cycle Inspection / Initial Inspection,SI54
50018434,SEA WOLF,Brooklyn,19,WYCKOFF AVENUE,11237.0,7183883265,American,P,02G,Cycle Inspection / Initial Inspection,BK77
41722492,CHIPOTLE MEXICAN GRILL,Manhattan,4009,BROADWAY,10032.0,6464125429,Tex-Mex,B,,Administrative Miscellaneous / Initial Inspection,MN36
50084463,TETA'S KITCHEN,Queens,2802,21ST ST,11102.0,7187770106,Mediterranean,F,02B,Pre-permit (Operational) / Initial Inspection,QN71
40398434,CURRY IN A HURRY,Manhattan,119,LEXINGTON AVENUE,10016.0,2126830900,Indian,F,04H,Cycle Inspection / Initial Inspection,MN20
50069432,ACAPELLA 238 PIZZERIA,Bronx,124,WEST  238 STREET,10463.0,3478438090,Pizza,F,10B,Cycle Inspection / Re-inspection,BX28
41558716,THE NEW RED BRICK RESTAURANT,Brooklyn,1114,NOSTRAND AVENUE,11225.0,7184671005,Caribbean,D,10F,Cycle Inspection / Re-inspection,BK60
50052308,COURT PASTRY SHOP,Brooklyn,298,COURT STREET,11231.0,7188754820,Bakery Products/Desserts,F,10F,Cycle Inspection / Initial Inspection,BK33
41719175,BONJOUR CREPES & WINE,Manhattan,1585,2 AVENUE,10028.0,2125353140,Sandwiches,D,06C,Cycle Inspection / Initial Inspection,MN32
50004408,DI DI,Staten Island,183,PORT RICHMOND AVENUE,10302.0,3474595512,Chinese,D,06D,Cycle Inspection / Initial Inspection,SI28
50065982,EL CASTILLO DE MANHATTAN RESTAURANT,Manhattan,207,MADISON STREET,10002.0,2122272892,Spanish,D,04L,Pre-permit (Non-operational) / Initial Inspection,MN28
50017825,NEW JW GOLDEN BAKERY,Brooklyn,6017,4 AVENUE,11220.0,7187659199,Bakery Products/Desserts,U,04M,Cycle Inspection / Re-inspection,BK32
50066463,Cafe 53,Manhattan,1301,AVE OF TH AMER,,2129746075,American,U,10F,Cycle Inspection / Initial Inspection,
50086309,SAMBAK SAMBABJIP,Queens,4111,150TH ST,11355.0,7184611212,Korean,F,06C,Pre-permit (Operational) / Initial Inspection,QN51
41714997,LAFAYETTE,Manhattan,380,LAFAYETTE STREET,10003.0,2125333000,French,F,10B,Cycle Inspection / Initial Inspection,MN23
50051294,KENNEDY FRIED CHICKEN,Queens,13518,JAMAICA AVE,11418.0,7186586721,Chicken,D,09C,Cycle Inspection / Re-inspection,QN54
41292992,KOUZAN,Manhattan,685,AMSTERDAM AVENUE,10025.0,2122808099,Japanese,P,04L,Cycle Inspection / Initial Inspection,MN12
40618714,WEBSTER CAFE,Bronx,2873,WEBSTER AVENUE,10458.0,7187339634,American,P,04N,Cycle Inspection / Initial Inspection,BX05
50044433,OMAR'S MEDITERRANEAN CUISINE,Manhattan,154,EAST   55 STREET,10022.0,2122078302,Mediterranean,D,10B,Pre-permit (Operational) / Initial Inspection,MN19
50075076,E.TAVERNA,Queens,2619,23RD AVE,11105.0,7186066606,Greek,P,04H,Pre-permit (Operational) / Initial Inspection,QN72
40867120,GINA'S PIZZA,Queens,60-24,QUEENS BOULEVARD,11377.0,7185059390,Pizza,P,04M,Cycle Inspection / Initial Inspection,QN63
40994221,MANGIA,Manhattan,22,WEST   23 STREET,10010.0,2126470287,Italian,F,10B,Cycle Inspection / Initial Inspection,MN13
50038175,LENZ'S,Manhattan,514,EAST   20 STREET,10009.0,2129792859,Sandwiches,D,10F,Cycle Inspection / Re-inspection,MN50
50015096,LA PULPERIA,Manhattan,1626,2 AVENUE,10028.0,2129330757,Latin American,P,04L,Cycle Inspection / Initial Inspection,MN32
50044506,GEORGE'S,Brooklyn,753,CONEY ISLAND AVENUE,11218.0,7184844971,American,D,10F,Cycle Inspection / Re-inspection,BK42
50007620,Chaamlex,Manhattan,34,LEXINGTON AVENUE,10010.0,2129797778,Thai,D,04M,Cycle Inspection / Initial Inspection,MN21
50061153,PUERTO DE MANTA BAR LOUNGE,Queens,859,WYCKOFF AVENUE,11385.0,9174689850,Latin American,F,04H,Cycle Inspection / Re-inspection,QN20
50052932,DUNKIN,Queens,6906,ROOSEVELT AVE,11377.0,3476100630,Donuts,D,10F,Cycle Inspection / Initial Inspection,QN63
50015243,DUE MONDI CIVIC ASSOCIATION,Queens,97-26,99 STREET,11416.0,6313170118,American,D,10F,Cycle Inspection / Initial Inspection,QN53
41219223,ZENKICHI,Brooklyn,77,NORTH    6 STREET,11249.0,7183888985,Japanese,D,08A,Cycle Inspection / Re-inspection,BK73
40878675,TACO BELL PIZZA HUT EXPRESS,Manhattan,173,EAST  116 STREET,10029.0,2122897297,Tex-Mex,U,10F,Cycle Inspection / Initial Inspection,MN34
41721701,BROOKLYN BEET COMPANY,Brooklyn,7205,3 AVENUE,11209.0,3474920020,Czech,F,08A,Cycle Inspection / Initial Inspection,BK31
41708729,ENERGY FUEL CAFE,Brooklyn,606A,5 AVENUE,11215.0,7184996999,American,F,04E,Cycle Inspection / Initial Inspection,BK37
50044506,GEORGE'S,Brooklyn,753,CONEY ISLAND AVENUE,11218.0,7184844971,American,G,06D,Cycle Inspection / Initial Inspection,BK42
41471053,MEME MEDITERRANEAN,Manhattan,581,HUDSON STREET,10014.0,6466928450,Mediterranean,D,10F,Cycle Inspection / Initial Inspection,MN23
41378724,SCHNIPPER'S QUALITY KITCHEN,Manhattan,620,8 AVENUE,10018.0,2129212400,Hamburgers,D,06D,Cycle Inspection / Re-inspection,MN17
41548819,B & R SPICE WEST INDIAN FOOD,Queens,11106,FARMERS BOULEVARD,11412.0,7182641000,Caribbean,F,08A,Cycle Inspection / Re-inspection,QN08
50009755,FORNO ROSSO PIZZERIA,Brooklyn,327,GOLD STREET,11201.0,7184513800,Italian,D,10H,Cycle Inspection / Re-inspection,BK38
50086136,TANOSHII,Brooklyn,7718,5 AVENUE,11209.0,9293452059,Japanese,D,06D,Cycle Inspection / Initial Inspection,BK31
50036496,TAQUERIA ACATLAN,Brooklyn,298,IRVING AVENUE,11237.0,7184562095,Mexican,F,08A,Cycle Inspection / Initial Inspection,BK77
41589585,PIZZALICIOUS,Brooklyn,1675,NOSTRAND AVENUE,11226.0,3476278399,Pizza,P,04L,Cycle Inspection / Initial Inspection,BK95
41650004,CUISINE BY CLAUDETTE,Queens,143,BEACH  116 STREET,11694.0,7189455511,French,D,02G,Cycle Inspection / Initial Inspection,QN10
41115745,CHELA,Brooklyn,408,5 AVENUE,11215.0,7187881137,Mexican,F,06D,Cycle Inspection / Initial Inspection,BK37
50102888,TROPICAL EATS BAKERY & RESTAURANT,Brooklyn,1081,FLATBUSH AVENUE,11226.0,3472402941,,,,,BK95
41712453,MERRYLAND BUFFET,Bronx,2496,ELM PLACE,10458.0,7182208588,Chinese,D,10F,Cycle Inspection / Re-inspection,BX05
41461629,LOS BALBUENA RESTAURANT,Bronx,2376,RYER AVENUE,10458.0,3472713523,Latin American,D,08A,Cycle Inspection / Re-inspection,BX05
41333749,BRISAS DEL MAR RESTAURANT,Queens,99-02,ROCKAWAY BEACH BOULEVARD,11694.0,7184740770,Latin American,D,10B,Cycle Inspection / Re-inspection,QN10
40659197,OFF THE WAGON,Manhattan,109,MACDOUGAL STREET,10012.0,2125334487,American,D,06C,Cycle Inspection / Initial Inspection,MN23
50098415,RIVEL GRILL & BAR,Brooklyn,1809,EMMONS AVENUE,11235.0,7186180707,Russian,F,03A,Pre-permit (Operational) / Initial Inspection,BK17
50073573,HART BAR,Brooklyn,538,HART STREET,11221.0,6462648426,American,D,06D,Cycle Inspection / Initial Inspection,BK78
50050064,PEKING CHEF,Brooklyn,925,EAST  107 STREET,11236.0,7182721880,Chinese,G,04L,Cycle Inspection / Re-inspection,BK50
41443460,CASA NOVA,Staten Island,3555,VICTORY BOULEVARD,10314.0,7186821331,Italian,G,10B,Cycle Inspection / Initial Inspection,SI05
41664674,MORNING GLORY BAKERY,Queens,9305,63RD DR,11374.0,7188300888,Bakery Products/Desserts,U,04A,Cycle Inspection / Initial Inspection,QN18
41647006,MEAT VEGGIES & PASTA RESTAURANT,Queens,118-16,ROCKAWAY BOULEVARD,11420.0,7183233355,Caribbean,D,10F,Cycle Inspection / Initial Inspection,QN55
