Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2009,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,500.0
2006,U,2 yr Undergrad,7-BUS. NON-DEG,under age 22,Financial_Independent,2314.5
2013,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,3415.5
2018,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,119520.25
2003,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,7500.0
2011,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Independent,7350.0
2013,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,21970.51
2007,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,500.0
2000,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,566.67
2006,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,19716.41
2010,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,625.5
2001,U,4 yr Undergrad,1-CUNY SR,over age 50,Financial_Independent,872.5
2017,U,2 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Dependent,1500.0
2008,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Independent,4494.0
2008,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,500.0
2003,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,11277.75
2007,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,110368.73
2016,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,2000.0
2002,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,333.34
2000,U,2 yr Undergrad,2-CUNY CC,under age 22,Financial_Dependent,177996.76
2014,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,250.0
2019,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2422.01
2015,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,7362.5
2011,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,2348.25
2005,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,50594.96
2018,U,4 yr Undergrad,9-CHAPTER XXII,under age 22,Financial_Independent,10312.0
2008,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,1937.0
2012,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,52231.25
2006,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,1380855.07
