name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Museum of Croydon,Central Library,Croydon Clocktower,Katharine Street,Croydon,http://www.museumofcroydon.com/,100022917682.0,E09000008,Fairfield,E05011468,-0.0995104525480366,51.371910542400165,532380.9641287995,165363.9280014406,04/11/2021
Museum of Writing,c/o Institute of English Studies,University of London Senate House,Malet Street,Camden,http://www.museumofwriting.co.uk/,5016035.0,E09000007,Bloomsbury,E05000129,-0.1286980226587545,51.520643623813584,529926.9647969569,181850.92352089816,04/11/2021
The Foundling Museum,40 Brunswick Square,,,Camden,http://www.foundlingmuseum.org.uk/,5002560.0,E09000007,King's Cross,E05000141,-0.1216462226262959,51.5252701073732,530402.964669417,182377.92337760224,04/11/2021
Freud Museum,20 Maresfield Gardens,,,Camden,https://www.freud.org.uk/,5012934.0,E09000007,Frognal and Fitzjohns,E05000133,-0.1772463534350873,51.54842188893095,526481.9657331806,184854.9227054417,04/11/2021
Keats House,10 Keats Grove,Hampstead,,Camden,http://www.cityoflondon.gov.uk/keats,5015415.0,E09000007,Hampstead Town,E05000135,-0.1679301779810725,51.555569760606815,527107.9655625345,185665.92248556585,04/11/2021
British Museum,Great Russell Street,,,Camden,http://www.britishmuseum.org/,5027059.0,E09000007,Bloomsbury,E05000129,-0.126474755677237,51.51897146111293,530085.964753409,181668.9235696554,04/11/2021
2 Willow Road,Hampstead,,,Camden,https://www.nationaltrust.org.uk/2-willow-road,5032722.0,E09000007,Hampstead Town,E05000135,-0.1691501015670745,51.557162489166295,527018.9655857261,185840.92243757483,04/11/2021
British Library,96 Euston Road London,NW1 2DBÂ ,,Camden,http://www.bl.uk/,5037737.0,E09000007,St. Pancras and Somers Town,E05000143,-0.1269883546281268,51.52998677143432,530018.9647743074,182892.9232379205,04/11/2021
Burgh House and Hampstead Museum,New End Square,Hampstead,,Camden,www.burghhouse.org.uk/,5067420.0,E09000007,Hampstead Town,E05000135,-0.1750673392693131,51.55818089976963,526605.9656982652,185943.92240836265,04/11/2021
Royal College of Physicians of London Museum,Library Archive and Museum Services,11 St Andrews Place,RegentÃ¢ÂÂs Park,Camden,http://www.rcplondon.ac.uk/museum-and-garden,5069347.0,E09000007,Regent's Park,E05000142,-0.1449807444509275,51.525749292122754,528782.9651070784,182389.9233741672,04/11/2021
"Jewish Museum, London",Raymond Burton Hs,129-131 Albert Street,,Camden,http://www.jewishmuseum.org.uk/,5082327.0,E09000007,Camden Town with Primrose Hill,E05000130,-0.1446414661462595,51.53728156162264,528773.9651113618,183672.9230259779,04/11/2021
Wellcome Collection,183 Euston Road,,,Camden,http://www.wellcomecollection.org/,5083806.0,E09000007,Bloomsbury,E05000129,-0.133917453186942,51.525897574673365,529549.9649010886,182425.92336672544,04/11/2021
Government Art Collection,Queen's Yard,179a Tottenham Court Rd,,Camden,www.gac.culture.gov.uk/,5087928.0,E09000007,Bloomsbury,E05000129,-0.1349011106548484,51.52228915117114,529491.9649153412,182022.92347552377,04/11/2021
The British Museum,Great Russell Street,,,Camden,http://www.britishmuseum.org/,5090682.0,E09000007,Bloomsbury,E05000129,-0.1268478187088248,51.51936410624359,530058.9647608323,181711.92355810787,04/11/2021
Fenton House,Hampstead Grove,Hampstead,,Camden,https://www.nationaltrust.org.uk/fenton-house-and-garden,5126160.0,E09000007,Hampstead Town,E05000135,-0.1801305452655582,51.55891599474092,526252.9657949564,186016.9223874793,04/11/2021
Sir John SoaneÃÂ¼s Museum,13 LincolnÃ¢ÂÂs Inn Fields,,,Camden,http://www.soane.org/,5137612.0,E09000007,Holborn and Covent Garden,E05000138,-0.1175187122254291,51.51699356555784,530712.9645834898,181464.92362379425,04/11/2021
"Ben Uri Gallery, The Art Museum for Everyone, The London Jewish Museum of Art",108A Boundary Road,off Abbey Rd,St JohnÃ¢ÂÂs Wood,Camden,www.benuri.org.uk,5144462.0,E09000007,Kilburn,E05000140,-0.1853670788630233,51.53754080201588,525948.965876383,183630.9230354161,04/11/2021
"Grant Museum of Zoology and Comparative Anatomy, UCL",21 University Street,,,Camden,https://www.ucl.ac.uk/culture/grant-museum-zoology,5157295.0,E09000007,Bloomsbury,E05000129,-0.1346590924596637,51.52362521809698,529504.964912415,182171.92343539704,04/11/2021
Petrie Museum of Egyptian Archaeology,University College London,Malet Place,,Camden,http://www.culture24.org.uk/se000386,5157395.0,E09000007,Bloomsbury,E05000129,-0.1324938164167597,51.52404940079717,529653.9648722006,182222.92342130176,04/11/2021
"Geology (and Teaching & Research) Collections, UCL",Rock Room,"Room 4, First Floor",South Wing,Camden,https://www.ucl.ac.uk/culture/geology-collection,5157402.0,E09000007,Bloomsbury,E05000129,-0.1334575667464928,51.52410070818476,529586.9648903898,182226.9234203905,04/11/2021
UCL Art Museum,South Cloisters,UCL,,Camden,http://www.ucl.ac.uk/museums/uclart,5157412.0,E09000007,Bloomsbury,E05000129,-0.1332681446635311,51.52450236674428,529598.9648873068,182271.9234082466,04/11/2021
Crystal Palace Museum,Anerley Hill,,,Bromley,www.crystalpalacemuseum.org.uk/,100023247277.0,E09000006,Crystal Palace,E05000116,-0.0766990300834122,51.41977512368729,533828.9637365837,170727.92654295347,04/11/2021
Cartoon Museum,35 Little Russell Street,,,Camden,http://www.cartoonmuseum.org/,5158052.0,E09000007,Holborn and Covent Garden,E05000138,-0.1260229979566488,51.51768727604571,530120.9647435427,181526.92360788875,04/11/2021
Central Saint Martins,Granary Building,1 Granary Square,Kings Cross,Camden,www.arts.ac.uk/csm/,5171310.0,E09000007,St. Pancras and Somers Town,E05000143,-0.124459502902146,51.53643912724865,530175.9647308534,183614.92304057223,04/11/2021
House of Illustration,2 Granary Square King's Cross London,,,Camden,http://www.houseofillustration.org.uk/,5188521.0,E09000007,St. Pancras and Somers Town,E05000143,-0.124459502902146,51.53643912724865,530175.9647308534,183614.92304057223,04/11/2021
V&A Museum of Childhood,Cambridge Heath Road,,,Tower Hamlets,http://www.museumofchildhood.org.uk/,6039165.0,E09000030,Bethnal Green,E05009317,-0.0548819534182295,51.52905531229992,535022.9634149643,182919.92323003896,04/11/2021
Ragged School Museum,46-50 Copperfield Road,,,Tower Hamlets,http://www.raggedschoolmuseum.org.uk/,6048400.0,E09000030,Mile End,E05009327,-0.035664072205294,51.51866342706555,536386.963043386,181799.92353591527,04/11/2021
The Tower of London,St Katharine's & Wapping,London,,Tower Hamlets,www.âhrp.âorg.âuk/âTowerOfLondon/â,6086565.0,E09000030,St. Katharine's & Wapping,E05009330,-0.0762455120409141,51.50827523006401,533601.9637975731,180569.9238673529,04/11/2021
"Royal Armouries, Tower of London",HM Tower Of London,St Katharine's & Wapping,,Tower Hamlets,https://royalarmouries.org/visit-us/tower-of-london,6086565.0,E09000030,St. Katharine's & Wapping,E05009330,-0.0762455120409141,51.50827523006401,533601.9637975731,180569.9238673529,04/11/2021
The Fusilier Museum London,HM Tower of London,35 Tower Hill,St Katharine's & Wapping,Tower Hamlets,www.âfusiliermuseumlondon.âorg,6086845.0,E09000030,St. Katharine's & Wapping,E05009330,-0.0751885611573581,51.50839276466558,533674.9637775717,180584.92386318863,04/11/2021
Royal London Hospital Archives and Museum,Church of St Augustine with St Philip,Newark Street,,Tower Hamlets,,6118397.0,E09000030,Whitechapel,E05009336,-0.0604584893033538,51.51725954515276,534670.9635063211,181597.92359038812,04/11/2021
Museum of the Royal Pharmaceutical Society,1 Lambeth High Street,,,Tower Hamlets,www.ârpsgb.âorg/âmuseum,6136082.0,E09000030,Whitechapel,E05009336,-0.0682710819307461,51.50907928843063,534152.9636467223,180673.92383846024,04/11/2021
Museum of London Docklands,No. 1 Warehouse,West India Quay,,Tower Hamlets,http://www.museumoflondon.org.uk/docklands,6151122.0,E09000030,Canary Wharf,E05009323,-0.0238327003729596,51.50761933319317,537240.9628112616,180593.9238607176,04/11/2021
Trades Union Congress (TUC) Library Collections,Special Collections  London Metropolitan University,Wash Houses,Old Castle Street,Tower Hamlets,http://www.londonmet.ac.uk/tuc,6151239.0,E09000030,Spitalfields & Banglatown,E05009333,-0.0739980253616555,51.51577420253457,533735.963761032,181407.923642873,04/11/2021
Kelmscott House,26 Upper Mall,Hammersmith,,Hammersmith and Fulham,http://www.culture24.org.uk/se000423,34008094.0,E09000013,Ravenscourt Park,E05000261,-0.235504364388356,51.490581788342375,522597.96678886766,178323.9244799068,04/11/2021
Fulham Palace,Fulham Palace,Bishop's Ave,Fulham,Hammersmith and Fulham,www.fulhampalace.org/,34022825.0,E09000013,Palace Riverside,E05000259,-0.2151977038737725,51.47054466539842,524061.96639213513,176129.92507687438,04/11/2021
Wandle Industrial Museum,The Vestry Hall Annexe,London Road,Mitcham,Merton,http://www.wandle.org/,48083242.0,E09000024,Cricket Green,E05000458,-0.1680386681606487,51.40227250905107,527526.9654491642,168618.92711560632,04/11/2021
Museum of Wimbledon,22 Ridgway,Wimbledon,,Merton,http://www.wimbledonmuseum.org.uk/,48107954.0,E09000024,Village,E05000472,-0.216643417008084,51.42335474484919,524089.2663699552,170879.9265017315,04/11/2021
Wimbledon Lawn Tennis Museum,The All England Lawn Tennis Club,Church Road,Wimbledon,Merton,http://www.wimbledon.com/museum,48129052.0,E09000024,Village,E05000472,-0.2140286805745762,51.433719563950575,524242.9663421677,172036.926185578,04/11/2021
Barts Pathology Museum,3rd Floor,Robin Brook Centre  St Bartholomew's Hospital,West Smithfield,City and County of the City of London,www.qmul.ac.uk/pathologymuseum/,95512892.0,E09000001,Farringdon Without,E05009305,-0.1010176259615723,51.51764757892781,531855.9142228458,181567.22358538484,04/11/2021
St Bartholomews Hospital Museum,North Wing,St BartholomewÃ¢ÂÂs Hospital,West Smithfield,City and County of the City of London,https://www.bartshealth.nhs.uk/st-bartholomews-museum-and-archives,95512892.0,E09000001,Farringdon Without,E05009305,-0.1010176259615723,51.51764757892781,531855.9142228458,181567.22358538484,04/11/2021
Valence House Museum,Becontree Ave,,,Barking and Dagenham,www.âlbbd.âgov.âuk/âheritage,100002560.0,E09000002,Valence,E05000040,0.1342008960089666,51.55831213259783,548042.9598733315,186538.9222471987,04/11/2021
Dorich House Museum,Kingston University,67 Kingston Vale,,Kingston upon Thames,https://www.dorichhousemuseum.org.uk/,128010892.0,E09000021,Coombe Hill,E05000406,-0.2630882903421483,51.43334145927384,520833.96727172297,171912.92622145644,04/11/2021
Kingston Museum (and Heritage Service),W6 9TA,,,Kingston upon Thames,http://www.kingston.gov.uk/museum,128019799.0,E09000021,Grove,E05000408,-0.300284623055324,51.40955345453804,518309.9679553628,169206.9269558115,04/11/2021
The Stephens Collection,Avenue House,East End Road,Finchley,Barnet,http://www.london-northwest.com/sites/stephens,200035687.0,E09000003,Finchley Church End,E05000051,-0.1945731350116018,51.59660246677116,525148.3461021475,190182.981254336,04/11/2021
Royal Air Force Museum London (RAF),Grahame Park Way,Hendon,,Barnet,http://www.rafmuseum.org/,200049886.0,E09000003,Colindale,E05000046,-0.2381638996147206,51.59894703218979,522122.9669182169,190370.02118048567,04/11/2021
Barnet Museum (and Local History Society),31 Wood Street,Barnet,Hertfordshire,Barnet,www.barnetmuseum.co.uk,200128241.0,E09000003,Underhill,E05000060,-0.2022962598888733,51.652876541433066,524459.5062610903,196427.8395408899,04/11/2021
Museum of Domestic Design and Architecture,Middlesex University,9 Boulevard Drive,Beaufort Park,Barnet,http://www.culture24.org.uk/se000059,200141133.0,E09000003,Colindale,E05000046,-0.2419118573566134,51.59611571743892,521870.9669865351,190048.9212921576,04/11/2021
Brent Museum,Willesden Library Centre,95 High Rd,,Brent,https://www.brent.gov.uk/museum,202149110.0,E09000005,Willesden Green,E05000105,-0.2289214989831069,51.5466504009109,522903.9667075057,184569.92278124887,04/11/2021
Enfield Museum Service,Enfield Museum,The Dugdale Centre Thomas Hardy House,39 London Road,Enfield,http://www.enfield.gov.uk/museum,207007119.0,E09000010,Grange,E05000200,-0.0811181657507618,51.65031765779333,532849.2439714298,196356.57955065247,04/11/2021
ClockmakersÃÂ¼ Museum,Exhibition Road,Kensington,,Kensington and Chelsea,http://www.clockmakers.org/,217031151.0,E09000020,Brompton & Hans Town,E05009389,-0.1764927429098897,51.49729595478951,526675.9656802487,179170.92424946552,04/11/2021
