artist,title,album
king africa,la bomba,la bomba
itayp&uacute;,el cascabel,folklore latinamericano vol. i
savage garden,truly madly deeply,savage garden
no doubt,hey baby,rock steady
kenny loggins,forever,vox humana
green day,don't wanna fall in love,shenanigans
weird al yankovic,lasagna,even worse
they might be giants,istanbul (not constantinople),flood
lisa loeb,falling in love,firecracker
david archuleta,sweet caroline,
la oreja de van gogh,la playa,el viaje de copperpot
phil collins,you can't hurry love,hello i must be going!
hootie and the blowfish,so strange,fairweather johnson
hootie and the blowfish,she crawls away,fairweather johnson
jack johnson,breakdown,in between dreams
insideout,prayer of the children,innocence
ben folds five,selfless cold and composed,whatever and ever amen
they might be giants,sapphire bullets of pure love,flood
shawn colvin,get out of this house,a few small repairs
they might be giants,working undercover for the man,mink car
no doubt,ex-girlfriend,return of saturn
hootie and the blowfish,closet full of fear,musical chairs
shania twain,when,come on over
better than ezra,a lifetime,closer
michael mclean,homeless reprise,the forgotten carols
blackout allstars,i like it (like that),i like it like that soundtrack
alanis morissette,all i really want,jagged little pill
fray,over my head (cable car),how to save a life
human league,don't you want me,dare!
dave matthews band,rapunzel,before these crowded streets
man&aacute;,de pies a cabeza,donde jugaran los ni&ntilde;os?
u2,with a shout,october
live,stage (clean),throwing copper
metallica,fuel,reload
kid rock,bawitdaba,devil without a cause
modest mouse,ocean breathes salty,good news for people who love bad news
the simpsons,he's the man (feat. shawn colvin),testify
semisonic,closing time,feeling strangely fine
jewel,foolish games,pieces of you
rem,orange crush,green
crazy town,butterfly,gift of game
spin doctors,two princes,pocket full of kryptonite
les mis&eacute;rables,dog eats dog,les mis&eacute;rables soundtrack
boyz ii men,it's so hard to say goodbye to yesterday,cooleyhighharmony
deep blue something,wouldn't change a thing,home
g. love and special sauce,cold beverage,g. love and special sauce
bowling for soup,1985,a hangover you don't deserve
alanis morissette,everything (clean),so-called chaos
green day,brain stew,insomniac
u2,until the end of the world,achtung baby
smashing pumpkins,to forgive,mellon collie and the infinite sadness - dawn to dusk
lit,my own worst enemy,a place in the sun
lisa loeb and nine stories,stay (i missed you),reality bites soundtrack
tracy chapman,tell it like it is,new beginning
they might be giants,mr. xcitement,mink car
michael mclean,let it go,you've always been there for me
will smith,gettin' jiggy wit it,big willie style
amy grant,good for me,heart in motion
norah jones,one flight down,come away with me
they might be giants,out of jail,john henry
radiohead,creep (clean),pablo honey
no doubt,simple kind of life,return of saturn
jewel,drive to you,goodbye alice in wonderland
heart,these dreams,heart
red hot chili peppers,dani california,stadium arcadium
beatles,ob-la-di ob-la-da,the beatles (the white album)
moby,porcelain,play
sam cardon,one by one,book of mormon soundtrack
green day,outsider,shenanigans
sublime,santeria,sublime
enya,shepherd moons,paint the sky with stars:  the best of enya
man&aacute;,hundido en un rinc&oacute;n,cuando los angeles lloran
toad the wet sprocket,all i want,fear
sheryl crow,motivation,detours
metallica,wherever i may roam,metallica
green day,jesus of suburbia (clean),american idiot
they might be giants,in the middle in the middle in the middle,no!
jimmy buffett,changes in latitude,changes in latitudes changes in attitudes
u2,desire,rattle and hum
arrested development,tennessee,3 years 5 months &amp; 2 days in the life of--
dave matthews band,stolen away on 55th &amp; 3rd,stand up
la mosca ts&eacute; ts&eacute;,te quiero comer la boca,buenos muchachos
they might be giants,letterbox,flood
billy joel,tell her about it,an innocent man
matthew wilder,break my stride,i don't speak the language
they might be giants,twisting,flood
erasure,a little respect,the innocents
enya,anywhere is,paint the sky with stars:  the best of enya
new found glory,glory of love,from the screen to your stereo
bryan adams,kids wanna rock,reckless
tracy chapman,another sun,let it rain
barenaked ladies,tonight is the night i fell asleep at the wheel,maroon
hootie and the blowfish,motherless child,cracked rear view
creed,higher,human clay
elgar,pomp and circumstance,
forever plaid,caribbean plaid,forever plaid soundtrack
sinead o'connor,nothing compares 2 u,i do not want what i haven't got
dexy's midnight runners,come on eileen,too-rye-ay
aerosmith,eat the rich,get a grip
red hot chili peppers,minor thing,by the way
hootie and the blowfish,leaving,looking for lucky
jewel,absence of fear,spirit
the simpsons,o pruny night,testify
jackson 5,i want you back,diana ross presents the jackson 5
enya,book of days,paint the sky with stars:  the best of enya
sheryl crow,diamond road,c'mon c'mon
natasha bedingfield,pocketful of sunshine,pocketful of sunshine
counting crows,insignificant,saturday nights &amp; sunday mornings
general,juana,
dashboard confessional,vindicated,spiderman 2 soundtrack
weird al yankovic,jurassic park,alapalooza
shawn colvin,steady on,steady on
they might be giants,aka driver,john henry
they might be giants,experimental film,the spine
eminem,without me (clean),the marshall mathers lp
will smith,miami,big willie style
green day,poprocks &amp; coke,international superhits!
aquabats,martian girl!,the fury of the aquabats
red hot chili peppers,snow (hey oh),stadium arcadium
u2,new year's day,war
elemeno-p,building zion,no more lonely people
duran duran,hungry like the wolf,rio
they might be giants,i hope that i get old before i die,they might be giants
enigma,return to innocence,the cross of changes
aquabats,my skateboard!,the fury of the aquabats
aquabats,phantasma del mar!,the fury of the aquabats
suzanne vega,tom's diner,solitude standing
jimmy ray,are you jimmy ray?,jimmy ray
simon and garfunkel,homeward bound,parsley sage rosemary and thyme
they might be giants,she's an angel,severe tire damage
they might be giants,we want a rock,flood
mendelssohn,wedding march,
corrs,runaway,forgiven not forgotten
aquabats,the baker!,myths legends and other amazing adventures vol. 2
linkin park,what i've done,minutes to midnight
aquabats,chemical bomb,the floating eye of death
ben folds five,evaporated,whatever and ever amen
information society,what's on your mind (pure energy),information society
bonnie tyler,total eclipse of the heart,faster than the speed of night
mormon tabernacle choir,for the beauty of the earth,consider the lilies
john lennon,imagine,imagine
carly smithson,without you,
factoria,todav&iacute;a,
shawn colvin,if i were brave,a few small repairs
itayp&uacute;,la adelita,folklore latinamericano vol. ii
ben folds five,one angry dwarf and 200 solemn faces,whatever and ever amen
dave matthews band,spoon,before these crowded streets
bon jovi,in these arms,keep the faith
nirvana,lounge act,nevermind
corrs,one night,in blue
alan silvestri,forrest gump suite,forrest gump soundtrack
music man,marian the librarian,music man soundtrack
the simpsons,springfield blows,testify
lisa loeb,dance with the angels,firecracker
ataris,the boys of summer,so long astoria
les mis&eacute;rables,the runaway cart,les mis&eacute;rables soundtrack
pretenders,i'll stand by you,last of the independents
wings,maybe i'm amazed,wings over america
311,love song,50 first dates soundtrack
hootie and the blowfish,a smile,looking for lucky
rod stewart,downtown train,storyteller
jet,are you gonna be my girl,get born
jack johnson,gone,on and on
little shop of horrors,suddenly seymour,little shop of horrors soundtrack
jack johnson,fortunate fool,brushfire fairytales
queen,bohemian rhapsody,a night at the opera
kenny loggins,conviction of the heart,leap of faith
counting crows,hanging tree,saturday nights &amp; sunday mornings
corrs,breathless,in blue
moby,guitar flute &amp; string,play
kenneth cope,man of sorrows,my servant joseph
the simpsons,scorpio end credits,go simpsonic with the simpsons
train,calling all angels,my private nation
elton john,rocket man,honky ch&acirc;teau
they might be giants,she's an angel,they might be giants
jenny frogley,anchor of my soul,especially for youth - joy in the journey (1998)
