Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Number of non-payroll staff (contingent labour and consultants/consultancy),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,"Grand Total 
(workforce numbers)",Unnamed: 28,Payroll staff costs,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Non-Payroll staff (contingent labour/consultancy) costs,Unnamed: 37,Unnamed: 38,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,174,162.74,224,217.32,688,674.5,647,621.79,121,117.76,0,0,"1,854","1,794",11,11,1,1,101,91.16,1,1,114,104.16,"1,968","1,898","£7,025,599.93","£16,944.11","£132,476.23","£122,453.91","£1,402,919.12","£672,532.00","£9,372,925.30","£1,577,768.08","£384,945.59","£1,962,713.67","£11,335,638.97",
Driving Standards Agency,Executive Agency,Department for Transport,233,195.9,1773,1663.71,218,213.9,43,42.45,2,2,0,0,"2,269","2,118",5,5,2,2,0,0,0,0,7,7,"2,276","2,125","£14,893,946.97","£109,282.41",£0.00,"£188,891.78","£817,404.16","£328,319.33","£16,337,844.65","£36,400.92",,"£36,400.92","£16,374,245.57",MEC grant cost of £10.7m accrued
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4111,3631.81,723,684.79,588,568.32,129,124.98,5,5,0,0,"5,556","5,015",0,0,3,2.2,3,2.8,0,0,6,5,"5,562","5,020","£7,695,274.00","£85,845.00","£2,269.00","£280,456.00","£1,509,697.00","£547,512.00","£10,121,053.00",,"£531,881.00","£531,881.00","£10,652,934.00",
Highways Agency,Executive Agency,Department for Transport,1373,1326.9,332,313.43,1375,1327.71,328,317.86,37,36.19,0,0,"3,445","3,322",0,0,75,26.01,0,0,0,0,75,26.01,"3,520","3,348","£8,482,281.79","£634,257.06","£9,807.44","£159,904.99","£1,647,230.34","£708,434.70","£11,641,916.32","£521,232.29",£0.00,"£521,232.29","£12,163,148.61",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,412,375.32,227,214.54,304,282.12,107,104.87,5,4.49,0,0,"1,055",981,24,24,0,0,0,0,0,0,24,24,"1,079","1,005","£2,271,035.23","£202,104.32","£6,000.00","£109,894.43","£461,468.84","£203,367.90","£3,253,870.72","£121,297.07","£207,537.00","£328,834.07","£3,582,704.79",
Vehicle Certification Agency,Executive Agency,Department for Transport,41,34.52,36,34.45,75,73.2,12,12,1,1,0,0,165,155,4,4,0,0,0,0,0,0,4,4,169,159,"£473,670.00","£14,232.00",,"£16,035.00","£81,615.00","£39,122.00","£624,674.00","£14,347.11",,"£14,347.11","£639,021.11",
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1036,969.04,792,776.93,409,403.88,42,41.95,4,4,0,0,"2,283","2,196",30,29.17,12,12,21,21,0,0,63,62.17,"2,346","2,258","£4,532,580.00","£304,903.31",£0.00,"£361,561.98","£892,468.71","£385,292.76","£6,476,806.76","£208,712.78","£72,474.92","£281,187.70","£6,757,994.46",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,5,3,2.7,2,2,0,0,11,11,0,0,0,0,2,1.5,0,0,2,1.5,13,12,"£42,643.23","£4,395.28",£0.00,£0.00,"£5,289.75","£4,042.19","£56,370.45","£35,997.00",£626.70,"£36,623.70","£92,994.15",
