Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2005,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,5354.5
2003,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,1796.5
2009,U,5 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,3377.0
2004,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Dependent,500.0
2003,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,13367.83
2009,U,2 yr Undergrad,8-OTHER,age 26 - 35,Financial_Independent,314.67
2000,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,43485.0
2004,G,Grad,5-INDEPENDENT,under age 22,Financial_Dependent,950.0
2013,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,250.0
2008,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,12613.34
2015,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,250.0
2013,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,12000.0
2004,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Dependent,7558.38
2008,U,5 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Dependent,2234.0
2017,U,2 yr Undergrad,7-BUS. NON-DEG,age 22 - 25,Financial_Independent,213.33
2019,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,19406.55
2007,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,1102.0
2002,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,2422.5
2007,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2035.0
2003,U,2 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,414742.35
2010,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,1276.0
2001,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,212.5
2015,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,352.0
2014,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,250.0
2005,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,16923.75
2016,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,756.0
2016,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,98556.25
2003,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Dependent,9800.0
2015,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,302616.0
2007,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,11358.5
2018,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,2039430.69
2009,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,250.0
2003,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,63652.25
2012,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,23001.0
2004,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,57025.0
2007,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,25880.0
2015,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Independent,3900.0
2018,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,1500.0
2015,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,12762.5
2009,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,250.0
2006,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,5000.03
2004,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,1000.0
2005,U,2 yr Undergrad,7-BUS. NON-DEG,under age 22,Financial_Dependent,3748.5
2008,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,6083.34
2000,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,8374.71
2001,U,2 yr Undergrad,8-OTHER,age 36 - 50,Financial_Independent,3454.34
2013,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,4025.0
2019,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,789.54
2009,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,33595.5
2013,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,8999.38
2003,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,3762.5
2007,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,2522682.5
2016,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,17981.0
2010,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,1876.5
2002,U,2 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,249674.0
2011,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,1476.0
2014,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,2345688.5
2007,U,4 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,9378.67
2011,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,1410.0
