OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
12/11/2014,2014,998,Governement agency complaint,Unclassified Establishments,Inquiry,,  ,         
12/07/2020,2020,316,Billing Issues,Credit Card Issuers,Capital One Services,Richmond,VA,23285-5870
04/29/2016,2016,303,Questionable Quality Product/Service,Broadband Providers,Comcast,Fife,WA,98424    
01/07/2019,2019,999,Other/Miscellaneous,Software Publishers,,La Jolla,CA,92037    
05/29/2020,2020,999,Other/Miscellaneous,Broadband Providers,Comcast,Fife,WA,98424    
12/15/2017,2017,999,Other/Miscellaneous,Contractors,Leroy Surveyors & Engineers,Puyallup,WA,98373    
12/24/2020,2020,301,Failure To Deliver/Perform,Retail Sales,Rosauers Supermarket,Spokane ,WA,99218    
10/13/2020,2020,512,Forged or Altered Documents,Auto Sales,Larson Automotive Group,Fife,WA,98424    
02/12/2021,2021,998,Governement agency complaint,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
04/02/2020,2020,203,Internet & Mobile device based transaction,"Food, beverage, tobacco, textiles, apparel Manufac",HelloFresh,New York,NY,10010    
10/31/2013,2013,446,Third-Party Loan Modification Issue,Mortgage Lending,,Newport,CA,92660    
11/21/2013,2013,301,Failure To Deliver/Perform,Telecommunications,Assurance Wireless,Irving,TX,75016-9014
11/24/2020,2020,999,Other/Miscellaneous,Health Care,Pacific Clinic fka Tricities Court Club,Kennewick,WA,99336    
04/16/2020,2020,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
01/04/2021,2021,999,Other/Miscellaneous,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
10/15/2020,2020,300,Excessive Price or Charge,"Electronic Equip., Appliance & Component Mfg'ring ",Roku Inc,Los Gatos,CA,95032    
07/07/2020,2020,18,Service Representation,"Admin. & support services (office admin., faciliti",Jpay Inmate Services,Miami,FL,33181    
10/14/2015,2015,204,Unsolicited E-mail,Software Publishers,Microsoft Corporation,Redmond,WA,98052    
05/15/2015,2015,404,Collection Practices,Collections,Commonwealth Financial Network,San Diego,CA,92101-3706
04/16/2020,2020,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
03/06/2017,2017,212,Spyware / Malware,"Admin. & support services (office admin., faciliti",,Cheyenne,WY,82001    
08/08/2014,2014,316,Billing Issues,Telecommunications,CenturyLink,Spokane,WA,99208    
01/15/2019,2019,19,Inadequate Disclosure,Insurance,Regence Blue Shield,Seattle,WA,98101-1314
02/03/2020,2020,22,Failure To Adjust/Refund,Travel,,Washington,DC,20036    
07/08/2019,2019,316,Billing Issues,Broadband Providers,Comcast,Fife,WA,98424    
06/29/2017,2017,303,Questionable Quality Product/Service,Lessors of Miniwarehouse & Self-Storage Units,,Vancouver,WA,98685    
09/24/2020,2020,999,Other/Miscellaneous,Air Transportation,American Airlines,Fort Worth,TX,75261-9612
07/09/2018,2018,999,Other/Miscellaneous,Mortgage Lending,"Movement Mortgage, Inc",Bellingham,WA,98225    
07/25/2014,2014,316,Billing Issues,Telecommunications,DIRECTV,Dallas,TX,75202    
03/20/2017,2017,301,Failure To Deliver/Perform,Travel,Expedia,Seattle,WA,98119    
10/19/2017,2017,7,Warranty,"Electronic Equip., Appliance & Component Mfg'ring ",LG Electronics,Huntsville,AL,35824    
08/21/2020,2020,206,Right To Cancel,Telecommunications,Sprint Executive Services,Irving,TX,75016    
01/20/2016,2016,404,Collection Practices,Unclassified Establishments,,,FL,         
04/23/2021,2021,104,Non-Fulfillment,Telecommunications,AT&T Mobility,Dallas,TX,75202    
02/04/2013,2013,5,Bait & Switch,Retail Sales,,Seattle,WA,98103    
09/18/2017,2017,22,Failure To Adjust/Refund,Pet Care Services (except Veterinary),PetSmart,Phoenix,AZ,85027    
02/25/2021,2021,999,Other/Miscellaneous,Telecommunications,Verizon Wireless,Chandler,AZ,85226    
04/20/2015,2015,13,Misrepresentation of product or service,Auto Sales,Corn Motors,Everett,WA,98204    
09/07/2018,2018,62,Price Gouging,Retail Sales,,Lacey,WA,98516    
11/22/2013,2013,303,Questionable Quality Product/Service,Auto Sales,Carter Volkswagen,Seattle,WA,98107    
