CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
40601006,LA BRUSCHETTA RESTAURANT,7184994994,Pizza,11.0,Cycle Inspection / Re-inspection,3009890042.0,BK37
50053479,THINK COFFEE,9176922571,Coffee/Tea,9.0,Cycle Inspection / Initial Inspection,1008777501.0,MN21
50045844,HOT SPOT NABE,7183311818,Chinese/Japanese,7.0,Cycle Inspection / Re-inspection,3061930042.0,BK28
50036902,POTENTIAL VEGETAL (PV HERBS & VITAMINS) INC,3472404670,"Juice, Smoothies, Fruit Salads",20.0,Cycle Inspection / Initial Inspection,3050540035.0,BK42
41376261,BEARD PAPA'S CREAM PUFFS,2127993770,Bakery Products/Desserts,9.0,Cycle Inspection / Initial Inspection,1011680010.0,MN12
50070925,PAPA JOHN'S PIZZA,2129967272,Pizza,14.0,Cycle Inspection / Initial Inspection,1016800030.0,MN33
50037583,SID GOLD'S REQUEST ROOM,2122291948,American,7.0,Cycle Inspection / Re-inspection,1008020006.0,MN17
41620905,IL TINELLO RISTORANTE,2122454388,Italian,5.0,Cycle Inspection / Re-inspection,1012710049.0,MN17
40838447,STARBUCKS,2122425981,Coffee/Tea,10.0,Cycle Inspection / Initial Inspection,1005777502.0,MN23
50052462,LUIGI PIZZERIA & RESTAURANT,7184235400,Pizza,27.0,Cycle Inspection / Initial Inspection,4060900025.0,QN46
50081662,HEY DESSERT,7185678987,Chinese,39.0,Pre-permit (Operational) / Re-inspection,3057840047.0,BK34
50087322,LAS AMERICAS BAKERY,2149987333,Bakery Products/Desserts,53.0,Pre-permit (Operational) / Initial Inspection,4014920021.0,QN29
50053059,GUO BA SHABU SHABU,7185395115,Chinese,21.0,Cycle Inspection / Initial Inspection,4073710006.0,QN46
41469761,PIO-PIO,7184264900,Latin American,12.0,Cycle Inspection / Initial Inspection,4014320001.0,QN28
40396264,DA NICO RESTAURANT,2123431212,Italian,12.0,Cycle Inspection / Initial Inspection,1004710029.0,MN24
50008317,EL PATRON RESTAURANT & LOUNGE,3478617065,Mexican,12.0,Cycle Inspection / Initial Inspection,5005120001.0,SI37
41599164,DEL FRISCO'S GRILLE,2127670371,American,24.0,Cycle Inspection / Initial Inspection,1012660001.0,MN17
41580782,GOGO-GI,2125430922,Korean,24.0,Cycle Inspection / Initial Inspection,1021220058.0,MN36
41279788,POD CAFE,2123550300,Coffee/Tea,21.0,Cycle Inspection / Initial Inspection,1013240034.0,MN19
50070510,GYRO CORNER NYC,7183595454,Greek,12.0,Pre-permit (Operational) / Initial Inspection,4060250038.0,QN46
50043779,CAFFE BENE,2125107957,Coffee/Tea,11.0,Cycle Inspection / Reopening Inspection,1004060008.0,MN22
