Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,18+,Manhattan,"GAY MEN'S HEALTH CRISIS, INC.",156,16,
2AP,18+,Schoharie,County,120,15,
3AP,0-17,Region,Region,1740,0,
3AP,0-17,Manhattan,CHARLES B WANG COMM HTH CTR I,23,0,
2AP,0-17,Niagara,County,181,5,NO
2AP,0-17,Chenango,County,69,3,
2AP,18+,Oneida,FAXTON - ST. LUKE'S HEALTHCARE,428,41,
3AP,18+,Saint Lawrence,ST. LAWRENCE PSYCHIATRIC CENTER,140,0,NO
2AP,0-17,Allegany,County,24,0,
2AP,18+,Rockland,SUMMIT PARK HOSPITAL ROCKLAND,23,5,
2AP,0-17,Chautauqua,County,186,5,
2AP,18+,Queens,NEW YORK PSYCHOTHERAPY AND COUNSELING CENTER,272,82,YES
3AP,18+,Madison,County,164,0,
3AP,18+,Staten Island,"PROJECT HOSPITALITY, INC.",79,1,
2AP,0-17,Manhattan,County,1562,51,
2AP,18+,Jefferson,County,369,36,
3AP,18+,Fulton,NATHAN LITTAUER HOSPITAL,214,0,
2AP,18+,Ontario,County,665,65,
2AP,0-17,Bronx,ASONE HEALTH CARE IPA,95,0,
3AP,18+,Queens,NEW YORK HOSP MED CTR QUEENS,231,4,NO
2AP,18+,Westchester,"JAWONIO, INC.",88,17,
3AP,18+,Schenectady,"CONIFER PARK, INC.",139,0,NO
2AP,18+,Chenango,CHENANGO COUNTY COMMUNITY SERVICES BOARD,89,8,
2AP,0-17,Bronx,County,1305,40,
3AP,18+,Orange,County,1116,4,NO
2AP,18+,Cortland,County,229,14,
3AP,0-17,Chemung,County,116,0,NO
2AP,18+,Manhattan,County,24226,2557,
3AP,0-17,Chautauqua,CHAUTAUQUA COUNTY MENTAL HYGIENE SERVICES,110,0,NO
2AP,18+,Staten Island,OMH STATE PC NETWORK,491,107,YES
3AP,0-17,Clinton,CHAMPLAIN VALLEY PHYSICIANS HOSP MED CENTER,56,0,
2AP,0-17,Tioga,County,11,0,
2AP,18+,Orange,EZRAS CHOILIM HLTH CTR INC,134,15,NO
2AP,18+,Bronx,P R O M E S A,43,3,NO
2AP,18+,Bronx,County,14962,1533,
2AP,18+,Sullivan,County,1791,213,
