Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
3AP,18+,Erie,MEDFIRST URGENT CARE PLLC,95,1,NO
2AP,18+,Brooklyn,County,12277,1329,
3AP,18+,Ontario,County,98,1,
3AP,18+,Schenectady,VISITING NURS SVC/SCHTD & SAR CNTY,200,2,
2AP,18+,Franklin,County,457,33,
2AP,18+,Herkimer,County,279,24,
2AP,18+,Orange,County,1444,183,
3AP,18+,Brooklyn,VISITING NURSE SERVICE OF NEW YORK,27,0,NO
3AP,18+,Staten Island,METRO COMMUNITY HEALTH CENTERS INC,125,2,
2AP,18+,Cattaraugus,County,259,34,NO
2AP,18+,Westchester,OMH STATE PC NETWORK,27,4,NO
2AP,18+,Nassau,FEDERATION EMPLOYMENT & GUIDANCE SERVICE,247,37,NO
3AP,18+,Sullivan,County,1742,12,
3AP,18+,Wyoming,County,99,0,NO
3AP,18+,Bronx,"SAMARITAN DAYTOP VILLAGE, INC.",27,0,
2AP,0-17,Bronx,ASTOR SERVICES FOR CHILDREN & FAMILIES,78,2,
3AP,0-17,Monroe,County,597,0,NO
2AP,18+,Rensselaer,County,426,49,
2AP,18+,Cortland,County,53,8,
3AP,18+,Niagara,County,1382,7,
2AP,18+,Sullivan,"REHABILITATION SUPPORT SERVICES, INC.",57,19,YES
2AP,18+,Manhattan,"THE NEW YORK GRACIE SQUARE HOSPITAL, INC.",156,21,
2AP,18+,Westchester,County,3730,286,
3AP,18+,Erie,COMM HLTH CTR BUFFALO INC,128,1,NO
2AP,0-17,Bronx,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,47,1,
2AP,0-17,Schenectady,SCHENECTADY FAMILY HEALTH SER,49,6,
3AP,18+,Oneida,County,1593,4,
2AP,0-17,Seneca,County,21,0,
2AP,0-17,Saratoga,SARATOGA COUNTY COMMUNITY SERVICES BOARD,45,2,NO
3AP,18+,Orange,County,1458,2,
2AP,18+,Westchester,ST. JOHN'S RIVERSIDE HOSPITAL,619,52,
3AP,18+,Clinton,County,357,1,
2AP,18+,Schuyler,County,74,4,
3AP,18+,Putnam,County,272,0,
3AP,18+,Yates,County,111,0,NO
2AP,18+,Dutchess,County,1,0,
3AP,18+,Oneida,INSIGHT HOUSE CHEM DEP SVCS,59,0,NO
3AP,18+,Saint Lawrence,County,535,2,
3AP,18+,Oneida,MCPIKE ADDICTION TREATMENT CENTER,38,0,
2AP,18+,Nassau,County,5286,588,
2AP,0-17,Brooklyn,County,1064,50,
2AP,18+,Suffolk,County,4301,531,
2AP,18+,Cattaraugus,County,244,30,NO
2AP,18+,Nassau,WINTHROP-UNIVERSITY HOSPITAL,70,7,NO
2AP,0-17,Chautauqua,THE CHAUTAUQUA CENTER INC,40,1,
2AP,0-17,Westchester,"WESTCHESTER JEWISH COMMUNITY SERVICES, INC.",109,2,NO
2AP,18+,Queens,MEDISYS FAMILY CARE,48,9,
2AP,0-17,Westchester,"CAPITAL BEHAVIORAL HEALTH NETWORK, LLC BHCC",41,2,
2AP,0-17,Orange,County,222,11,
3AP,18+,Albany,ST. PETER'S HOSPITAL,46,1,
2AP,18+,Cortland,"ONONDAGA CASE MANAGEMENT SERVICES, INC.",22,1,NO
3AP,18+,Chautauqua,"LAKE SHORE BEHAVIORAL HEALTH, INC.",22,1,NO
3AP,0-17,Staten Island,RICHMOND MEDICAL CENTER DBA RICHMOND UMC,64,0,NO
3AP,18+,Nassau,"OPTIONS FOR COMMUNITY LIVING, INC.",54,0,NO
2AP,18+,Onondaga,County,1,0,
2AP,0-17,Rensselaer,County,153,6,
3AP,18+,Montgomery,County,258,0,
3AP,18+,Cayuga,CAYUGA COUNTY COMMUNITY SERVICES BOARD,194,0,
3AP,18+,Monroe,CATHOLIC FAMILY CENTER,120,0,
2AP,18+,Queens,"SAMARITAN DAYTOP VILLAGE, INC.",695,61,NO
3AP,18+,Oneida,FAXTON - ST. LUKE'S HEALTHCARE,236,1,NO
2AP,0-17,Jefferson,CHILDREN'S HEALTH HOME OF UPSTATE NEW YORK,23,0,
3AP,18+,Chenango,County,78,0,
3AP,0-17,Herkimer,LITTLE FALLS HOSPITAL,21,0,NO
3AP,18+,Monroe,VILLA OF HOPE,36,0,
3AP,0-17,Jefferson,"NORTH COUNTRY TRANSITIONAL LIVING SERVS, INC.",56,0,
3AP,0-17,Albany,NEW YORK CITY CHILDREN'S CENTER,35,0,
3AP,0-17,Staten Island,STATEN ISLAND UNIVERSITY HOSPITAL,62,0,
3AP,18+,Brooklyn,MAIMONIDES MEDICAL CENTER,669,4,NO
2AP,18+,Niagara,County,1348,104,
2AP,18+,Manhattan,"DAYTOP VILLAGE,INC",53,5,NO
2AP,18+,Schoharie,County,119,12,
3AP,0-17,Queens,County,640,0,
3AP,18+,Chenango,County,166,1,
3AP,18+,Orleans,County,125,0,
3AP,18+,Delaware,County,86,0,NO
2AP,18+,Dutchess,ASONE HEALTH CARE IPA,38,4,
2AP,18+,Erie,HEALTH HOME PARTNERS OF WNY LLC,600,66,
3AP,0-17,Jefferson,"NORTH COUNTRY TRANSITIONAL LIVING SERVS, INC.",27,0,NO
3AP,18+,Schenectady,County,1633,2,
2AP,18+,Orange,CATHOLIC CHARITIES COMMUNITY SVCS. OF ORANGE,46,1,
2AP,18+,Westchester,PHELPS MEMORIAL HOSPITAL CENTER,314,40,
2AP,18+,Franklin,County,382,32,
2AP,18+,Sullivan,County,430,52,
3AP,18+,Rockland,County,1067,4,
2AP,0-17,Manhattan,BETH ISRAEL MEDICAL CENTER,37,0,
3AP,18+,Nassau,ADVANTAGE CARE D AND T CTR,118,1,NO
2AP,18+,Jefferson,County,492,47,
2AP,0-17,Warren,WARRENSBURG HEALTH CENTER,45,0,NO
3AP,0-17,Wyoming,County,32,0,
2AP,18+,Suffolk,NORTH SHORE-LONG ISLAND JEWISH HEALTH SYSTEM,164,29,
2AP,0-17,Ulster,MENTAL HEALTH ASSOCIATION IN ULSTER COUNTY,27,1,NO
2AP,18+,Erie,HEALTH HOME PARTNERS OF WNY LLC,65,10,NO
2AP,18+,Westchester,"MONTEFIORE MOUNT VERNON HOSPITAL, INC.",146,17,NO
3AP,18+,Manhattan,VISITING NURSE SERVICE OF NEW YORK,375,0,NO
3AP,18+,Albany,County,1796,6,
2AP,18+,Livingston,County,338,28,
3AP,0-17,Erie,"BAKER HALL, INC. DBA BAKER VICTORY SERVICES",64,0,NO
2AP,0-17,Allegany,County,21,1,
3AP,18+,Westchester,County,2226,9,NO
3AP,18+,Fulton,County,256,0,
3AP,0-17,Albany,OMH STATE PC NETWORK,186,0,
2AP,18+,Schoharie,County,118,11,
2AP,0-17,Saint Lawrence,ST. LAWRENCE PSYCHIATRIC CENTER,47,1,NO
3AP,18+,Erie,GREATER BUFFALO UNITED IPA,365,1,
2AP,18+,Albany,ADDICTIONS CARE CTR OF ALBANY,21,2,
3AP,18+,Brooklyn,County,11491,49,
2AP,18+,Essex,County,126,15,
2AP,0-17,Saratoga,SARATOGA COUNTY COMMUNITY SERVICES BOARD,49,2,NO
2AP,0-17,Saint Lawrence,OMH STATE PC NETWORK,50,0,
3AP,18+,Bronx,"RIVERDALE MENTAL HEALTH ASSOCIATION, INC.",52,1,
3AP,18+,Suffolk,OMH STATE PC NETWORK,87,1,
3AP,18+,Staten Island,RICHMOND MEDICAL CENTER DBA RICHMOND UMC,648,7,NO
2AP,18+,Manhattan,"COMMUNITY HEALTHCARE NETWORK, INC.",827,79,NO
3AP,18+,Onondaga,County,2613,11,
