Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2015,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,250.0
2001,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,978.0
2010,U,4 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Dependent,18077.0
2019,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,216138.12
2002,U,2 yr Undergrad,7-BUS. NON-DEG,age 26 - 35,Financial_Independent,1830.0
2004,U,2 yr Undergrad,8-OTHER,age 26 - 35,Financial_Independent,3150.0
2001,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,4910.0
2009,U,2 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,5106.5
2004,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,923.0
2007,U,4 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Dependent,500.0
2003,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,1137.5
2007,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,500.0
2017,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,500.0
2003,U,5 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,1006.25
2011,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,67079.75
2012,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,175468.58
2000,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,4382.0
2003,U,5 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,2702.75
2000,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,137.5
2011,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,1250.0
2015,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,13209.5
2018,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,9524.5
2003,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,224000.0
2006,G,Grad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,275.0
2008,U,2 yr Undergrad,2-CUNY CC,over age 50,Financial_Independent,541.0
2007,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,13291.5
2008,U,5 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,6102.0
2010,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,10740.5
2015,U,5 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,652.0
2018,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,2350.0
2010,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,14739.0
2004,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,44871.75
2001,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,1293.0
2017,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,375.0
2006,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,1651.34
2003,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,133509.0
2006,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,5474.0
2006,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,9079.0
2007,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,7625.0
2004,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,76150.06
2006,U,2 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,7266.0
2012,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,58678.79
2000,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,4434.68
2005,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,5950.5
2007,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,1586730.2
2012,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,250.0
2009,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,1250.0
2010,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Dependent,111790.75
2019,U,2 yr Undergrad,7-BUS. NON-DEG,over age 50,Financial_Independent,2549.63
