Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2011,Furniture & Fittings,Business Support Directorate,Sunlux Blinds Curtains Interiors Ltd,393,486.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2011,Maintenance of computers,Business Support Directorate,2e2 UK Limited,PRI025778,17576.59,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2011,Marketing and Publicity ,Innovation Directorate,3PLUK Ltd,20533,100.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,30/03/2011,Marketing and Publicity ,Innovation Directorate,Aardman Animations Ltd,22242,3286.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,30/03/2011,Marketing and Publicity ,Innovation Directorate,Aardman Animations Ltd,22243,9187.2,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2011,Innovation Challenge Fund,Innovation Directorate,Aberystwyth University,FASTFOWARDMAR11,89600.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,29/03/2011,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,49652,33.6,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,29/03/2011,Travel and subsistence UK,Trade Marks Directorate,Personal expenses name witheld,49646,123.15,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,03/03/2011,Travel and subsistence UK,Trade Marks Directorate,Personal expenses name witheld,49433,194.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,581876,663.4,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/03/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,580127,697.42,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,16/03/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,580998,714.42,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,28/03/2011,Agency Staff,International Policy Directorate,Acorn Recruitment Ltd,582739,901.54,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/03/2011,IT Contractors,Business Support Directorate,Actica Consulting Ltd,3453,3280.6,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2011,Travel and subsistence Overseas,Trade Marks Directorate,Personal expenses name witheld,49615,519.85,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,49508,3.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,49444,27.75,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,29/03/2011,Travel and subsistence UK,Chief Executive's Office,Personal expenses name witheld,49651,16.3,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2011,Travel and subsistence Overseas,Chief Executive's Office,Personal expenses name witheld,49610,26.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,29/03/2011,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,49651,35.2,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2011,Travel and subsistence UK,Chief Executive's Office,Personal expenses name witheld,49609,69.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2011,Travel and subsistence Overseas,Chief Executive's Office,Personal expenses name witheld,49614,158.04,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,09/03/2011,Entertainment,Chief Executive's Office,Personal expenses name witheld,49466,426.85,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,10/03/2011,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,49485,692.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,25/03/2011,Entertainment,Chief Executive's Office,Personal expenses name witheld,49614,706.62,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,24/03/2011,Travel and subsistence Overseas,Chief Executive's Office,Personal expenses name witheld,49611,1544.58,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9943395,22.74,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,15/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9972558,85.02,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,23/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9992026,91.33,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,01/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9932647,103.68,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9940267,113.76,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9798713,312.55,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,08/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9921671,640.99,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,18/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9979020,1276.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,30/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR9990480,1276.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,30/03/2011,Paper,Finance Directorate,Antalis McNaughton Ltd,JR1012032,1312.97,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/03/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Applied Products,510570,420.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,14/03/2011,Travel and subsistence UK,Innovation Directorate,ARVAL PHH Business Solutions Ltd,1015887837,73.33,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/03/2011,Travel and subsistence UK,Innovation Directorate,ARVAL PHH Business Solutions Ltd,1015847305,110.03,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2011,Travel and subsistence UK,Innovation Directorate,ARVAL PHH Business Solutions Ltd,1015977554,125.99,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,22/03/2011,Travel and subsistence UK,Innovation Directorate,ARVAL PHH Business Solutions Ltd,1015715489,129.55,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2011,Travel and subsistence UK,Innovation Directorate,ARVAL PHH Business Solutions Ltd,1015921597,184.94,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2011,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,49563,168.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,30/03/2011,Research Projects,Innovation Directorate,Aston University,28024241,18602.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,31/03/2011,Research Projects,Innovation Directorate,AW Dnes,280256,25375.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,11/03/2011,Travel and subsistence Overseas,Patents Directorate,Personal expenses name witheld,49507,159.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2011,Travel and subsistence UK,Innovation Directorate,B McCaul,49447,26.4,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,04/03/2011,Travel and subsistence UK,Innovation Directorate,B McCaul,49448,270.7,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,07/03/2011,Travel and subsistence UK,Innovation Directorate,BAF Randel,49439,124.9,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,02/03/2011,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,49423,39.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,15/03/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M107381,88.8,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M107383,93.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M107384,372.0,Not known
"Department for Business, Innovation and Skills",Intellectual Property Office,17/03/2011,Minor Buiding Works &Maintenance,Business Support Directorate,Balfour Beatty WorkPlace Ltd,M107389,372.0,Not known
