ï»¿Terme_de_recherche,Nombre_total_de_recherches_uniques,Pages_vues_(resultats)_par_recherche,Sorties_apres_recherche_(%),Precision_des_recherches_(%),Temps_apres_recherche,Etendue_moy._de_la_recherche
homeland,206,1.13,12.14%,61.64%,95.98,2.51
game of thrones,203,1.5,0.99%,32.79%,210.34,7.3
jason bourne,172,1.08,10.47%,74.73%,64.26,1.56
harry potter,131,1.55,2.29%,41.38%,275.53,9.6
suicide squad,108,1.39,12.96%,58.67%,52.78,1.79
house of cards,105,1.3,3.81%,50.36%,197.7,5.67
elle,100,1.17,5.00%,43.59%,96.33,6.38
star wars,100,1.46,7.00%,41.78%,233.92,8.55
sully,94,1.04,9.57%,71.43%,57.46,1.56
la femme qui fuit,92,1.21,4.35%,45.05%,120.42,4.16
outlander,92,1.4,1.09%,34.11%,349.05,8.54
elena ferrante,87,1.17,1.15%,45.10%,252.76,7.67
1984,78,1.21,2.56%,59.57%,180.55,5.4
yoga,78,1.28,0.00%,67.00%,247.06,9.1
Homeland,74,1.14,10.81%,52.38%,83.2,2.36
madame figaro,73,1.15,0.00%,41.67%,99.53,3.84
snowden,71,1.14,5.63%,70.37%,114.56,3.83
the americans,69,1.1,4.35%,55.26%,193.43,4.71
james patterson,66,1.23,3.03%,40.74%,242.02,11.21
la fille du train,66,1.36,6.06%,40.00%,144.59,4.55
mr robot,65,1.15,15.38%,46.67%,71.14,2.78
trone de fer,65,1.34,20.00%,41.38%,98.63,3.22
en as-tu vraiment besoin,63,1.32,3.17%,30.12%,169.89,5.3
kim thuy,58,1.26,0.00%,50.68%,400.03,9.09
python,58,1.55,0.00%,44.44%,535.86,14.21
vikings,58,1.28,1.72%,54.05%,273.81,6.43
weyes blood,56,1.04,7.14%,86.21%,59.32,1.95
yes lawd,56,1.0,0.00%,100.00%,15.89,1.0
chanson douce,55,1.27,0.00%,64.29%,178.35,4.53
guy delisle,54,1.78,0.00%,36.46%,265.43,9.85
stephen king,54,1.3,3.70%,50.00%,401.81,10.35
guy corneau,53,1.51,3.77%,32.50%,324.91,11.13
ray donovan,53,1.15,5.66%,75.41%,72.4,2.3
walking dead,53,1.4,1.89%,47.30%,317.64,7.96
guillaume musso,52,1.67,0.00%,41.38%,466.87,10.88
hell or high water,52,1.08,13.46%,67.86%,78.98,1.62
hval,52,1.0,0.00%,98.08%,11.69,1.12
kevin morby,52,1.02,9.62%,75.47%,53.81,1.44
preoccupations,52,1.02,1.92%,92.45%,18.19,1.31
bat for lashes bride,51,1.0,0.00%,100.00%,10.39,1.0
devendra ape,51,1.0,0.00%,100.00%,5.8,0.0
nelly arcan,51,1.25,0.00%,46.88%,287.88,9.29
tribe called quest,51,1.02,0.00%,96.15%,16.76,1.35
young thug jeffery,51,1.0,0.00%,100.00%,10.71,1.0
miss peregrine,50,1.14,10.00%,68.42%,101.56,2.82
sherlock,50,1.42,4.00%,39.44%,195.62,6.42
the fall,46,1.28,4.35%,52.54%,221.0,9.15
florence foster jenkins,45,1.04,4.44%,76.60%,341.38,5.24
michel onfray,45,1.13,2.22%,60.78%,265.71,5.13
feux,44,1.0,2.27%,63.64%,63.84,2.45
Game of thrones,44,1.59,2.27%,18.57%,95.93,7.68
leon rojus,44,1.02,0.00%,100.00%,6.09,0.0
marissa nadler,44,1.0,0.00%,95.45%,19.32,1.48
michel tremblay,44,1.23,2.27%,51.85%,392.91,10.05
nora roberts,44,1.34,2.27%,42.37%,431.32,15.07
girls,43,1.12,9.30%,66.67%,110.42,3.21
julianna barwick,43,1.0,0.00%,100.00%,43.3,1.07
La femme qui fuit,43,1.19,6.98%,43.14%,177.79,4.51
le plongeur,43,1.6,4.65%,39.13%,128.3,4.21
leonard cohen,43,1.37,0.00%,52.54%,258.47,9.21
metallica,43,1.28,4.65%,58.18%,266.09,7.7
sapiens,43,1.53,2.33%,48.48%,284.28,6.23
carve the mark,42,1.05,14.29%,34.09%,44.74,2.21
classixx,42,1.02,2.38%,97.67%,92.21,3.57
fear the walking dead,42,1.02,26.19%,65.12%,18.93,1.05
guide de la route,42,1.43,7.14%,41.67%,350.1,8.62
mutual benefit,42,1.0,0.00%,100.00%,20.21,1.24
the walking dead,42,1.24,2.38%,55.77%,201.86,7.6
