Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,48514,29.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Entertainment,Chief Executive's Office,Personal expenses name witheld,48509,31.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Travel and subsistence UK,Business Support Directorate,Personal expenses name witheld,48515,32.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Travel and subsistence UK,Patents Directorate,Personal expenses name witheld,48512,50.38,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Law Reporting,Patents Directorate,Marten Walsh Cherer Ltd,73550,109.82,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Office Cleaning,Business Support Directorate,Gremer Chemicals(UK) Ltd,213284,377.23,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Furniture & Fittings,Business Support Directorate,Healthy Workstations Ltd,19263,732.03,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Office Cleaning,Business Support Directorate,OCS Group UK Ltd,OC00656573,747.33,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Minor Building Works & Maintenance,Business Support Directorate,WG Evans Grounds Maintenance  Ltd,15608,1220.83,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Postage,Business Support Directorate,Royal Mail,9030578040,1851.05,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Law Reporting,Trade Marks Directorate,Marten Walsh Cherer Ltd,73375,1945.76,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA152362,2772.06,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Computer hardware and software,Patents Directorate,Specialist Computer Centres Plc,OP/L195875,6968.51,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Maintenance of computers,Business Support Directorate,Westpoint Peripherals Ltd,8406,7555.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Training,Business Support Directorate,Computerlinks UK Ltd,SINV00290788,8180.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,IT Contractors,Business Support Directorate,Capgemini UK Plc,2.60E+13,10265.45,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Office Cleaning,Business Support Directorate,OCS Group UK Ltd,OC00656573,11029.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,IT Contractors,Business Support Directorate,LA International Computer Consultants Ltd,LA152317,11304.57,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/09/2010,Online Bureau Charges,Patents Directorate,European Patent Office,40186924B,112951.26,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Geze UK Ltd,902126188,-129.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Entertainment,Business Support Directorate,Garraways,0,-49.92,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Innovation Directorate,Companies House,NIILE46,2.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib 249,4.61,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,HSE,Maurice 442,5.58,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ss021,8.47,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Newey & Eyre,yjohn356,11.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,Amazon,Fduts,12.01,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib 259,12.63,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Training,Finance Directorate,Uni of Glam,ANBEC143,14.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Copyright and IP Enforcement Directorate,Amazon,Fduts,14.24,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,48516,14.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,Personal expenses name witheld,48521,14.85,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ss020,14.96,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Finance Directorate,Riviera Media,ANBEC140,16.47,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Liscome,Maurice 438,16.87,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Acorn Glass,Maurice 445,18.52,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Machinery hire and maintenance,Business Support Directorate,Xerox (UK) Ltd,AF238888,19.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Finance Directorate,Tamar Telecoms,ANBEC141,19.64,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence UK,Innovation Directorate,Personal expenses name witheld,48517,20.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Eureka,yjohn355,21.38,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Newey & Eyre,Maurice 433,21.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Tesco,yjonn358,24.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib 247,24.01,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Computer hardware and software,Business Support Directorate,Websitepulse,ROMOU270,24.44,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Griffiths Signs,yjohn357,24.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 446,26.08,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 254,28.73,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence Overseas,Patents Directorate,NCP Birmingham,HHART14,28.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screwfix,ethib 256,29.85,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Screw fix,Maurice 430,30.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Office Supplies,Business Support Directorate,Whitakers,yjohn353,33.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Finance Directorate,Amazon,MHUMP28,33.37,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Books  Newspapers & Publications,Business Support Directorate,Amazon,ROMOU271,37.34,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Travel and subsistence Overseas,Patents Directorate,NCP Birmingham,HHART16,41.9,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Other Stationery & General Supplies,Finance Directorate,Label Planet,ANBEC145,42.3,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey&Eyre,ethib 253,43.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,02/09/2010,Entertainment,Business Support Directorate,Coinadrink,0,44.56,Not recorded
