OpenedDate,OpenedYear,PracticeCode,PracticeName,BusinessCategory,BusinessName,BusinessCity,BusinessState,BusinessZip
05/30/2013,2013,316,Billing Issues,Credit Card Issuers,First Premier Bank,Sioux Falls,SD,57104    
12/29/2017,2017,303,Questionable Quality Product/Service,Educational Services,The Miracle School,Seattle,WA,98133    
06/17/2019,2019,301,Failure To Deliver/Perform,Auto Sales,Freedom RV,Liberty Lake,WA,99016    
01/04/2017,2017,15,Privacy Abuse,Retail Sales,Bevmo,Tacoma,WA,98409    
03/30/2015,2015,316,Billing Issues,Commercial Banking,Capital One Services,Richmond,VA,23285-5870
03/06/2019,2019,203,Internet & Mobile device based transaction,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
09/11/2020,2020,518,Unregistered or Unlicensed Business,Amusement & Recreational Industries,,Coalfax,WA,99111    
05/29/2020,2020,642,Landlord/Tenant - Residential,Residential Landlord,,Spokane,WA,99201    
04/03/2013,2013,614,Screening / denial of sale or tenancy,MHU Use Only - MH landlord,Golden Valley Estates ,Irvine,CA,92614    
07/30/2019,2019,22,Failure To Adjust/Refund,Telecommunications,T-Mobile,Albuquerque,NM,87176    
10/08/2014,2014,444,Foreclosure Issue,Mortgage Lending,Mortgage Investors Corporation,Saint Petersburg,FL,33707    
06/28/2013,2013,19,Inadequate Disclosure,Telecommunications,T-Mobile,Albuquerque,NM,87176    
12/11/2017,2017,301,Failure To Deliver/Perform,Educational Services,FBA Stores LLC aka FBA Distributors LLC aka AWS LLC ,Braintree,MA,12184    
04/18/2016,2016,301,Failure To Deliver/Perform,Telecommunications,Verizon Wireless,Chandler,AZ,85226    
04/08/2019,2019,518,Unregistered or Unlicensed Business,Consumer Lending & Transfer Agents,Sierra Lending LLC,Santa Ysabel,CA,92070    
09/01/2020,2020,996,COVID-19,"Promoters of performing arts, sports & similar eve",Brown Paper Tickets,Seattle,WA,98109    
02/04/2014,2014,206,Right To Cancel,Broadband Providers,Comcast,Fife,WA,98424    
03/01/2013,2013,405,Credit Reporting Error,Collections,Grimm Collections,Tumwater,WA,98511    
10/29/2020,2020,301,Failure To Deliver/Perform,Travel,Reed Hein & Associates LLC dba Timeshare Exit Team,Bellevue,WA,98005    
02/01/2018,2018,213,Free to Pay,Electronic Shopping,,Long Beach,CA,90807-5607
04/17/2015,2015,998,Governement agency complaint,Executive offices,,Seattle,WA,98104    
08/19/2019,2019,999,Other/Miscellaneous,Telecommunications,Q Link Wireless LLC,Dania,FL,33004    
10/31/2018,2018,640,Fees,Broadband Providers,Comcast,Fife,WA,98424    
05/26/2021,2021,999,Other/Miscellaneous,Books/Magazines & Directory Publishers,Synapse Group/Mags for Miles,Stamford,CT,06905    
08/20/2018,2018,999,Other/Miscellaneous,"Accounting, Tax Preparation Bookkeeping & Payroll ",,Tacoma,WA,98405    
03/12/2020,2020,632,Rules & enforcement,MHU Use Only - MH landlord,Bow Lake Residential Community,Seattle,WA,98105-4905
01/21/2021,2021,25,Refund Policies,Travel,Holland America Lines,Seattle,WA,98119    
04/29/2020,2020,13,Misrepresentation of product or service,Broadband Providers,Hughes Network Systems,Germantown,MD,20876    
08/27/2014,2014,301,Failure To Deliver/Perform,Electronic Shopping,,Lake Mary ,FL,32746    
06/04/2015,2015,318,Charge:Service Not Performed/Product not delivered,Broadband Providers,WebSource Marketing/Visible.net/Captures.com,Redmond,WA,98052    
04/25/2020,2020,642,Landlord/Tenant - Residential,Residential Landlord,Targa Real Estate Services,Federal Way,WA,98063    
02/26/2020,2020,316,Billing Issues,Collections,"Synergetic Communication, Inc.",Houston,TX,77092-2016
06/29/2018,2018,999,Other/Miscellaneous,Insurance,John Hancock Life Insurance,Boston,MA,02117-1700
06/20/2016,2016,404,Collection Practices,Telecommunications,Magic Jack LP / Ymax Communications,West Palm Beach,FL,33405    
10/29/2020,2020,301,Failure To Deliver/Perform,Travel,Expedia,Seattle,WA,98119    
02/25/2019,2019,301,Failure To Deliver/Perform,Contractors,,Milton,WA,98354    
07/08/2015,2015,316,Billing Issues,Financing,Jpay Inmate Services,Miami,FL,33181    
07/28/2020,2020,999,Other/Miscellaneous,Legal Services,JND Legal Administration,Seattle,WA,98111    
04/26/2021,2021,316,Billing Issues,Telecommunications,AT&T Mobility,Dallas,TX,75202    
09/06/2018,2018,203,Internet & Mobile device based transaction,Electronic Shopping,Instant Elixir Proactive,Greensboro,NC,27408    
02/11/2013,2013,316,Billing Issues,Telecommunications,CenturyTel,Monroe,LA,71203    
09/13/2018,2018,999,Other/Miscellaneous,Health Care,Apple Valley Dental & Braces - Spokane Valley,Spokane Valley,WA,98216    
11/17/2020,2020,27,Senior Exploitation,Contractors,,Port Angeles,WA,         
08/10/2018,2018,422,Credit/Financing,Credit Card Issuers,Capital One Services,Richmond,VA,23285-5870
02/18/2014,2014,403,Collection Activity (Fraudulent or mistaken ID),Collections,,,WA,         
02/12/2020,2020,22,Failure To Adjust/Refund,Computer & office machine system repair & maintena,Sapphire Softech Solutions,Oakland,CA,91786    
07/05/2017,2017,7,Warranty,"Electronic Equip., Appliance & Component Mfg'ring ",,Ashland City,TN,37015    
04/04/2019,2019,999,Other/Miscellaneous,Broadband Providers,DIRECTV,Dallas,TX,75202    
06/06/2018,2018,999,Other/Miscellaneous,Radio & Television Broadcasting,,Des Plaines,IL,60017-1278
07/13/2020,2020,640,Fees,Broadband Providers,Frontier Communications ,,WA,         
11/03/2016,2016,206,Right To Cancel,Security Systems (including locksmiths),Guardian Protection Services,Warrendale,PA,15086    
08/20/2018,2018,999,Other/Miscellaneous,Electronic Shopping,,San Jose,CA,95131    
12/01/2015,2015,4,Prizes & Promotion Issue,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
01/22/2014,2014,404,Collection Practices,Collections,Columbia Collections Services,Milwaukie,OR,97269    
05/14/2020,2020,415,Unemployment Fraud,Government Agencies,Washington State Employment Security Department,Olympia,WA,98507    
04/15/2020,2020,203,Internet & Mobile device based transaction,Electronic Shopping,,Bellingham,WA,98226    
09/18/2017,2017,203,Internet & Mobile device based transaction,Telecommunications,Sprint Executive Services,Irving,TX,75016    
04/14/2020,2020,222,Advance Fee Fraud,"Electronic Equip., Appliance & Component Mfg'ring ",,St Paul,MN,55102    
08/05/2019,2019,25,Refund Policies,Electronic Shopping,Amazon.com,Seattle,WA,98108-1226
03/24/2017,2017,316,Billing Issues,Telecommunications,T-Mobile,Albuquerque,NM,87176    
06/24/2013,2013,7,Warranty,Automobile Manufacturing,American Honda Motor Company,Torrance,CA,90501-2746
10/26/2017,2017,316,Billing Issues,Parking Lots & Garages,Platinum Parking,Shoreline,WA,98155    
11/27/2017,2017,999,Other/Miscellaneous,Telecommunications,T-Mobile,Albuquerque,NM,87176    
04/08/2016,2016,7,Warranty,Retail Sales,AgriShop,Auburn,WA,98001    
03/06/2017,2017,303,Questionable Quality Product/Service,Auto Sales,Camp Chevrolet,Spokane,WA,99207    
01/19/2018,2018,11,Service Protection Plan Issue,Broadband Providers,Comcast,Fife,WA,98424    
06/22/2016,2016,16,Identity Theft,Commercial Banking,US Bank Corporate Compliance,Minneapolis,MN,55402    
05/30/2020,2020,999,Other/Miscellaneous,Auto Repair,Les Schwab,Bend,OR,97708    
06/23/2017,2017,320,Unsatisfactory Repair/Service,Health Care,,Walla Walla,WA,99362    
01/20/2016,2016,404,Collection Practices,Consumer Lending & Transfer Agents,,Southfield,MI,48034    
03/26/2021,2021,999,Other/Miscellaneous,Charities,Ginger's Pet Rescue,Shoreline,WA,98133-5406
10/30/2017,2017,30,Data Breach,Insurance,Kaiser Foundation Health Plan of Northwest,Portland,OR,97232-2099
11/25/2015,2015,999,Other/Miscellaneous,Mortgage Lending,SunTrust Mortgage,Baltimore,MD,21279    
02/05/2013,2013,301,Failure To Deliver/Perform,Insurance,United Healthcare,Minnetonka,MN,55343    
08/07/2020,2020,17,Imposter scam,Unclassified Establishments,Unknown - Utility Scam,,  ,         
05/08/2019,2019,612,Duties of Landlord,Collections,Washington Collectors,Pasco,WA,99301    
01/27/2021,2021,997,Employment Issue,Health Care,Amerigroup Realsolutions/Amerigroup Washington Inc,Virginia Beach,VA,23466    
07/16/2020,2020,22,Failure To Adjust/Refund,"Chemical Manufacturing (incl. paint, adhesive, sea",Phillips 66/Conoco 76,Bartlesville,OK,74005    
11/06/2018,2018,999,Other/Miscellaneous,Books/Magazines & Directory Publishers,SESAC,Nashville,TN,37203    
11/19/2015,2015,19,Inadequate Disclosure,Auto Repair,Roy Y Auto Car Sales,Spanaway,WA,98387    
12/08/2017,2017,999,Other/Miscellaneous,Software Publishers,Bungie,Bellevue,WA,98004    
06/08/2016,2016,206,Right To Cancel,Telecommunications,Ziply Fiber fka Frontier Communications,Everett,WA,98201    
10/23/2019,2019,999,Other/Miscellaneous,Retail Sales,Synchrony Bank fka GE Capital Retail Bank/GECRB/Care Credit,Orlando,FL,32896-5031
