CAMIS,DBA,PHONE,CUISINE DESCRIPTION,SCORE,INSPECTION TYPE,BBL,NTA
41540906,AI FIORI,2126138660,Italian,22.0,Cycle Inspection / Initial Inspection,1008387501.0,MN17
40383281,GABY'S PIZZA,7187409716,Pizza,9.0,Cycle Inspection / Re-inspection,4105330001.0,QN06
41464606,LINDA'S RESTAURANT BAKERY & LOUNGE,7184850731,Caribbean,13.0,Cycle Inspection / Re-inspection,3047010009.0,BK96
50090533,GETAWAY,9293376025,Coffee/Tea,13.0,Pre-permit (Operational) / Initial Inspection,3025220040.0,BK76
40940269,STARBUCKS,2122270372,Coffee/Tea,4.0,Cycle Inspection / Initial Inspection,1000640008.0,MN25
41206985,DUNKIN,7184940749,Donuts,13.0,Cycle Inspection / Initial Inspection,5024400002.0,SI24
41320193,KAWAII JAPANESE BISTRO,7188486888,Japanese,7.0,Cycle Inspection / Re-inspection,4114290034.0,QN57
41416726,R.C.L Enterprises inc,7185293576,American,5.0,Cycle Inspection / Re-inspection,4120560026.0,QN76
50033885,A&H DELI,2125636200,American,30.0,Cycle Inspection / Initial Inspection,1008090082.0,MN17
50067454,GOOD EATS BISTRO,5163224390,American,18.0,Cycle Inspection / Initial Inspection,4016340001.0,QN27
50107230,TRIANGLE GRILL,6469424160,,,,3032590035.0,BK77
50067502,DUNKIN BASKIN ROBINS,6465979456,Donuts,16.0,Cycle Inspection / Initial Inspection,1016440021.0,MN34
50034275,D.B.A.,2124755097,American,23.0,Cycle Inspection / Initial Inspection,1004440038.0,MN22
50086462,GO DETOX JUICE BAR,7182060333,Sandwiches,18.0,Cycle Inspection / Initial Inspection,4096760041.0,QN61
40949521,CAFE CENTRO,2128181222,French,13.0,Cycle Inspection / Initial Inspection,1012809010.0,MN19
50013184,LIANG PI WANG#10,7188857332,Chinese,9.0,Cycle Inspection / Re-inspection,4049730016.0,QN22
50000551,WOLFNIGHTS,6466698070,American,24.0,Cycle Inspection / Initial Inspection,1004100017.0,MN27
50070206,BLUE CAFE RESTAURANT & BAR,7183960717,Spanish,17.0,Pre-permit (Operational) / Re-inspection,4015180088.0,QN29
50052217,LUNA CAFE,9293787342,Coffee/Tea,9.0,Cycle Inspection / Re-inspection,2030770001.0,BX06
41161770,BRIDGE COFFEE SHOP,7187970825,Spanish,12.0,Cycle Inspection / Initial Inspection,3000550011.0,BK38
41236480,DUNKIN,7182347488,Donuts,5.0,Cycle Inspection / Initial Inspection,3063440003.0,BK28
50101598,SUBWAY,7189255338,Sandwiches,6.0,Pre-permit (Operational) / Initial Inspection,4.0,QN63
41155726,LIBERATO RESTAURANT,7187166200,Spanish,9.0,Cycle Inspection / Initial Inspection,2028630032.0,BX36
41710099,INDIGO MURPHY'S,7189211013,American,5.0,Cycle Inspection / Initial Inspection,3059010042.0,BK30
50058908,CAFE ERZULIE,9172242314,Coffee/Tea,52.0,Cycle Inspection / Initial Inspection,3015820018.0,BK35
50044937,HADRAMOUT RESTAURANT,7182221066,Middle Eastern,10.0,Cycle Inspection / Initial Inspection,3002860012.0,BK33
50012841,LITTLENECK OUTPOST,7183833080,American,56.0,Cycle Inspection / Re-inspection,3025630001.0,BK76
50050986,CROWN FRIED CHICKEN,7183818400,Chicken,8.0,Cycle Inspection / Initial Inspection,3032490006.0,BK77
50071176,FULL KEE SEAFOOD RESTURANT,7183580666,Chinese,17.0,Pre-permit (Operational) / Compliance Inspection,4049780110.0,QN22
50058627,GLATT CONEY KOSHER CHINESE RESTAURANT,7186767781,Jewish/Kosher,51.0,Cycle Inspection / Re-inspection,3065460014.0,BK46
50071662,BIG AL'S CHICAGO STYLE PIZZA,7183568446,Pizza,22.0,Cycle Inspection / Re-inspection,5052760042.0,SI54
