CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,ACTION,VIOLATION CODE,INSPECTION TYPE,NTA
50046026,EL TEMERARIO,Manhattan,198,8 AVENUE,10011.0,2126452100,Mexican,F,10H,Cycle Inspection / Initial Inspection,MN13
50074095,IVA'S SWEET PARLOUR,Brooklyn,892,WYCKOFF AVENUE,11237.0,3473693969,Coffee/Tea,D,04A,Pre-permit (Operational) / Initial Inspection,BK77
50057064,POCHANA,Queens,3316,30TH AVE,11103.0,7189569559,Thai,G,04M,Cycle Inspection / Initial Inspection,QN70
50079841,DUNKIN,Queens,3017,39TH AVE,11101.0,7187861844,Donuts,D,10F,Pre-permit (Operational) / Initial Inspection,QN68
50013048,THE HAROLD,Manhattan,1271,BROADWAY,10001.0,2126861888,American,F,05F,Cycle Inspection / Initial Inspection,MN17
50069454,ZIBETTO ESPRESSO BAR,Manhattan,1,PARK AVENUE,10016.0,9294313787,Coffee/Tea,F,06E,Cycle Inspection / Re-inspection,MN20
40868810,TAJ DONUT SHOP,Queens,8915,EAST 165TH STREET,11432.0,3477773150,Donuts,D,06C,Cycle Inspection / Initial Inspection,QN61
50110081,,Brooklyn,6326,AVENUE N,11234.0,9174684963,,,,,BK45
41046913,THE CONTINENTAL,Brooklyn,75,RUTLEDGE STREET,11249.0,7188750400,Jewish/Kosher,D,10F,Cycle Inspection / Initial Inspection,BK72
50073329,ZAVO,Manhattan,1011,3 AVENUE,10065.0,2029603533,Mediterranean,U,10B,Cycle Inspection / Initial Inspection,MN31
50018922,YO SUSHI,Manhattan,208,3 AVENUE,10003.0,2126776921,Japanese,F,02B,Cycle Inspection / Re-inspection,MN21
50098950,GUANG HUI RESTAURANT,Bronx,125,DREISER LOOP,10475.0,7188623288,Chinese,P,04M,Pre-permit (Operational) / Initial Inspection,BX13
50019021,ADALYA,Manhattan,55,IRVING PLACE,10003.0,6468961441,Mediterranean,F,02H,Cycle Inspection / Initial Inspection,MN21
50068078,UGLY BABY,Brooklyn,407,SMITH STREET,11231.0,3476893075,Thai,D,10F,Cycle Inspection / Re-inspection,BK33
50003079,BARILLA RESTAURANTS,Manhattan,1290,AVENUE OF THE AMERICAS,10119.0,6465592206,Italian,F,08A,Cycle Inspection / Initial Inspection,MN17
50016982,AIRS CHAMPAGNE PARLOR,Manhattan,127,MACDOUGAL STREET,10012.0,2124752246,French,D,06D,Cycle Inspection / Re-inspection,MN23
41394943,STARBUCKS,Manhattan,110,CHURCH STREET,10007.0,2125131451,Coffee/Tea,D,10F,Cycle Inspection / Initial Inspection,MN24
50072936,NUSRET STEAKHOUSE,Manhattan,51,WEST   52 STREET,10019.0,2123153660,Turkish,D,15F6,Smoke-Free Air Act / Initial Inspection,MN17
41418341,DAISY'S PIZZA WINGS & BURGERS,Bronx,980,LONGWOOD AVENUE,10459.0,7183280705,Chicken,F,20F,Administrative Miscellaneous / Initial Inspection,BX33
41701881,SKOVORODKA RESTAURANT,Brooklyn,615,BRIGHTON BEACH AVENUE,11235.0,7186153096,Russian,U,04N,Cycle Inspection / Re-inspection,BK19
50068374,CINEPOLIS CHELSEA,Manhattan,260,WEST   23 STREET,10011.0,2126915519,Hotdogs/Pretzels,F,02B,Pre-permit (Operational) / Initial Inspection,MN13
50089091,J.R'S DINER,Queens,5816,59TH ST,11378.0,7184164300,American,P,06C,Pre-permit (Operational) / Initial Inspection,QN30
50047806,DING,Manhattan,234,WEST   48 STREET,10036.0,2122650828,Chinese,O,04M,Cycle Inspection / Reopening Inspection,MN17
50034610,MAMA G AFRICAN KITCHEN,Bronx,3650A,WHITE PLAINS ROAD,10467.0,9292224813,African,P,04L,Cycle Inspection / Initial Inspection,BX44
50090854,NUR,Brooklyn,55,WATER STREET,11201.0,9177437388,Mediterranean,D,09B,Pre-permit (Operational) / Re-inspection,BK38
50098250,CROWN FRIED CHICKEN,Brooklyn,229,MALCOLM X BOULEVARD,11221.0,7184552100,Chicken,D,08A,Pre-permit (Operational) / Re-inspection,BK35
50016968,AGED,Queens,10702,70TH RD,11375.0,7185442433,Steakhouse,D,10F,Cycle Inspection / Re-inspection,QN17
50000479,IFC CENTER,Manhattan,323,6 AVENUE,10014.0,2129246789,American,P,04L,Cycle Inspection / Initial Inspection,MN23
40584030,HALE & HEARTY SOUP,Manhattan,55,WEST   56 STREET,10019.0,2122459200,Soups/Salads/Sandwiches,G,06D,Cycle Inspection / Initial Inspection,MN17
50033122,PARTY WELL RESTAURANT & ORIENTAL BAKERY,Queens,14932,41ST AVE,11355.0,7188860800,Korean,P,08A,Cycle Inspection / Initial Inspection,QN51
50060998,NOODIES THAI,Manhattan,830,9 AVENUE,10019.0,6466697828,Thai,F,02G,Pre-permit (Operational) / Initial Inspection,MN15
50043179,SABA'S PIZZA,Manhattan,403,AMSTERDAM AVENUE,10024.0,2127871118,Pizza,U,08A,Cycle Inspection / Initial Inspection,MN12
50011198,NEW CHINATOWN RESTAURANT,Manhattan,11-13,AVENUE D,10009.0,2126712408,Chinese,U,04K,Cycle Inspection / Initial Inspection,MN28
50034742,BLUJEEN,Manhattan,2143,FREDERICK DOUGLASS BOULEVARD,,2122561073,American,P,10E,Cycle Inspection / Initial Inspection,
50045492,DUNKIN,Manhattan,132,NASSAU STREET,10038.0,2128459999,Donuts,D,10F,Cycle Inspection / Initial Inspection,MN25
