Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,Missouri,Nutrition,Agriculture and Farming,School/After School,Farm to Table Advisory Board,LEG,017AGF
2011,1,New Mexico,Nutrition,Medical Care,Community,Bicycle Regulations,LEG,026MEC
2004,1,California,Physical Activity,Initiatives and Programs,Community,Assembly  Concurrent  Resolution,LEG,053INP
2013,1,Nebraska,Nutrition,Food Assistance Programs,Community,Social Services for Adults,REG,003FAP
2010,1,Illinois,Obesity,Appropriations,School/After School,Commission to End Hunger Act,LEG,002APP
2010,1,California,Physical Activity,Physical Activity Requirements,School/After School,Education: Physical Education,LEG,035PAR
2010,1,Idaho,Nutrition,Farmers Markets,Community,Locally Grown Food Productions,LEG,016FAM
2009,1,New Jersey,Nutrition,School Nutrition,School/After School,Student Nutrition,LEG,043SNU
2010,1,California,Nutrition,Task Forces/Councils,Community,Health and Human Services: Federal Grant Opportunities,LEG,047TFC
2009,1,Ohio,Nutrition,School Nutrition,Community,Bicycle Operators and Passengers Requirement,LEG,043SNU
2009,1,Illinois,Nutrition,Fruits and Vegetables,Community,Community Care Program,REG,025FAV
2009,1,New York,Nutrition,Medical Care,Community,Exempts Bicycles From Sales and Compensating Use Tax,LEG,026MEC
2011,1,Illinois,Physical Activity,School Siting,School/After School,Chicago Educational Facilities,LEG,042SIT
2009,1,West Virginia,Physical Activity,Bicycling,Community,Planning and Development of State Roads,LEG,005BIK
2010,1,New York,Nutrition,Farm Direct Foods,Restaurant/Retail,Farmers Markets Facilities Construction Program,LEG,015FDF
2011,1,Illinois,Obesity,Appropriations,School/After School,School Code,LEG,002APP
2011,1,Illinois,Nutrition,Access to Healthy Foods,Community,Food Handling Regulation Enforcement Act,LEG,001AHF
2009,1,New York,Physical Activity,Bicycling,Community,Parking in a Bicycle Lane Violations,LEG,005BIK
2011,1,Illinois,Nutrition,Farmers Markets,Community,Task Force on Farmers' Markets,LEG,016FAM
2011,1,Arkansas,Obesity,Appropriations,Community,Unsanitary Property,LEG,002APP
2009,1,North Carolina,Nutrition,Fruits and Vegetables,Community,Local Food Policy Council,LEG,025FAV
2011,1,Illinois,Obesity,Appropriations,School/After School,Elimination of Trans Fats in Public Schools,LEG,002APP
2011,1,Maine,Physical Activity,"Parks, Recreation and Trails",Community,Recreational Development Funds,LEG,034PRT
2005,1,California,Nutrition,Initiatives and Programs,Community,Senate Concurrent Resolution      <br>,LEG,053INP
2010,1,Washington,Nutrition,Farm Direct Foods,Restaurant/Retail,Washington Food Policy Forum,LEG,015FDF
2010,1,Colorado,Obesity,Health Insurance Coverage,Medical and/or Hospital,Wellness Incentives Rewards Outcomes,LEG,028HIC
2010,1,New York,Obesity,Access to Drinking Water,Community,Labeling of Bottled Water for Sale,LEG,014ADW
