Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2009,1,Massachusetts,Nutrition,Access to Healthy Foods,Medical and/or Hospital,Nutrition Standards for State Agencies,REG,001AHF
2017,2,Maryland,Nutrition,Agriculture and Farming,Community,Maryland Farms and Families Act,LEG,017AGF
2010,1,North Carolina,Physical Activity,Task Forces/Councils,Community,Supplemental Nutrition Assistance Program,LEG,047TFC
2009,1,California,Physical Activity,Pedestrians/Walking,School/After School,Pupil Safety: Walking Schoolbus,LEG,052PED
2009,1,North Carolina,Physical Activity,Bicycling,Community,Active Living Plan Grants,LEG,005BIK
2011,1,New York,Nutrition,School Nutrition,Community,New York Calcium Purchasing Preference Initiative,LEG,043SNU
2011,1,Maryland,Physical Activity,Safe Routes to Schools,Community,School Bus Monitoring Cameras,LEG,041SRS
2010,1,Arizona,Obesity,Food Restrictions,Early Care and Education,Child Care Facilities Licensing Requirements,REG,020FOR
2009,1,West Virginia,Physical Activity,Bicycling,Community,Promise Scholarship,LEG,005BIK
2013,3,Pennsylvania,Nutrition,Initiatives and Programs,Community,Hunger Action Month,LEG,053INP
2001,1,Hawaii,Nutrition,Fruits and Vegetables,School/After School,House Concurrent Resolution<br>,LEG,025FAV
2011,1,Maine,Nutrition,School Nutrition,School/After School,Healthy Food in Schools,LEG,043SNU
2009,1,Texas,Obesity,Appropriations,Community,Early Childhood Health and Nutrition,LEG,002APP
2010,1,Georgia,Obesity,Health Insurance Coverage,Medical and/or Hospital,Insurer Wellness Incentives,LEG,028HIC
2004,1,Vermont,Nutrition,Access to Healthy Foods,Community,House Joint Resolution,LEG,001AHF
2013,1,Texas,Nutrition,Food Assistance Programs,Community,An Act Relating to the Operation and Administration of the Supplemental Nutrition Assistance Program,LEG,003FAP
2012,1,New Jersey,Nutrition,Food Assistance Programs,Community,Funding of the New Jersey Food Access Initiative<br>,LEG,003FAP
2009,1,Massachusetts,Nutrition,Incentives,Restaurant/Retail,Fiscal Recovery Emergency Measure,LEG,029INC
2011,1,Texas,Obesity,Appropriations,Restaurant/Retail,Programs to Improve Health of Public School Students,LEG,002APP
2011,1,District of Columbia,Nutrition,Nutrition Standards,School/After School,Delivery Order Approval,LEG,010NUS
2010,1,Maryland,Nutrition,Appropriations,Restaurant/Retail,Poultry and Rabbits,LEG,002APP
2010,1,Washington,Nutrition,Incentives,Restaurant/Retail,Taxation,LEG,029INC
2011,1,South Dakota,Nutrition,Appropriations,Community,Food Sales Tax Refund Program,LEG,002APP
2011,1,California,Obesity,Access to Drinking Water,Community,Taxation: Sweetened Beverage Tax: Children's Health,LEG,014ADW
2011,1,Texas,Obesity,Sugar Sweetened Beverages,Community,Supplemental Nutritional Assistance Program Regulations,LEG,046SSB
2013,2,Michigan,Nutrition,Appropriations,Community,Provides for School Aid,LEG,002APP
2011,1,Rhode Island,Obesity,Sugar Sweetened Beverages,Restaurant/Retail,Taxation,LEG,046SSB
2009,1,Hawaii,Nutrition,Task Forces/Councils,Community,Heart Healthy Working Group,LEG,047TFC
2011,1,Iowa,Nutrition,Fruits and Vegetables,Restaurant/Retail,Local Foods,LEG,025FAV
2010,1,Missouri,Nutrition,Trans Fats,Community,Sales Tax Exemption,LEG,050FAT
2015,1,New York,Obesity,Initiatives and Programs,Early Care and Education,Trans fat reduction; breastfeeding rights; BMI in schools; PE/PA requirements; Bicycle parking,LEG,053INP
2011,1,North Carolina,Physical Activity,Physical Activity Requirements,School/After School,Schools and Fitness Testing,LEG,035PAR
2010,1,Kentucky,Nutrition,Food Assistance Programs,Work Place,State Employee Health Insurance,LEG,003FAP
2004,1,Florida,Obesity,Appropriations,School/After School,Physical Fitness Educational Programs,LEG,002APP
2011,1,South Carolina,Nutrition,Healthier Food Retail and Food Deserts,School/After School,Snack Food Consumption,LEG,021HFR
2010,1,Vermont,Obesity,Liability and Indemnity,Restaurant/Retail,Soft Drinks,LEG,030LAI
2010,1,District of Columbia,Nutrition,Food Assistance Programs,Community,Hospital and Medical Services Corporation,LEG,003FAP
2010,1,Pennsylvania,Obesity,Appropriations,Community,Annual Registration for Passenger Cars,LEG,002APP
2009,1,Massachusetts,Obesity,Menu Labeling,Restaurant/Retail,Menu Labeling in Restaurants,LEG,032MNL
2009,1,Maine,Obesity,Appropriations,Community,Tax Increment Financing,LEG,002APP
2009,1,New York,Nutrition,Incentives,School/After School,School Lunch Program,LEG,029INC
2005,1,Delaware,Nutrition,Liability and Indemnity,School/After School,Statewide Health Advisory Council,LEG,030LAI
2011,1,New York,Physical Activity,Built Environment and Street-Scale Design,Community,Department of Transportation Survey,LEG,049BED
2011,1,Tennessee,Nutrition,Farmers Markets,Restaurant/Retail,Taxes,LEG,016FAM
2010,1,Missouri,Obesity,Task Forces/Councils,Community,Missouri Health Policy Authority,LEG,047TFC
2003,1,Washington,Nutrition,Appropriations,School/After School,Foods And Beverages Sold At Public Schools,LEG,002APP
2011,1,Ohio,Obesity,Appropriations,Community,Drug Testing Requirement for Adults on Assistance,LEG,002APP
2009,1,Massachusetts,Nutrition,Healthier Food Retail and Food Deserts,Restaurant/Retail,Wellness Trust,LEG,021HFR
2012,1,Ohio,Obesity,Health Insurance Coverage,Community,An Act Amending Laws Governing Local Governments<br>,LEG,028HIC
2009,1,Vermont,Nutrition,Medical Care,Community,Capital Funds,LEG,026MEC
2011,1,New York,Physical Activity,"Parks, Recreation and Trails",Community,Commissioners of Health and Environmental Conservation,LEG,034PRT
2009,1,Tennessee,Nutrition,Trans Fats,School/After School,Education,LEG,050FAT
2011,1,Maine,Nutrition,Nutrition Standards,School/After School,Food and Beverage Standards,LEG,010NUS
2009,1,Maryland,Physical Activity,Pedestrians/Walking,Community,Vehicle Laws,LEG,052PED
2011,1,Tennessee,Nutrition,Farm Direct Foods,Community,Public Funds and Financing,LEG,015FDF
2016,1,Alabama,Nutrition,Breastfeeding,Work Place,"Breast feeding, recognizing the importance of removing barriers to breast feeding",LEG,007BFD
2011,1,Colorado,Obesity,Body Mass Index (BMI),Restaurant/Retail,Surface Transportation Funding,LEG,006BMI
2011,1,Texas,Physical Activity,Pedestrians/Walking,Community,Creation of the Bridgeland Management District,LEG,052PED
2013,1,Nebraska,Nutrition,Food Assistance Programs,Community,Social Services for Adults,REG,003FAP
2009,1,Rhode Island,Nutrition,Correctional Facilities Farms Programs,Medical and/or Hospital,Office of Health Equity,LEG,018CFP
2010,1,New York,Nutrition,Appropriations,Work Place,Advisory Committee on Public Wellness,LEG,002APP
2010,1,Oklahoma,Nutrition,Appropriations,Restaurant/Retail,Food Availability,LEG,002APP
2011,1,Montana,Nutrition,Nutrition Standards,Early Care and Education,Early Childhood Health Promotion,LEG,010NUS
2004,1,South Dakota,Nutrition,Incentives,Community,Food Sales Tax Refund Program,LEG,029INC
2011,1,Mississippi,Nutrition,Access to Healthy Foods,Restaurant/Retail,Nonprofit Organizations Sales Tax,LEG,001AHF
2011,1,North Carolina,Physical Activity,"Parks, Recreation and Trails",School/After School,Childhood Obesity Legislative Task Force,LEG,034PRT
2011,1,California,Physical Activity,"Parks, Recreation and Trails",Community,"An Act Related to ""Parks Make Life Better!"" Month<br>",LEG,034PRT
2010,1,Maryland,Obesity,Appropriations,Community,Vehicle Laws,LEG,002APP
2007,1,Connecticut,Nutrition,Appropriations,Community,Healthfirst Connecticut and Healthy Kids Initiatives,LEG,002APP
2011,1,Utah,Nutrition,Appropriations,School/After School,Sale of Advertising Space on a School Bus,LEG,002APP
2010,1,Louisiana,Physical Activity,Public Safety,Community,Municipalities,LEG,039SAF
2010,1,Michigan,Nutrition,Trans Fats,Community,Next Michigan Development Areas,LEG,050FAT
2009,1,Vermont,Nutrition,Point of Purchase Promotion,Community,Special Education Rules,REG,037POP
2005,1,Tennessee,Nutrition,Access to Healthy Foods,Community,An Act Appropriating Money <br>,LEG,001AHF
2011,1,Hawaii,Nutrition,Incentives,Restaurant/Retail,Aspartame,LEG,029INC
2011,1,Iowa,Obesity,Food Restrictions,Community,Local Foods,LEG,020FOR
2011,1,California,Nutrition,Liability and Indemnity,School/After School,Budget Act of 2011,LEG,030LAI
2011,1,Hawaii,Obesity,Appropriations,Community,Aspartame,LEG,002APP
2012,1,Idaho,Nutrition,Farmers Markets,Community,Idaho Food Freedom Act,LEG,016FAM
2011,1,District of Columbia,Obesity,Food Restrictions,Work Place,Workplace Wellness,LEG,020FOR
2009,1,Ohio,Nutrition,Nutrition Standards,School/After School,"Staff, Facilities, and Policies and Procedures",REG,010NUS
2008,1,New Jersey,Obesity,Appropriations,School/After School,Preconstruction Activities,REG,002APP
