Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,Michigan,Physical Activity,Appropriations,Community,Omnibus Budget,LEG,002APP
2011,1,New York,Physical Activity,Incentives,Community,Senior Benefits Card Program,LEG,029INC
2009,1,Massachusetts,Physical Activity,Pedestrians/Walking,Community,Analyzing Vehicle and Pedestrian Safety on Route 60,LEG,052PED
2010,1,New York,Physical Activity,Public Safety,Community,Richardson Center Corporation,LEG,039SAF
2005,1,Pennsylvania,Nutrition,School Nutrition,School/After School,Healthy Farms and Healthy Schools Program,LEG,043SNU
2009,1,New Mexico,Obesity,Appropriations,Community,Casa Grande Linear Park,LEG,002APP
2011,1,District of Columbia,Nutrition,Appropriations,Community,Budget Support Act,LEG,002APP
2009,1,Texas,Nutrition,Incentives,Community,Interagency Obesity Council Duties,LEG,029INC
2009,1,North Carolina,Physical Activity,Physical Education Requirements,Early Care and Education,Children's Health and Nutrition,REG,036PER
2011,1,Georgia,Obesity,Body Mass Index (BMI),Community,Revenue and Tax,LEG,006BMI
2011,1,Minnesota,Physical Activity,Public Transportation,Community,Capital Investment,LEG,040TRS
2009,1,Minnesota,Nutrition,Medical Care,Community,Capital Improvements,LEG,026MEC
2013,1,Oklahoma,Nutrition,Farmers Markets,Community,An Act Relating to Revenue and Taxation,LEG,016FAM
2010,1,Michigan,Physical Activity,"Parks, Recreation and Trails",Community,Outdoor Activities,LEG,034PRT
2014,3,California,Nutrition,Fruits and Vegetables,School/After School,Distinguished After School Health (DASH) Recognition Program,LEG,025FAV
2010,1,Michigan,Obesity,Body Mass Index (BMI),Community,Public Transit,LEG,006BMI
2009,1,New York,Nutrition,Trans Fats,Community,Prohibited Sale of Foods with Artificial Trans Fat,LEG,050FAT
2005,1,Iowa,Nutrition,Appropriations,Community,Community Obesity Program,LEG,002APP
2013,1,Massachusetts,Nutrition,Sodium,Community,An Act Relative to Expanding Access to  Healthy Food Choices in Vending Machines on State Property,LEG,045SOD
2010,1,Michigan,Nutrition,Healthier Food Retail and Food Deserts,Community,Food Desert Oasis Act,LEG,021HFR
2011,1,Oklahoma,Nutrition,Media Campaigns,Community,Sales Tax,LEG,031MDC
2011,1,North Dakota,Nutrition,Nutrition Standards,Early Care and Education,Licensing of Early Childhood Services Providers,REG,010NUS
2011,1,Texas,Obesity,Health Insurance Coverage,Restaurant/Retail,Sweetened Beverages Tax,LEG,028HIC
2010,1,Texas,Nutrition,Healthier Food Retail and Food Deserts,Early Care and Education,Nutrition And Food Service,REG,021HFR
2011,1,Arkansas,Nutrition,Disparities/Equity,School/After School,Appropriation to the Department of Human Services,LEG,013DEQ
2011,1,Washington,Obesity,Appropriations,Community,Bicycle and Pedestrian Traffic Safety Curriculum,LEG,002APP
2011,1,Illinois,Obesity,Appropriations,School/After School,Time Minimum for Daily Physical Education,LEG,002APP
2011,1,Texas,Physical Activity,Physical Activity Requirements,School/After School,Coordinated Health Program,LEG,035PAR
2011,1,Texas,Nutrition,Point of Purchase Promotion,Community,Texas Transportation Commission,LEG,037POP
2012,1,Kentucky,Nutrition,Food Assistance Programs,Community,An Act Relating to an Income Tax Check off for Local Food Banks<br>,LEG,003FAP
2013,1,New York,Nutrition,Disparities/Equity,Restaurant/Retail,Food Retail Establishment Subsidization for Healthy Communities (FRESH Communities) Act,LEG,013DEQ
2014,4,Ohio,Nutrition,Breastfeeding,Medical and/or Hospital,Encouraging Breastfeeding,LEG,007BFD
2013,1,North Carolina,Obesity,Food Restrictions,School/After School,An Act to Enact the Healthy and High Performance School Act of 2013,LEG,020FOR
2009,1,Maryland,Nutrition,Appropriations,Work Place,Health Insurance Wellness Incentives,LEG,002APP
2011,1,Pennsylvania,Obesity,Portion Size,School/After School,School Foods Reform,LEG,038POS
2012,1,Iowa,Nutrition,Appropriations,Community,An Act Making  Appropriations,LEG,002APP
2011,1,Maine,Nutrition,Farm Direct Foods,School/After School,Farm and Fish School Program,LEG,015FDF
2010,1,Wisconsin,Physical Activity,Pedestrians/Walking,Community,Greenhouse Gas Emissions,LEG,052PED
2011,1,New York,Obesity,Body Mass Index (BMI),Community,Peconic Bay Region,LEG,006BMI
2011,1,Virginia,Obesity,Body Mass Index (BMI),Community,Fort Belvoir Improved Public Transportation Study,LEG,006BMI
2009,1,Massachusetts,Physical Activity,Safe Routes to Schools,School/After School,Transportation System Reform,LEG,041SRS
2011,1,Florida,Nutrition,Appropriations,Work Place,State Employee Health Insurance Benefits,LEG,002APP
2009,1,South Carolina,Obesity,Sugar Sweetened Beverages,School/After School,Nutrition Standards for Elementary Schools,REG,046SSB
2010,1,New Jersey,Physical Activity,Built Environment and Street-Scale Design,Community,Local Streets Speed Limits,LEG,049BED
2010,1,Minnesota,Physical Activity,Physical Activity Requirements,School/After School,Education,LEG,035PAR
2011,1,Louisiana,Nutrition,School Nutrition,School/After School,Louisiana Food and Nutrition Policies<br>,REG,043SNU
2011,1,Maine,Obesity,Food Restrictions,Restaurant/Retail,Local Food Production,LEG,020FOR
2009,1,Illinois,Nutrition,Medical Care,School/After School,"Illinois Food, Farms, and Jobs Act",LEG,026MEC
2011,1,Alabama,Nutrition,Media Campaigns,Community,Public K-12 Education,LEG,031MDC
2011,1,North Carolina,Obesity,Food Restrictions,School/After School,Healthy Schools Act,LEG,020FOR
2002,1,Maryland,Physical Activity,Built Environment and Street-Scale Design,Community,Electronic Personal Assistive Mobility Devices,LEG,049BED
2010,1,Tennessee,Obesity,Appropriations,Community,Appropriations,LEG,002APP
2011,1,Michigan,Obesity,Food Restrictions,Community,Downtown Development Authorities,LEG,020FOR
2015,1,Washington,Nutrition,Food Security,School/After School,Washington Food Policy Forum,LEG,023FOS
2009,1,Kentucky,Obesity,Appropriations,School/After School,Physical Activity,LEG,002APP
2013,1,Rhode Island,Obesity,Disparities/Equity,Community,Rite Care Program,REG,013DEQ
2011,1,Hawaii,Nutrition,Access to Healthy Foods,School/After School,Taxation,LEG,001AHF
2009,1,Hawaii,Obesity,Food Restrictions,Restaurant/Retail,Appropriation,LEG,020FOR
2011,1,Kentucky,Physical Activity,"Parks, Recreation and Trails",Community,Tax Increment Financing,LEG,034PRT
2012,1,Illinois,Physical Activity,"Parks, Recreation and Trails",Community,An Act Making Appropriations<br>,LEG,034PRT
2009,1,Oregon,Nutrition,Medical Care,Community,Transportation,LEG,026MEC
2013,2,Florida,Physical Activity,Initiatives and Programs,Community,"""Project Criteria, Management Plan, Land Exchanges""",REG,053INP
2010,1,Mississippi,Nutrition,Medical Care,Medical and/or Hospital,Minimum Standards of Operation for the Aged or Infirm,REG,026MEC
2012,1,New York,Physical Activity,Physical Education Requirements,School/After School,An Act to Combat the Incidence of Adult and Childhood Obesity<br>,LEG,036PER
2011,1,Hawaii,Nutrition,Appropriations,Work Place,Health,LEG,002APP
2013,4,New York,Nutrition,Fruits and Vegetables,Community,An Act to Amend the Agriculture and Markets Law,LEG,025FAV
2009,1,North Carolina,Physical Activity,Built Environment and Street-Scale Design,Community,Active Living Communities Commission,LEG,049BED
2012,1,Michigan,Nutrition,Appropriations,Community,An Act Concerning Appropriations<br>,LEG,002APP
2011,1,Maine,Nutrition,Access to Healthy Foods,Community,Farm Stand Products and Disclosure,LEG,001AHF
2009,1,Florida,Nutrition,Trans Fats,School/After School,School Wellness and Physical Education Policies,LEG,050FAT
2011,1,Mississippi,Nutrition,School Nutrition,School/After School,Task Force on Combating Childhood Obesity,LEG,043SNU
2014,2,Michigan,Nutrition,Breastfeeding,Community,Breastfeeding Mothers,LEG,007BFD
2008,1,Florida,Nutrition,Medical Care,Community,Professional Sports Development Trust Fund,LEG,026MEC
2007,1,Rhode Island,Obesity,Appropriations,Community,Educational Pilot Program,LEG,002APP
2007,1,New Mexico,Physical Activity,Pedestrians/Walking,Community,An Act Relating to the Expenditure of Public Money<br>,LEG,052PED
2011,1,Iowa,Nutrition,Liability and Indemnity,Community,Complete Streets,LEG,030LAI
2011,1,Hawaii,Nutrition,Access to Healthy Foods,School/After School,Child Nutrition Programs,LEG,001AHF
2005,1,Hawaii,Physical Activity,Appropriations,Community,Transportation,LEG,002APP
2012,1,New York,Nutrition,Access to Healthy Foods,Community,An Act in Relation to Combating Incidences of Adult and Childhood Obesity<br>,LEG,001AHF
2011,1,Texas,Obesity,Appropriations,Community,Prosper Municipal Management District No. 2,LEG,002APP
2009,1,Massachusetts,Nutrition,Food Assistance Programs,Community,Governor Fiscal Year 2010 Budget,LEG,003FAP
2011,1,New Jersey,Obesity,Appropriations,Community,Economic Stimulus Act,LEG,002APP
2010,1,California,Obesity,Disparities/Equity,School/After School,Budget Act of 2010,LEG,013DEQ
2010,1,Pennsylvania,Nutrition,Agriculture and Farming,Restaurant/Retail,National Fresh Food Financing Initiative,LEG,017AGF
2009,1,Oklahoma,Nutrition,Incentives,School/After School,Schools,LEG,029INC
2013,1,Texas,Nutrition,Media Campaigns,Community,"An Act Relating to Strategic Plans to Address Hunger, Food, Nutrition and Obesity in this State",LEG,074MAM
2010,1,Washington,Physical Activity,Public Transportation,Community,Regional Transit Authority Facilities,LEG,040TRS
2009,1,New Mexico,Nutrition,Farm Direct Foods,School/After School,Fresh Fruit in School,LEG,015FDF
2009,1,New York,Physical Activity,Appropriations,School/After School,Governor's Council on Physical Fitness,LEG,002APP
2010,1,California,Obesity,Incentives,Restaurant/Retail,Taxation: Sweetened Beverage Tax: Childrens Health Fund,LEG,029INC
2010,1,Tennessee,Physical Activity,Physical Education Requirements,School/After School,Students,LEG,036PER
2007,1,Georgia,Physical Activity,Initiatives and Programs,Community,House Resolution<br>,LEG,053INP
2011,1,California,Physical Activity,Safe Routes to Schools,School/After School,General Site Development Grant,REG,041SRS
2011,1,New York,Nutrition,Farm Direct Foods,Restaurant/Retail,Retail Farm Operations,LEG,015FDF
2010,1,New York,Obesity,Disparities/Equity,Medical and/or Hospital,Advisory Committee on Public Wellness,LEG,013DEQ
2011,1,Florida,Physical Activity,Disparities/Equity,Community,Affordable Housing,LEG,013DEQ
2010,1,California,Nutrition,Correctional Facilities Farms Programs,School/After School,Health and Human Services: Federal Grant Opportunities,LEG,018CFP
2009,1,Michigan,Physical Activity,Built Environment and Street-Scale Design,Community,Bicycle Safety,LEG,049BED
2009,1,Wisconsin,Physical Activity,Bicycling,School/After School,Budget Act,LEG,005BIK
2009,1,Connecticut,Physical Activity,"Parks, Recreation and Trails",Community,Equestrians In the 2009 Connecticut Bicycle Plan,LEG,034PRT
2010,1,Massachusetts,Nutrition,Disparities/Equity,School/After School,School Nutrition,LEG,013DEQ
2005,1,Maine,Nutrition,Point of Purchase Promotion,School/After School,School Nutrition Education,LEG,037POP
2009,1,Missouri,Nutrition,Incentives,School/After School,State Board of Education,LEG,029INC
2011,1,Iowa,Nutrition,Nutrition Standards,School/After School,Healthy Kids Act,LEG,010NUS
2005,1,North Dakota,Nutrition,Vending,School/After School,Expenses Of The Department Of Health,LEG,051VEN
2013,1,Mississippi,Nutrition,Farm Direct Foods,School/After School,An Act to Create an Interagency Farm to School Council,LEG,015FDF
2011,1,New York,Nutrition,Appropriations,Restaurant/Retail,Food Items Containing Trans Fats,LEG,002APP
2011,1,Rhode Island,Obesity,Disparities/Equity,Community,State Affairs and Government,LEG,013DEQ
2014,3,California,Physical Activity,Public Transportation,Community,Transit Village Plan,LEG,040TRS
2011,1,Maine,Nutrition,Food Assistance Programs,Community,Electronic Benefits Transfers and Farmers Markets,LEG,003FAP
2010,1,Iowa,Nutrition,Fruits and Vegetables,Community,Local Farmer and Food Security Income Tax Credit,LEG,025FAV
2009,1,California,Obesity,Food Restrictions,Community,Budget Act of 2009,LEG,020FOR
2005,1,Colorado,Obesity,Disparities/Equity,School/After School,Children Nutrition Improvement Policies,LEG,013DEQ
2010,1,Iowa,Nutrition,Media Campaigns,Community,Extracurricular Interscholastic Competition,REG,031MDC
2009,1,Florida,Obesity,Menu Labeling,Restaurant/Retail,Prevention of Obesity,LEG,032MNL
2015,3,Hawaii,Nutrition,Initiatives and Programs,School/After School,Relating to a Farm to School Program,LEG,053INP
2010,1,West Virginia,Physical Activity,Bicycling,Community,Pedestrian And Transit Ways,LEG,005BIK
2011,1,Kentucky,Nutrition,Access to Healthy Foods,School/After School,Obesity in School Children,LEG,001AHF
2011,1,Wisconsin,Obesity,Menu Labeling,Community,Milwaukee Tax Incremental Financing District,LEG,032MNL
2009,1,District of Columbia,Obesity,Menu Labeling,Community,Fort Totten Project,LEG,032MNL
2002,1,Connecticut,Obesity,Body Mass Index (BMI),Community,Transportation Laws,LEG,006BMI
2011,1,Alabama,Nutrition,Medical Care,Community,Traffic Control Legends,LEG,026MEC
2011,1,New York,Physical Activity,Pedestrians/Walking,Community,Department of Transportation Survey,LEG,052PED
2011,1,North Carolina,Nutrition,Media Campaigns,School/After School,Childhood Obesity Legislative Task Force,LEG,031MDC
2010,1,Pennsylvania,Obesity,Food Restrictions,Restaurant/Retail,Agricultural Surplus System,LEG,020FOR
2011,1,Georgia,Nutrition,Fruits and Vegetables,Community,Farm to School Programs,LEG,025FAV
2009,1,California,Physical Activity,Public Transportation,Community,Local Planning: Housing Element,LEG,040TRS
2013,1,New York,Nutrition,Disparities/Equity,Community,Food Retail Establishment Subsidization for Healthy Communities (FRESH Communities) Act,LEG,013DEQ
2006,1,Connecticut,Nutrition,Farm Direct Foods,Community,Budget and Revenue Implementation Provisions,LEG,015FDF
2010,1,Georgia,Obesity,Appropriations,Restaurant/Retail,Supplemental Appropriations,LEG,002APP
2011,1,Indiana,Physical Activity,Built Environment and Street-Scale Design,Community,Motorized Bicycle Operation,LEG,049BED
2010,1,Missouri,Physical Activity,Appropriations,School/After School,Department of Revenue Appropriation,LEG,002APP
