Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2014,U,4 yr Undergrad,9-CHAPTER XXII,under age 22,Financial_Dependent,5994.0
2013,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Dependent,750.0
2002,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,9392.25
2018,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,59459.14
2015,U,2 yr Undergrad,8-OTHER,over age 50,Financial_Independent,3740.0
2016,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,31400.0
2002,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Dependent,500.0
2000,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,110592.97
2011,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,3025.0
2007,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,750.0
2007,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Dependent,500.0
2009,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Independent,2877.0
2001,U,2 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,2546.0
2011,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,2468222.41
2009,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,500.0
2009,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,2135.5
2007,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,250.0
2008,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,30017.5
2012,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,750.0
2008,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Independent,250.0
2007,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Independent,500.0
2009,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,1000.0
2015,U,4 yr Undergrad,8-OTHER,age 26 - 35,Financial_Independent,5115.0
2011,U,2 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,14500.0
2018,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,125.0
2009,U,2 yr Undergrad,2-CUNY CC,under age 22,Financial_Independent,14175.0
2016,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,2582.5
2017,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,332913.5
2011,U,2 yr Undergrad,8-OTHER,under age 22,Financial_Dependent,500.0
2008,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,10702.5
2017,U,4 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Dependent,500.0
2005,U,2 yr Undergrad,2-CUNY CC,under age 22,Financial_Independent,8215.0
2002,U,5 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,8392.13
2006,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,278.0
2001,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,2833.33
2007,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,2077.0
2006,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,1353.0
2012,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,78193.64
2003,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,1416.68
2004,U,4 yr Undergrad,1-CUNY SR,under age 22,Financial_Independent,49572.03
2013,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,500.0
2006,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,10073.5
2001,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,850.0
2017,U,5 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,2532.5
2018,U,5 yr Undergrad,9-CHAPTER XXII,under age 22,Financial_Dependent,7794.0
2010,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,8033.5
2002,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Independent,11250.0
2006,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,500.0
2007,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,9349.0
2012,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,82.5
2002,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,708.35
2000,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,84335.06
2006,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,26636.69
2016,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2858.0
2017,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,3956.5
2005,U,5 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,13126.75
2000,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,102108.29
2008,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,3500.0
2002,U,5 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,1200.0
2001,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,5848.0
2009,U,5 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,2526.5
2002,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,10958.36
2015,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,71197.44
2014,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,109718.5
2004,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Independent,5000.0
2003,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,1425.0
2000,G,Grad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,550.0
2005,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,1765171.91
2001,U,5 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,722.7
2006,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,28966.0
2004,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,12327.5
2012,U,5 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,1462.5
2012,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,79232.0
2014,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,1123.5
2001,G,Grad,5-INDEPENDENT,over age 50,Financial_Independent,911.75
2011,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,250.0
2017,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,250.0
2002,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,3022.75
2008,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,500.0
2001,U,2 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,1567.0
2001,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,425.0
2004,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,724.0
2004,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,16475.0
2011,U,5 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,2350.0
2006,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,3000.0
2003,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,11468.75
2017,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,7319.5
2004,G,Grad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,2406.25
2000,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,637.5
2002,U,2 yr Undergrad,8-OTHER,age 26 - 35,Financial_Independent,8966.92
2000,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,9690.0
2003,U,2 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,10062.5
