artist,title,album
goo goo dolls,better days,let love in
enya,flora's secret,a day without rain
maroon 5,she will be loved,songs about jane
hootie and the blowfish,old man &amp; me,fairweather johnson
jon secada,&aacute;ngel,jon secada
syesha mercado,if i was your woman,
jewel,satellite,goodbye alice in wonderland
sheryl crow,out of our heads,detours
ben folds five,evaporated,whatever and ever amen
itayp&uacute;,el condor pasa,folklore latinamericano vol. i
thompson twins,hold me now,into the gap
weezer,the good life,pinkerton
weezer,my best friend,make believe
beach boys,be true to your school,little deuce coupe
counting crows,holiday in spain,hard candy
weird al yankovic,angry white boy polka,poodle hat
enya,only time,a day without rain
britney spears,i'm a slave 4 u,britney
billy joel,tell her about it,an innocent man
cake,rock 'n' roll lifestyle,motorcade of generosity
they might be giants,number three,they might be giants
modest mouse,float on,good news for people who love bad news
andrew lloyd webber,prima donna,phantom of the opera
weird al yankovic,white &amp; nerdy,straight outta lynwood
red hot chili peppers,by the way,by the way
gin blossoms,till i hear it from you,empire records soundtrack
modest mouse,bukowski,good news for people who love bad news
weird al yankovic,she never told me she was a mime,alapalooza
carl douglas,kung fu fighting,kung fu fighting
wallflowers,i wish i felt nothing,bringing down the horse
shakira,estoy aqu&iacute;,pies descalzos
archies,sugar sugar,greatest hits (archies)
reel big fish,take on me,baseketball soundtrack
little texas,what might have been,big time
cherry poppin' daddies,zoot suit riot,zoot suit riot
les mis&eacute;rables,the confrontation,les mis&eacute;rables soundtrack
chombo,el gato volador,cuentos de la cripta 3
counting crows,another's horsedreamer's blues,recovering the satellites
the simpsons,ya-hoo main title,go simpsonic with the simpsons
smashing pumpkins,galapagos,mellon collie and the infinite sadness - dawn to dusk
natalie merchant,kind &amp; generous,ophelia
creed,higher,human clay
lenny kravitz,again,greatest hits (lenny kravitz)
offspring,why don't you get a job?,americana
they might be giants,someone keeps moving my chair,flood
the simpsons,canyonero,go simpsonic with the simpsons
romantics,what i like about you,the romantics
robyn,show me love,robyn is here
huey lewis and the news,the heart of rock &amp; roll,sports
counting crows,los angeles,saturday nights &amp; sunday mornings
smashing pumpkins,stumbleine,mellon collie and the infinite sadness - twilight to starlight
natasha bedingfield,pocketful of sunshine,pocketful of sunshine
deep blue something,song to make love to,home
coolio,gangsta's paradise,gangsta's paradise
blessid union of souls,light in your eyes,blessid union of souls
aquabats,martian girl!,the fury of the aquabats
ace of base,the sign,the sign
oasis,champagne supernova,(what's the story) morning glory?
counting crows,mr. jones,august and everything after
don henley,the heart of the matter,the end of the innocence
beastie boys,girls,licensed to ill
they might be giants,we're the replacements,don't let's start
plain white t's,hey there delilah,all that we needed
depeche mode,it's no good,ultra
club nouveau,lean on me,life love &amp; pain
they might be giants,boss of me,malcolm in the middle soundtrack
duncan sheik,barely breathing,duncan sheik
sheryl crow,perfect lie,wildflower
jack johnson,upside down,sing-a-longs &amp; lullabies for the film curious george
they might be giants,doctor worm,severe tire damage
sarah mclachlan,i will remember you,the brothers mcmullen soundtrack
inxs,never tear us apart,kick
elemeno-p,legacy of love,no more lonely people
jimmy durante,make someone happy,jimmy durante's way of life
fine young cannibals,she drives me crazy,the raw &amp; the cooked
weird al yankovic,when i was your age,off the deep end
dave matthews band,the space between,everyday
barenaked ladies,i'll be that girl,stunt
the simpsons,what do i think of the pie?,testify
dixie chicks,traveling soldier,home
beastie boys,paul revere,licensed to ill
jewel,enter from the east,spirit
tears for fears,everybody wants to rule the world,songs from the big chair
alanis morissette,you oughta know,jagged little pill
james taylor,line 'em up,hourglass
forever plaid,no not much,forever plaid soundtrack
britney spears,don't let me be the last to know,oops! i did it again
the simpsons,two dozen and one greyhounds,songs in the key of springfield
wallflowers,josephine,bringing down the horse
they might be giants,subliminal,john henry
james taylor,steamroller (clean),greatest hits (james taylor)
matthew wilder,break my stride,i don't speak the language
tchaikovsky,nutcracker suite,
squirrel nut zippers,bent out of shape,bedlam ballroom
smash mouth,pacific coast party,smash mouth
hilary weeks,he hears me,he hears me
sheryl crow,letter to god,wildflower
mulan,a girl worth fighting for,mulan soundtrack
they might be giants,where do they make balloons?,no!
journey,open arms,escape
the simpsons,blessed be the guy that bonds (mcbain end credits),go simpsonic with the simpsons
the simpsons,end credits (renaissance version),songs in the key of springfield
aerosmith,cryin',get a grip
alanis morissette,right through you,jagged little pill
train,meet virginia,train
selena,amor prohibido,amor prohibido
omar enriquez,lola,
julie de azevedo,window to his love,window to his love
jewel,words get in the way,goodbye alice in wonderland
billy joel,piano man,piano man
sugar ray,stand and deliver,floored
jewel,cleveland,this way
weezer,cold dark world,weezer (2008)
blink 182,stay together for the kids,take off your pants and jacket
bad english,when i see you smile,bad english
our lady peace,clumsy,clumsy
tal bachman,she's so high,tal bachman
david cook,the truth,analog heart
lisa loeb,how,firecracker
sheryl crow,you're an original,c'mon c'mon
collective soul,10 yrs later,blender
dave matthews band,satellite,under the table &amp; dreaming
anastasia,journey to the past,anastasia soundtrack
the simpsons,end credits (addams family homage),songs in the key of springfield
weird al yankovic,the night santa went crazy,bad hair day
michael jackson,remember the time,dangerous
les mis&eacute;rables,night of anguish,les mis&eacute;rables soundtrack
red hot chili peppers,road trippin',californication
they might be giants,s-e-x-x-y,factory showroom
311,inner light spectrum,transistor
buggles,video killed the radio star,age of plastic
beatles,free as a bird,anthology 1
santana,love of my life,supernatural
aquabats,captain hampton and the midget pirates!,the fury of the aquabats
romantics,talking in your sleep,in heat
hootie and the blowfish,get out of my mind,looking for lucky
john williams,jurassic park theme,jurassic park soundtrack
no doubt,hey baby,rock steady
squirrel nut zippers,memphis exorcism,hot
boyz ii men,water runs dry,ii
queen,crazy little thing called love,the game
jackson 5,abc,abc
the simpsons,the city of new york vs. homer,go simpsonic with the simpsons
celine dion,when i fall in love,the colour of my love
tracy chapman,in the dark,let it rain
beach boys,in my room,surfer girl
enya,anywhere is,paint the sky with stars:  the best of enya
billy joel,an innocent man,an innocent man
enya,the celts,paint the sky with stars:  the best of enya
they might be giants,your racist friend,flood
jack johnson,sitting waiting wishing,in between dreams
the simpsons,hullaba lula (feat. kelsey grammar) (unaired bonus track),testify
lifehouse,you and me,lifehouse
modern english,i melt with you,after the snow
jewel,pieces of you,pieces of you
the simpsons,cletus the slack-jawed yokel,go simpsonic with the simpsons
u2,crumbs from your table,how to dismantle an atomic bomb
jewel,fat boy,spirit
les mis&eacute;rables,on parole - the bishop,les mis&eacute;rables soundtrack
barenaked ladies,tonight is the night i fell asleep at the wheel,maroon
