Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2017,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,1701612.34
2017,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Independent,2740.0
2009,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Independent,5000.0
2001,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,1593.75
2016,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,2083742.12
2005,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,1250.01
2006,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,1000.0
2007,U,4 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,1250.01
2006,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,2322.46
2003,U,2 yr Undergrad,8-OTHER,age 36 - 50,Financial_Independent,6440.67
2006,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,4025.0
2007,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,1261.0
2006,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,750.0
2019,U,5 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,6510.39
2010,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,46023.95
2005,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,115189.25
2006,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,1964.0
2000,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,487.5
2006,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,833.34
2002,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,2574.0
2010,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,1239.0
2003,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,311.5
2013,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,24983.51
2015,U,2 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,1259.0
2010,U,5 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,18009.0
2000,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,477.0
2001,U,2 yr Undergrad,7-BUS. NON-DEG,under age 22,Financial_Dependent,275.0
2019,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,12315.59
2010,U,2 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,2938.0
2007,U,4 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,250.0
2010,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,11741.5
2003,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,1850.0
2011,U,2 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,981.5
2007,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,4151.0
2002,U,2 yr Undergrad,8-OTHER,age 26 - 35,Financial_Independent,636.0
2013,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Dependent,25653.5
2003,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,250.0
2007,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,1250.0
2005,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,1737.5
2001,U,2 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,564.5
2004,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,500.0
2009,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,1000.0
2006,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,376133.19
2008,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,372855.61
2010,U,2 yr Undergrad,7-BUS. NON-DEG,age 26 - 35,Financial_Independent,3825.0
2013,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Independent,250.0
2015,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,8193.75
2007,U,4 yr Undergrad,3-SUNY SO,over age 50,Financial_Independent,14898.7
2003,U,2 yr Undergrad,7-BUS. NON-DEG,under age 22,Financial_Dependent,250.0
2009,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,8279.0
2009,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,4487.5
2002,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,4177.0
2013,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,6362.0
2004,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,4466.0
2015,U,4 yr Undergrad,9-CHAPTER XXII,under age 22,Financial_Independent,6489.0
2004,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,1828108.78
2002,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Independent,331924.45
2003,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,5500.0
2009,U,2 yr Undergrad,8-OTHER,age 26 - 35,Financial_Independent,500.0
2003,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,14501.67
2003,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,4790.52
2009,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,49298.25
2007,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,44697.84
2012,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,1404.5
2000,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,3834.0
2003,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,1000.0
2006,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,18332.5
2009,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,51026.5
2010,U,2 yr Undergrad,8-OTHER,under age 22,Financial_Dependent,413.0
2001,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,22919.5
2015,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,3052.0
2012,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,10000.0
2014,U,4 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,4681.0
2008,G,Grad,5-INDEPENDENT,under age 22,Financial_Dependent,937.5
2005,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Dependent,1250.0
2005,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,20917.5
2013,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,4434.0
2010,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,1852.5
2008,U,2 yr Undergrad,2-CUNY CC,over age 50,Financial_Independent,250.0
2016,U,2 yr Undergrad,7-BUS. NON-DEG,age 26 - 35,Financial_Independent,14755.0
2008,U,4 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,218571.67
2002,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,41598.61
2014,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,8469.0
2000,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,31238.64
2010,U,2 yr Undergrad,7-BUS. NON-DEG,age 36 - 50,Financial_Independent,42398.75
2019,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,8490.36
2013,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,267596.0
2001,U,2 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,1467.0
2005,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,250.0
2016,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,500.0
2008,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Independent,12755.86
2005,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,1754.5
2009,U,4 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,6904.42
2011,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,18331.5
2003,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Independent,5690.5
2012,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,36055.0
2018,U,2 yr Undergrad,4-SUNY CC,age 22 - 25,Financial_Independent,9075.0
2004,U,2 yr Undergrad,8-OTHER,age 22 - 25,Financial_Dependent,7450.0
2013,U,2 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,517.0
2016,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,852.0
2007,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Independent,2842.0
2016,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,38298.5
2002,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,11828.88
2013,U,4 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,14800.01
2004,U,2 yr Undergrad,7-BUS. NON-DEG,age 22 - 25,Financial_Independent,10112.5
2003,U,2 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,5317.16
