Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2000,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,1700.0
2012,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,19178.0
2008,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,250.0
2007,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,6513.5
2006,U,2 yr Undergrad,8-OTHER,age 22 - 25,Financial_Independent,1122.0
2009,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,6496.5
2017,U,2 yr Undergrad,7-BUS. NON-DEG,age 22 - 25,Financial_Independent,500.0
2005,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,21750.0
2006,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Independent,8700.0
2001,U,4 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Dependent,4751.0
2018,U,2 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,1000.0
2004,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,1500.0
2002,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,2215840.6
2018,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Independent,1000.0
2016,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Independent,5080.0
2019,U,2 yr Undergrad,6-BUS. DEGREE,age 36 - 50,Financial_Independent,41890.57
2008,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,5575.17
2000,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,14443.0
2006,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,1000.0
2013,U,2 yr Undergrad,1-CUNY SR,under age 22,Financial_Dependent,254393.0
2005,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,13249.16
2002,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,500.0
2005,U,4 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Independent,19997.0
2013,U,2 yr Undergrad,6-BUS. DEGREE,under age 22,Financial_Dependent,5500.0
2007,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Dependent,500.0
2018,U,2 yr Undergrad,7-BUS. NON-DEG,age 36 - 50,Financial_Independent,36259.58
