Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,Rhode Island,Physical Activity,Pedestrians/Walking,Community,Motor and Other Vehicles,LEG,052PED
2011,1,Arizona,Nutrition,Incentives,Restaurant/Retail,Tax on Sweetened Beverages,LEG,029INC
2010,1,New Jersey,Physical Activity,Appropriations,Restaurant/Retail,State Budget,LEG,002APP
2011,1,Missouri,Nutrition,Incentives,Restaurant/Retail,Streamlined Sales and Use Tax Agreement,LEG,029INC
2009,1,Missouri,Nutrition,Appropriations,Community,Food Products,LEG,002APP
2011,1,California,Physical Activity,Pedestrians/Walking,Community,Environment: CEQA Exemption: Roadway Improvement,LEG,052PED
2010,1,Iowa,Physical Activity,Bicycling,Community,Eluding A Law Enforcement Officer,LEG,005BIK
2012,1,Iowa,Nutrition,Agriculture and Farming,Community,An Act Providing for Charitable Food  Donations<br>,LEG,017AGF
2009,1,Massachusetts,Nutrition,Food Security,Restaurant/Retail,The Posting of Calorie Information,REG,023FOS
2011,1,Missouri,Nutrition,Disparities/Equity,Community,"Expenses, Grants, Refunds, and Distributions",LEG,013DEQ
2013,3,Illinois,Nutrition,Food Policy Councils,Community,"""Eat Local, Buy Illinois Products Day""",LEG,022FPC
2009,1,Utah,Nutrition,Nutrition Standards,Early Care and Education,Out of School Time Child Care Programs,REG,010NUS
2013,1,New York,Nutrition,Trans Fats,Restaurant/Retail,Act to Amend the Public Health Law to Ban Trans Fat,LEG,050FAT
2009,1,West Virginia,Nutrition,Farm Direct Foods,Community,Budget Bill,LEG,015FDF
2009,1,New Hampshire,Nutrition,Farm Direct Foods,Community,Farmers Markets,LEG,015FDF
2010,1,California,Obesity,Appropriations,Work Place,Health and Human Services: Federal Grant Opportunities,LEG,002APP
2012,1,Tennessee,Obesity,Body Mass Index (BMI),School/After School,Relative to Education<br>,LEG,006BMI
2008,1,New Jersey,Nutrition,Farmers Markets,School/After School,State Budget FY 2009 and 2010,LEG,016FAM
2011,1,New Mexico,Nutrition,Medical Care,Community,Bicycle Regulations,LEG,026MEC
2011,1,New York,Nutrition,School Nutrition,School/After School,Task Force on Food and Physical Education,LEG,043SNU
2015,1,Nevada,Obesity,Body Mass Index (BMI),School/After School,Provides for physical activity and BMI screening in schools,LEG,006BMI
2011,1,Idaho,Physical Activity,Disparities/Equity,School/After School,Local Land Use Planning and Production,LEG,013DEQ
2011,1,Hawaii,Physical Activity,Pedestrians/Walking,Community,Repair and Repaving Of Side Streets,LEG,052PED
2009,1,New York,Physical Activity,Bicycling,Work Place,Bicycle Access to Public Office Buildings,LEG,005BIK
2014,1,Tennessee,Obesity,Sugar Sweetened Beverages,Community,Fresh Food Financing Fund,LEG,046SSB
2010,1,Michigan,Obesity,Food Restrictions,Community,Locally Grown Farm Products,LEG,020FOR
2003,1,Minnesota,Physical Activity,Public Safety,School/After School,Education Finance,LEG,039SAF
2010,1,Tennessee,Nutrition,Trans Fats,Community,Mixed Use Development Improvements,LEG,050FAT
2010,1,Kentucky,Physical Activity,Physical Education Requirements,School/After School,Summer Learning Camps,LEG,036PER
2009,1,Missouri,Nutrition,Task Forces/Councils,School/After School,Office of Child Nutrition and Wellness,LEG,047TFC
2009,1,Massachusetts,Obesity,Appropriations,School/After School,School Nutrition,LEG,002APP
2004,1,Pennsylvania,Nutrition,School Nutrition,School/After School,House Resolution,LEG,043SNU
2002,1,District of Columbia,Nutrition,Farm Direct Foods,Community,An Act Making Appropriations   <br>,LEG,015FDF
2009,1,Massachusetts,Obesity,Access to Drinking Water,School/After School,School Nutrition,LEG,014ADW
2014,3,Missouri,Nutrition,Fruits and Vegetables,Restaurant/Retail,Sales Tax Exemption and SNAP use at Farmers Markets,LEG,025FAV
2011,1,California,Nutrition,Appropriations,Restaurant/Retail,Retail Food Facilities: Toys and Incentives,LEG,002APP
2011,1,Idaho,Nutrition,Agriculture and Farming,School/After School,Local Land Use Planning and Production,LEG,017AGF
2011,1,Connecticut,Nutrition,Incentives,Community,An Act Concerning the Governor's Council for Agricultural Development<br>,LEG,029INC
2016,1,Indiana,Nutrition,Food Assistance Programs,Community,Fresh food initiative; food desert grant and loan program<br>,LEG,003FAP
2010,1,Oklahoma,Obesity,Food Restrictions,Restaurant/Retail,Public Health And Safety,LEG,020FOR
2003,1,Louisiana,Obesity,Initiatives and Programs,Medical and/or Hospital,House Resolution<br>,LEG,053INP
2011,1,Maine,Nutrition,Nutrition Standards,School/After School,Food and Beverage Standards,LEG,010NUS
2009,1,Georgia,Nutrition,Nutrition Standards,School/After School,Bright from the Start Program,REG,010NUS
2011,1,Hawaii,Nutrition,Access to Healthy Foods,Community,Food and Medical Services,LEG,001AHF
2010,1,Maryland,Nutrition,Agriculture and Farming,Restaurant/Retail,Farmers Markets,LEG,017AGF
2004,1,Pennsylvania,Physical Activity,Bicycling,Work Place,House Resolution,LEG,005BIK
2011,1,Maine,Obesity,Appropriations,Restaurant/Retail,Farm Food Products Licensing Requirements,LEG,002APP
2011,1,Ohio,Obesity,Appropriations,School/After School,Ohio Sustainable Food Advisory Council,LEG,002APP
2010,1,Rhode Island,Nutrition,Food Assistance Programs,Medical and/or Hospital,Health Insurance,LEG,003FAP
2011,1,Oklahoma,Physical Activity,Task Forces/Councils,School/After School,Healthier Neighborhood Living Task Force,LEG,047TFC
2009,1,Massachusetts,Physical Activity,Pedestrians/Walking,Community,Student Nutrition and Wellness,LEG,052PED
2011,1,Connecticut,Obesity,Appropriations,Community,Affordable Housing Building Principles,LEG,002APP
2011,1,Texas,Nutrition,Fruits and Vegetables,Restaurant/Retail,Regulation of Food Sold at Farmers Markets.,LEG,025FAV
2014,1,New Mexico,Physical Activity,Built Environment and Street-Scale Design,Community,New Mexico Complete Streets Day,LEG,049BED
2010,1,Hawaii,Nutrition,School Nutrition,Community,Healthy Lifestyle Education,LEG,043SNU
2010,1,Hawaii,Nutrition,Appropriations,School/After School,Nutritional Guidelines,LEG,002APP
2011,1,Vermont,Nutrition,Healthier Food Retail and Food Deserts,Community,Blue Ribbon Tax Structure Commission,LEG,021HFR
2007,1,California,Physical Activity,"Parks, Recreation and Trails",Community,An Act to Amend the Health and Safety Code<br>,LEG,034PRT
2011,1,New York,Nutrition,Farm Direct Foods,Community,Lease of Community Garden Real Property,LEG,015FDF
2010,1,Mississippi,Nutrition,Agriculture and Farming,Restaurant/Retail,Farmers Markets,LEG,017AGF
2009,1,Washington,Nutrition,Medical Care,Community,Motorcycles and Bicycles,LEG,026MEC
2007,1,New Mexico,Physical Activity,Physical Activity Requirements,School/After School,An Act Making Appropriations <br>,LEG,035PAR
2015,1,Massachusetts,Obesity,Appropriations,School/After School,An Act to Reduce Childhood Obesity,LEG,002APP
2010,1,Oklahoma,Nutrition,School Nutrition,Community,Public Health And Safety,LEG,043SNU
2011,1,Oregon,Nutrition,Access to Healthy Foods,Community,The Oregon Food Policy Council,LEG,001AHF
2010,1,Rhode Island,Nutrition,Medical Care,Community,Motor and Other Vehicles,LEG,026MEC
2010,1,Illinois,Physical Activity,Pedestrians/Walking,School/After School,Appropriations For Capital Projects,LEG,052PED
2011,1,Michigan,Obesity,Menu Labeling,Community,Commercial Rehabilitation Act,LEG,032MNL
2011,1,Minnesota,Physical Activity,Appropriations,Community,Taxation,LEG,002APP
2009,1,Massachusetts,Obesity,Appropriations,School/After School,Physical Education Requirements in Schools,LEG,002APP
2011,1,Virginia,Physical Activity,Built Environment and Street-Scale Design,Community,US Route 1 Corridor Study,LEG,049BED
