Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2010,1,Colorado,Nutrition,Food Policy Councils,School/After School,Campaign to End Childhood Hunger By 2015,LEG,022FPC
2011,1,South Carolina,Nutrition,Appropriations,School/After School,School Sold Snacks,LEG,002APP
2009,1,Idaho,Nutrition,Media Campaigns,Restaurant/Retail,Rules of the Preferred Promotion Program,REG,031MDC
2009,1,Minnesota,Obesity,Appropriations,Community,Economic Development,LEG,002APP
2011,1,Colorado,Physical Activity,Public Transportation,Community,Senate Bill Funding Restriction,LEG,040TRS
2012,1,Hawaii,Nutrition,Access to Healthy Foods,Community,An Act Related to Hawaii-grown Produce<br>,LEG,001AHF
2011,1,Nevada,Obesity,Front of Package Labeling,Community,Use of Athletic Fields for Youth Sports,LEG,024FOP
2009,1,Vermont,Physical Activity,Built Environment and Street-Scale Design,Community,Transportation Program,LEG,049BED
2009,1,New Mexico,Physical Activity,Disparities/Equity,Community,Appropriation,LEG,013DEQ
2011,1,Nevada,Nutrition,Vending,School/After School,Trans Fats at Public Schools,LEG,051VEN
2011,1,Minnesota,Obesity,Liability and Indemnity,Community,Government,LEG,030LAI
2009,1,Vermont,Nutrition,Appropriations,School/After School,Farmers Markets,LEG,002APP
2005,1,Nevada,Physical Activity,Pedestrians/Walking,Community,Sidewalk Maintenance,LEG,052PED
2013,1,Illinois,Obesity,Access to Drinking Water,School/After School,An Act Concerning Appropriations,LEG,014ADW
2011,1,New York,Nutrition,Incentives,Restaurant/Retail,Local Produce Tax Credit,LEG,029INC
2010,1,Utah,Nutrition,Incentives,School/After School,Vending Machine Contents and Schools,LEG,029INC
2009,1,Texas,Nutrition,Appropriations,Early Care and Education,Early Childhood Health and Nutrition,LEG,002APP
2012,1,New York,Obesity,Body Mass Index (BMI),Work Place,Relates to Obesity Prevention<br>,LEG,006BMI
2011,1,Texas,Obesity,Appropriations,School/After School,Conference Committee Jurisdiction,LEG,002APP
2009,1,Massachusetts,Nutrition,Nutrition Standards,Community,Nutrition Standards for State Agencies,REG,010NUS
2010,1,Missouri,Obesity,Appropriations,Community,Farm to Institution Initiative,LEG,002APP
2007,1,Vermont,Obesity,Appropriations,School/After School,Local Foods,LEG,002APP
2011,1,Texas,Nutrition,Incentives,School/After School,Sweetened Beverages Tax,LEG,029INC
2010,1,District of Columbia,Nutrition,Task Forces/Councils,Medical and/or Hospital,Hospital and Medical Services Corporation,LEG,047TFC
2011,1,Hawaii,Nutrition,Fruits and Vegetables,Restaurant/Retail,Home Organic Produce Cooperatives,LEG,025FAV
2010,1,Colorado,Obesity,Appropriations,Community,Food Systems Advisory Council,LEG,002APP
2010,1,Louisiana,Physical Activity,Public Safety,Community,Special Districts,LEG,039SAF
2010,1,Rhode Island,Physical Activity,Built Environment and Street-Scale Design,Community,Pedestrians and Bicycles,LEG,049BED
