Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2011,1,Hawaii,Physical Activity,Appropriations,Community,Transit Oriented Development,LEG,002APP
2010,1,Colorado,Nutrition,Task Forces/Councils,Community,Campaign to End Childhood Hunger By 2015,LEG,047TFC
2009,1,Iowa,Nutrition,Task Forces/Councils,Restaurant/Retail,Local Food and Farm Task Force,LEG,047TFC
2011,1,Michigan,Nutrition,Agriculture and Farming,Community,"A Resolution Related to Buy Local, Select Pure Michigan Day <br>",LEG,017AGF
2012,1,California,Physical Activity,Disparities/Equity,Community,An Act Relating to Public Health  <br>,LEG,013DEQ
2011,1,Mississippi,Physical Activity,Task Forces/Councils,Community,Sweetened Beverages and Syrups Tax,LEG,047TFC
2008,1,Washington,Nutrition,Farm Direct Foods,Community,Farmers Market Nutrition Program (FMNP)),REG,015FDF
2011,1,Georgia,Nutrition,Point of Purchase Promotion,Community,Supplemental Appropriations,LEG,037POP
2013,1,Texas,Nutrition,Food Assistance Programs,Community,An Act Relating to a Nutrition and Wellness Education Pilot Program for Certain Recipients of Certain State Benefits,LEG,003FAP
2011,1,Utah,Nutrition,Healthier Food Retail and Food Deserts,Community,Soft Drink Taxes and Education Funding,LEG,021HFR
2007,1,California,Obesity,Appropriations,Community,Planning: Circulation Element: Transportation,LEG,002APP
2010,1,New Hampshire,Obesity,Appropriations,Community,Soft Drinks Tax,LEG,002APP
2011,1,Missouri,Obesity,Food Restrictions,Community,Farm to Table Advisory Board,LEG,020FOR
2011,1,California,Obesity,Food Restrictions,Community,Food Banks: Grants: Contributions: Income Tax Credits,LEG,020FOR
2011,1,New Mexico,Physical Activity,Physical Education Requirements,School/After School,Public Schools and Reserve Officer Training,LEG,036PER
2011,1,California,Physical Activity,Physical Education Requirements,School/After School,Academic Content Standards: Review Commission,LEG,036PER
2009,1,New York,Obesity,Menu Labeling,Community,Main Street Program,LEG,032MNL
2011,1,North Dakota,Physical Activity,Bicycling,Community,Overtaking a Bicycle,LEG,005BIK
2010,1,New Jersey,Nutrition,Appropriations,Community,Milk Coupons,LEG,002APP
2011,1,New York,Obesity,Appropriations,School/After School,Instruction in Physical Education,LEG,002APP
2010,1,Florida,Obesity,Food Restrictions,Community,Department of Agriculture and Consumer Services,LEG,020FOR
2010,1,Connecticut,Nutrition,Healthier Food Retail and Food Deserts,Community,Vending Machine Sales,LEG,021HFR
2009,1,Oklahoma,Obesity,Incentives,Restaurant/Retail,Revenue And Taxation,LEG,029INC
2011,1,New York,Obesity,Appropriations,Community,Commissioner of Motor Vehicles,LEG,002APP
2010,1,Oklahoma,Nutrition,Appropriations,Community,Public Health And Safety,LEG,002APP
2013,1,New Jersey,Obesity,Sugar Sweetened Beverages,Community,Urging the United States Food and Drug Administration to Regulate Energy Drinks,LEG,046SSB
2015,1,California,Nutrition,Farm Direct Foods,Community,Nutrition Incentive Matching Grant Program,LEG,015FDF
2013,4,California,Nutrition,Initiatives and Programs,Early Care and Education,Childhood Nutrition Training,LEG,053INP
2011,1,Kentucky,Nutrition,Agriculture and Farming,Community,Budget Bill Amendments,LEG,017AGF
2011,1,North Carolina,Obesity,Task Forces/Councils,Early Care and Education,Childhood Obesity Legislative Task Force,LEG,047TFC
2011,1,New York,Nutrition,Agriculture and Farming,Restaurant/Retail,State Farm Product Transportation Financed,LEG,017AGF
2012,1,Oregon,Nutrition,Appropriations,Community,Appropriations<br>,LEG,002APP
2013,1,Arkansas,Nutrition,Food Security,Community,Community Services Block Grant State Plan,REG,023FOS
2005,1,Illinois,Nutrition,Task Forces/Councils,Community,Food Systems Policy Council,LEG,047TFC
2009,1,Alabama,Physical Activity,Appropriations,Community,Public Education,LEG,002APP
2009,1,New York,Nutrition,Appropriations,Community,Health and Mental Hygiene Budget,LEG,002APP
2009,1,Massachusetts,Physical Activity,Public Transportation,Community,Transportation System Modernization,LEG,040TRS
2011,1,Hawaii,Physical Activity,Incentives,Medical and/or Hospital,Tax Credits,LEG,029INC
2012,1,New York,Nutrition,Task Forces/Councils,Early Care and Education,Relates to Obesity Prevention<br>,LEG,047TFC
2010,1,Illinois,Obesity,Food Restrictions,Community,Farmers Markets,LEG,020FOR
2011,1,Hawaii,Nutrition,Farm Direct Foods,Restaurant/Retail,School Meals,LEG,015FDF
2016,3,California,Nutrition,Task Forces/Councils,Community,Public health: food access.,LEG,047TFC
2009,1,Connecticut,Nutrition,Medical Care,School/After School,Bicycle and Pedestrian Access,LEG,026MEC
2007,1,New Mexico,Physical Activity,Physical Education Requirements,School/After School,Physical Education,LEG,036PER
2011,1,Illinois,Obesity,Appropriations,Community,Department Of Commerce And Economic Opportunity,LEG,002APP
2011,1,North Carolina,Obesity,Menu Labeling,School/After School,Healthy Schools Act,LEG,032MNL
2013,1,Minnesota,Physical Activity,Public Transportation,Community,An Act Relating to Transportation,LEG,040TRS
2009,1,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Bicycle and Motor Vehicle Collisions At Intersections,LEG,049BED
2001,1,Montana,Obesity,Appropriations,School/After School,School Breakfast Program,LEG,002APP
2011,1,New York,Nutrition,Agriculture and Farming,School/After School,State Farm Product Transportation Financed,LEG,017AGF
2007,1,California,Nutrition,Farm Direct Foods,School/After School,Pupil Nutrition: Trans Fat,LEG,015FDF
2011,1,District of Columbia,Nutrition,Access to Healthy Foods,School/After School,Contract Approval and Payment Authorization,LEG,001AHF
2009,1,Oregon,Nutrition,Farm Direct Foods,Community,Nutrition,LEG,015FDF
2011,1,Montana,Obesity,Incentives,Restaurant/Retail,Soft Drink Excise Tax,LEG,029INC
2007,1,Michigan,Nutrition,Farm Direct Foods,Community,House Resolution<br>,LEG,015FDF
2010,1,Alabama,Obesity,Appropriations,Community,Farmers Market,LEG,002APP
2010,1,Hawaii,Nutrition,Farm Direct Foods,School/After School,Artificial Trans Fat,LEG,015FDF
2011,1,Hawaii,Obesity,Health Insurance Coverage,Medical and/or Hospital,Health,LEG,028HIC
2009,1,Minnesota,Nutrition,Agriculture and Farming,School/After School,Financing of State Government,LEG,017AGF
2011,1,Texas,Obesity,Body Mass Index (BMI),Community,Specific Management District Creation and Tax,LEG,006BMI
2011,1,Texas,Nutrition,Nutrition Standards,School/After School,Sweetened Beverages Tax,LEG,010NUS
2011,1,Missouri,Nutrition,Fruits and Vegetables,Community,County Water Supply Lake Authority,LEG,025FAV
2009,1,California,Physical Activity,Physical Education Requirements,School/After School,Budget Act of 2009,LEG,036PER
2013,1,Mississippi,Obesity,Access to Drinking Water,Community,Compilation,REG,014ADW
2010,1,Rhode Island,Nutrition,Appropriations,Community,Taxation,LEG,002APP
2011,1,Texas,Physical Activity,"Parks, Recreation and Trails",Community,Lajitas Utility District No 1,LEG,034PRT
2011,1,Illinois,Obesity,Appropriations,Community,Public Aid Code,LEG,002APP
2012,1,Alabama,Nutrition,Farm Direct Foods,Community,An Act to Make Appropriations<br>,LEG,015FDF
2009,1,North Carolina,Physical Activity,Built Environment and Street-Scale Design,Community,Active Living Communities Commission,LEG,049BED
2009,1,New York,Obesity,Appropriations,Community,Waterfront Revitalization Demonstration Program,LEG,002APP
2011,1,New York,Nutrition,Food Assistance Programs,Medical and/or Hospital,Health Insurers,LEG,003FAP
2011,1,New York,Nutrition,Incentives,Restaurant/Retail,Food Retail Establishment Subsidization,LEG,029INC
2016,2,Florida,Nutrition,School Nutrition,School/After School,Healthy Food Financing Initiative,LEG,043SNU
2009,1,Pennsylvania,Obesity,Body Mass Index (BMI),Community,Transportation Code and the Vehicles Code,LEG,006BMI
2012,1,Indiana,Nutrition,Agriculture and Farming,Community,Resolution<br>,LEG,017AGF
2011,1,Hawaii,Nutrition,Incentives,Medical and/or Hospital,Health,LEG,029INC
2012,1,Hawaii,Nutrition,Farm Direct Foods,Community,An Act Relating to Agriculture,LEG,015FDF
2011,1,North Carolina,Physical Activity,Bicycling,Community,Lake James Village,LEG,005BIK
2010,1,Minnesota,Nutrition,Agriculture and Farming,Community,State Government,LEG,017AGF
2009,1,Maryland,Obesity,Appropriations,Work Place,State Employee and Retiree Benefits,LEG,002APP
2009,1,New York,Obesity,Portion Size,School/After School,Foods and Beverages on School Property,LEG,038POS
2010,1,Vermont,Nutrition,Incentives,Community,Smart Taxes,LEG,029INC
2011,1,Illinois,Obesity,Appropriations,Community,Legislative Resolution,LEG,002APP
2010,1,Michigan,Nutrition,Liability and Indemnity,Community,Department of Transportation,LEG,030LAI
2009,1,District of Columbia,Obesity,Menu Labeling,Community,View 14 Project,LEG,032MNL
2005,1,Connecticut,Nutrition,Initiatives and Programs,Community,An Act Concerning Farm Land Preservation<br>,LEG,053INP
2011,1,Oregon,Nutrition,Trans Fats,Restaurant/Retail,The Taxation of Sugar Sweetened Beverages,LEG,050FAT
2013,1,New York,Obesity,Portion Size,School/After School,New York State Healthy Kids Act,LEG,038POS
