Year,Quarter,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,PolicyTypeID,PolicyTopicID
2009,1,Connecticut,Nutrition,Medical Care,Community,Bonds,LEG,026MEC
2011,1,Tennessee,Physical Activity,Physical Activity Requirements,School/After School,Education,LEG,035PAR
2011,1,Maine,Nutrition,Access to Healthy Foods,Community,Electronic Benefits Transfers and Farmers Markets,LEG,001AHF
2010,1,Mississippi,Nutrition,Liability and Indemnity,Community,Town of Como,LEG,030LAI
2009,1,California,Nutrition,Medical Care,Community,Local Planning: Housing Element,LEG,026MEC
2011,1,Mississippi,Obesity,Appropriations,Restaurant/Retail,Organic Certification Program,LEG,002APP
2011,1,South Carolina,Nutrition,Vending,School/After School,School Sold Snacks,LEG,051VEN
2011,1,Hawaii,Nutrition,Correctional Facilities Farms Programs,Community,Medicaid,LEG,018CFP
2010,1,Michigan,Nutrition,Agriculture and Farming,Community,Community Health,LEG,017AGF
2010,1,Illinois,Obesity,Sugar Sweetened Beverages,Community,Food Stamp Benefits,LEG,046SSB
2011,1,Massachusetts,Nutrition,Disparities/Equity,School/After School,Public School Commercialism Commission,LEG,013DEQ
2011,1,Minnesota,Physical Activity,Public Safety,Community,Capital Improvements,LEG,039SAF
2006,1,New York,Nutrition,Disparities/Equity,Community,An Act to Amend Laws,LEG,013DEQ
2007,1,California,Nutrition,Trans Fats,School/After School,Pupil Nutrition: Trans Fat,LEG,050FAT
2011,1,New York,Obesity,Food Restrictions,Restaurant/Retail,Nutrition Standards for Restaurants,LEG,020FOR
2011,1,Nevada,Obesity,Appropriations,School/After School,Nutrition in Public Schools,LEG,002APP
2010,1,Maryland,Physical Activity,Bicycling,Community,Blue Ribbon Commission on Transportation Funding,LEG,005BIK
2010,1,New York,Nutrition,Appropriations,School/After School,Sale of Certain Foods in Vending Machines,LEG,002APP
2011,1,Arkansas,Nutrition,Agriculture and Farming,School/After School,Appropriation to the Department of Career Education,LEG,017AGF
2009,1,Illinois,Nutrition,Agriculture and Farming,School/After School,Local Food and Farms and Jobs Act,LEG,017AGF
2011,1,Maryland,Physical Activity,"Parks, Recreation and Trails",Community,Community Enhancement,LEG,034PRT
2011,1,Hawaii,Physical Activity,Pedestrians/Walking,Medical and/or Hospital,Health,LEG,052PED
2011,1,Michigan,Obesity,Menu Labeling,Restaurant/Retail,Agriculture Industry,LEG,032MNL
2009,1,Hawaii,Obesity,Menu Labeling,Community,Mixed use Transit Oriented Joint Development,LEG,032MNL
2010,1,Massachusetts,Obesity,Appropriations,Restaurant/Retail,Food Policy Council,LEG,002APP
2009,1,Hawaii,Nutrition,School Nutrition,School/After School,Public School Menu Plans,LEG,043SNU
2015,1,Minnesota,Nutrition,Disparities/Equity,Community,Urban Agriculture Development Grants,LEG,013DEQ
2003,1,Massachusetts,Obesity,Appropriations,School/After School,Transportation Modernization,LEG,002APP
2011,1,California,Obesity,Health Insurance Coverage,School/After School,Public Postsecondary Education: Joint-Use Facilities,LEG,028HIC
2010,1,Utah,Nutrition,Agriculture and Farming,Community,Agricultural Advisory Board,LEG,017AGF
2011,1,New York,Nutrition,Trans Fats,Community,Tax Increment Bonds Payable From Real Property Taxes Le,LEG,050FAT
2011,1,Louisiana,Physical Activity,Pedestrians/Walking,Community,Failure to Yield,LEG,052PED
2011,1,Texas,Physical Activity,"Parks, Recreation and Trails",Community,Imperial Redevelopment District,LEG,034PRT
2009,1,Maryland,Nutrition,Access to Healthy Foods,Community,Maryland Food and Hunger Policy Council,LEG,001AHF
2007,1,North Carolina,Nutrition,Appropriations,School/After School,2007 Appropriation Act,LEG,002APP
2005,1,Vermont,Nutrition,Incentives,Community,Fuel Production,LEG,029INC
2009,1,Ohio,Obesity,Food Restrictions,School/After School,Standards for Vending Machine Foods in Schools,LEG,020FOR
2009,1,Texas,Physical Activity,Physical Education Requirements,School/After School,Curriculum Requirements,REG,036PER
2009,1,New York,Nutrition,School Nutrition,School/After School,School Food Regulations,LEG,043SNU
2010,1,New York,Nutrition,Appropriations,Community,Commissioners of Agriculture and Markets,LEG,002APP
2010,1,Vermont,Physical Activity,Bicycling,Community,Agency of Transportation,LEG,005BIK
2011,1,Iowa,Obesity,Food Restrictions,Community,Agriculture and Natural Resources,LEG,020FOR
2010,1,New Jersey,Nutrition,Access to Healthy Foods,Community,Unneeded Public Property Sale and Lease,LEG,001AHF
2007,1,New York,Obesity,Appropriations,Community,Community Preservation Funds,LEG,002APP
2009,1,Maryland,Nutrition,Task Forces/Councils,Work Place,State Employee and Retiree Benefits,LEG,047TFC
2001,1,Massachusetts,Nutrition,Correctional Facilities Farms Programs,Community,An Act Making  Appropriations<br>,LEG,018CFP
2011,1,Rhode Island,Nutrition,Medical Care,Community,Planning and Land Use,LEG,026MEC
2005,1,California,Nutrition,School Nutrition,School/After School,School Meals,LEG,043SNU
2011,1,Minnesota,Physical Activity,Public Transportation,Community,Capital Investment,LEG,040TRS
2011,1,Texas,Physical Activity,"Parks, Recreation and Trails",Community,Utility District Creation,LEG,034PRT
2010,1,Hawaii,Physical Activity,Built Environment and Street-Scale Design,School/After School,Walk and Bike School Bus Programs,LEG,049BED
2009,1,Tennessee,Obesity,Front of Package Labeling,Community,Food and Food Products,LEG,024FOP
2011,1,Kentucky,Nutrition,Incentives,Work Place,State Employee Health Insurance,LEG,029INC
2001,1,Illinois,Nutrition,Farm Direct Foods,Community,An Act Making Appropriations,LEG,015FDF
2011,1,Washington,Nutrition,Incentives,Community,Categorical Exemptions for Development,LEG,029INC
2009,1,Minnesota,Physical Activity,Pedestrians/Walking,Community,Education,LEG,052PED
2011,1,Mississippi,Nutrition,School Nutrition,Community,Sweetened Beverages and Syrups Tax,LEG,043SNU
2011,1,California,Obesity,Appropriations,Community,Low-Income Housing Tax Credit Programs,REG,002APP
2009,1,Wisconsin,Physical Activity,Public Safety,Community,Tax Incremental District,LEG,039SAF
2011,1,Vermont,Obesity,Sugar Sweetened Beverages,Community,Blue Ribbon Tax Structure Commission,LEG,046SSB
2011,1,Texas,Obesity,Appropriations,Restaurant/Retail,Beverage Tax Imposition,LEG,002APP
2011,1,Oregon,Nutrition,Disparities/Equity,Community,Minimal Nutritional Value,LEG,013DEQ
2010,1,New Jersey,Physical Activity,Public Safety,Community,Property Tax Exemptions in Urban Enterprise Zones,REG,039SAF
2015,1,Texas,Nutrition,Sodium,Community,Creating a program to recognize Before and After-School Programs that promote healthy eating and physical activity,LEG,045SOD
2011,1,Connecticut,Nutrition,Food Assistance Programs,Medical and/or Hospital,Wellness Programs,LEG,003FAP
2011,1,New York,Nutrition,Appropriations,Community,Exemption from Tolls for Farmers,LEG,002APP
2007,1,Kentucky,Nutrition,Food Assistance Programs,Community,Nutrition,LEG,003FAP
2011,1,Missouri,Nutrition,Agriculture and Farming,Restaurant/Retail,Streamlined Sales and Use Tax Agreement,LEG,017AGF
2009,1,New York,Obesity,Appropriations,School/After School,Appropriations for Support of Government,LEG,002APP
2011,1,Maine,Obesity,Food Restrictions,School/After School,Schools and Locally Grown Food,LEG,020FOR
2015,2,Michigan,Nutrition,Access to Healthy Foods,School/After School,Education; other; certain fund-raising activities during school hour,LEG,001AHF
2009,1,Vermont,Nutrition,Farmers Markets,Community,Executive Branch,LEG,016FAM
2005,1,California,Nutrition,Farm Direct Foods,School/After School,California Fresh Start Fresh Start Pilot Program,LEG,015FDF
2009,1,Washington,Physical Activity,Access to Recreational Opportunities,Community,Community And Surplus Schools,LEG,004ARO
2005,1,Minnesota,Nutrition,Liability and Indemnity,Community,Capital Improvement Appropriations,LEG,030LAI
2015,1,District of Columbia,Nutrition,Media Campaigns,Community,Farmers Market Nutrition Incentive Fund,LEG,074MAM
2014,1,California,Nutrition,Disparities/Equity,School/After School,Market Match Nutrition Incentive Program,LEG,013DEQ
2012,1,Iowa,Physical Activity,Task Forces/Councils,Community,An Act Relating to Programs and Activities Under the Purview of the State Department of Health,LEG,047TFC
2009,1,Ohio,Nutrition,Incentives,School/After School,Nutritional Standards,LEG,029INC
2012,1,Kentucky,Nutrition,Initiatives and Programs,Work Place,State Employee Health Insurance<br>,LEG,053INP
2011,1,New York,Nutrition,School Nutrition,School/After School,Prohibiting the Sale of Certain Foods and Beverages,LEG,043SNU
2010,1,Oklahoma,Nutrition,Correctional Facilities Farms Programs,Medical and/or Hospital,Public Health And Safety,LEG,018CFP
2010,1,West Virginia,Nutrition,Farm Direct Foods,Community,Livestock Care Standards Board,LEG,015FDF
2011,1,Louisiana,Physical Activity,"Parks, Recreation and Trails",Community,Capital Outlay Budget,LEG,034PRT
2011,1,Iowa,Physical Activity,Pedestrians/Walking,Community,Complete Streets,LEG,052PED
2011,1,California,Nutrition,Fruits and Vegetables,School/After School,An Act Related to Pupil Nutrition<br>,LEG,025FAV
2011,1,Idaho,Obesity,Appropriations,Community,Food Tax Credits,LEG,002APP
2011,1,Texas,Obesity,Disparities/Equity,Community,Sweetened Beverages Tax,LEG,013DEQ
2007,1,Massachusetts,Physical Activity,"Parks, Recreation and Trails",Community,Town of Braintree Park Department,LEG,034PRT
2009,1,New Mexico,Obesity,Appropriations,Community,Special Districts,LEG,002APP
2010,1,New Jersey,Obesity,Menu Labeling,Community,District Zoning,REG,032MNL
2011,1,Illinois,Obesity,Appropriations,Community,Department of Human Services,LEG,002APP
2009,1,Missouri,Obesity,Appropriations,School/After School,Education Reform,LEG,002APP
2009,1,Texas,Physical Activity,Bicycling,School/After School,Specialty License Plates,LEG,005BIK
2011,1,Florida,Obesity,Appropriations,Community,Growth Management,LEG,002APP
2007,1,Utah,Nutrition,Incentives,Restaurant/Retail,Dairy Act,LEG,029INC
2010,1,Florida,Nutrition,Farm Direct Foods,Restaurant/Retail,School Food Service Programs,LEG,015FDF
