Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
3AP,18+,Schenectady,WESTCHESTER CARES ACTION PROGRAM,23,0,
3AP,18+,Putnam,"PUTNAM FAMILY AND COMMUNITY SERVICES, INC.",24,1,
2AP,18+,Orleans,County,96,6,
2AP,18+,Albany,UCP ASSN OF THE CAPITAL DIST,266,47,YES
3AP,0-17,Chenango,County,77,0,NO
3AP,18+,Manhattan,"REALIZATION CENTER, INC.",127,0,
2AP,0-17,Rockland,County,23,1,
3AP,18+,Warren,County,782,2,
2AP,0-17,Manhattan,NYC-HHC BELLEVUE HOSPITAL CENTER,112,2,NO
2AP,18+,Orange,CRYSTAL RUN AMBULATORY SURGERY CTR,37,4,
3AP,0-17,Erie,CATHOLIC CHARITIES OF BROOME COUNTY - DIOCESE,26,0,
2AP,18+,Cattaraugus,County,353,47,
2AP,0-17,Chemung,County,163,4,
3AP,18+,Manhattan,EAST HARLEM COUNCIL HUM SERV,119,0,NO
3AP,18+,Bronx,"UNITED BRONX PARENTS, INC.",401,1,NO
2AP,0-17,Steuben,CORNING HOSP,23,1,
3AP,18+,Onondaga,County,2657,6,
2AP,18+,Bronx,NYC-HHC NORTH CENTRAL BRONX HOSPITAL,573,93,
2AP,0-17,Monroe,UNIV OF ROCH MED CTR/STRONG MEMORIAL HOSPITAL,346,10,NO
3AP,18+,Albany,SETON HEALTH SYSTEM,149,0,NO
2AP,18+,Westchester,"SEARCH FOR CHANGE, INC.",28,10,
2AP,0-17,Schuyler,County,17,1,
3AP,18+,Oswego,CENTRAL NEW YORK BHCC,453,1,
3AP,18+,Genesee,County,120,1,NO
2AP,18+,Westchester,County,9028,1202,
2AP,18+,Brooklyn,ARMS ACRES,65,4,NO
3AP,18+,Chemung,"FAMILY SERVICES OF CHEMUNG COUNTY, INC.",195,0,NO
3AP,18+,Erie,"BRYLIN HOSPITALS, INC.",62,1,
3AP,18+,Queens,NYS CATHOLIC HEALTH PLAN INC,155,2,NO
2AP,18+,Manhattan,County,9325,670,
3AP,18+,Brooklyn,BE WELL PRIMARY HLTH CARE CTR,23,0,NO
2AP,18+,Dutchess,County,1255,152,
3AP,0-17,Brooklyn,LUTHERAN MEDICAL CENTER,30,0,NO
2AP,0-17,Rockland,SAINT DOMINIC'S FAMILY SERVICES,25,0,
2AP,18+,Queens,County,10406,1353,
3AP,0-17,Queens,"STEINWAY CHILD AND FAMILY SERVICES, INC.",57,0,NO
3AP,0-17,Columbia,COLUMBIA COUNTY DEPARTMENT OF HUMAN SERVICES,27,0,
2AP,18+,Saratoga,"FW OF SARATOGA, INC.",91,5,
