Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 422a,-59.11,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Copyright and IP Enforcement Directorate,Marks & Spencer,ASALV0084,-55.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Finance Directorate,Holiday Extra,MHUMP22,-32.2,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Trade Marks Directorate,Easyjet,Showl012,-14.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Computer hardware and software,Business Support Directorate,Website Toolbox,TTHOM0894,2.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Entertainment,Business Support Directorate,Personal expenses name witheld,48100,3.4,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Computer hardware and software,Business Support Directorate,Amazon.co.uk,ROMOU255,4.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Patents Directorate,Lothianbuses,JWILL,6.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Business Support Directorate,RingGo.com,TARTH047,7.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Business Support Directorate,RingGo.com,TARTH048,7.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Other,Business Support Directorate,Tesco,TARTH046,8.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Computer hardware and software,Business Support Directorate,dabs.com,ROMOU251,8.98,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon,ss010,11.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 408,12.46,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Other Stationery & General Supplies,Patents Directorate,Oriprobe,ROMOU254,12.71,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Other Stationery & General Supplies,Copyright and IP Enforcement Directorate,Affixit,ANBEC125,13.44,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,International Policy Directorate,Amazon,RGRE009,13.74,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Office Supplies,Business Support Directorate,Asda,yjohn344,14.1,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon ,TARTH045,15.7,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Copyright and IP Enforcement Directorate,London Transport,Fduts,16.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Trade Marks Directorate,Amazon,SHOWL014,16.66,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon,ss012,16.92,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Research Projects,Chief Executive's Office,Meeting Zone,ROMOU252,18.11,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Colour Centre (Newport),Maurice 406,19.02,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Other Stationery & General Supplies,Business Support Directorate,Rajapack,ANBEC117,19.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Other Stationery & General Supplies,Business Support Directorate,Big Depot,ANBEC124,20.69,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon ,TARTH044,21.25,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,ethib225,23.15,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Office Supplies,Business Support Directorate,Screwfix,Maurice 404 ,23.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Computer hardware and software,Business Support Directorate,Amazon.co.uk,ROMOU249,24.95,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon,ss013,25.19,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Office Supplies,Business Support Directorate,Office 2 Me,Maurice 400,25.67,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Computer hardware and software,Business Support Directorate,Websitepulse,ROMOU250,26.66,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Patents Directorate,NCP Car parks,HHART04,27.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Patents Directorate,NCP LONDON,KLAYT03,28.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Patents Directorate,NCP Parking,JWILL,28.8,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon,JHOWE2466730,29.45,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Entertainment,International Policy Directorate,Marks & Spencer ,JPTAK,29.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon,ss009,30.86,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Innovation Directorate,Easyjet,NIILE37,31.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,International Policy Directorate,Heathrow Express,RGRE008,32.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Entertainment,Business Support Directorate,asda,ss014,32.41,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 405,33.61,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Trade Marks Directorate,Bristol Airport Parking,SHOWL013,35.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Patents Directorate,Bristol Airport,HHART05,39.89,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Trade Marks Directorate,ESAYjET,MHAMB04,39.99,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Other Stationery & General Supplies,Business Support Directorate,The Packaging Store,ANBEC123,43.46,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence UK,Trade Marks Directorate,WWW.FLYBE.COAVC710,MHAMB03,45.48,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Copyright and IP Enforcement Directorate,Reed Business Information,SGILES,51.0,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Travel and subsistence Overseas,Patents Directorate,NCP Car parks,HHART07,52.5,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Books Newspapers & Publications,Business Support Directorate,Amazon,ss015,54.68,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice 424,55.34,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Newey & Eyre,Maurice422b,58.42,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Office Supplies,Business Support Directorate,Liscombe,yjohn334a,59.05,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Minor Building Works & Maintenance,Business Support Directorate,Brammer,Maurice 402,63.44,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Office Supplies,Business Support Directorate,Notetop,yjohn341,65.21,Not recorded
"Department for Business, Innovation and Skills",Intellectual Property Office,01/07/2010,Seminars and Conferences,Copyright and IP Enforcement Directorate,Leith's,ASALV0090,73.14,Not recorded
