UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
176,Stockport Council,322200-Social Community Care Supplies & Services - Adult : Shared Lives : ,Adult Placement (Shared Lives),Tender,Contract,01/07/2011,36,86,31/08/2018,Yes,31/08/2018,03/01/2018,"Â£477,465.00","Â£8,400,000.00",Independent Options,SME,2560910,SK7 5PE,Stockport- Services to People
193,Stockport Council,321015-Social Community Care Supplies & Services - Adult : Sheltered Accommodation : ,Extra Care,OJEU Tender,Contract,01/09/2013,36,72,31/08/2019,Yes,31/08/2019,31/01/2019,"Â£2,523,822.00","Â£15,142,932.00",Creative Support,Large,0027440IP,M1 2HF,Stockport- Services to People
199,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU Tender,Contract,01/04/2012,24,48,31/03/2018,Yes,31/03/2018,01/03/2018,"Â£500,622.00","Â£2,002,488.00",Berrycroft Manor,SME,6969431,SK6 3AU,Stockport- Services to People
200,Stockport Council,SOCIAL CARE SERVICES : Adult,Intermediate Care,OJEU Tender,Contract,01/04/2012,24,60,31/03/2018,Yes,31/03/2018,01/03/2018,"Â£1,084,512.00","Â£5,422,560.00",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
261,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability (103.1),Mini Competition (Internal),Contract,14/01/2014,36,48,13/01/2018,Yes,13/01/2018,01/09/2017,"Â£1,579,232.00","Â£6,316,928.00",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
262,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability (103.2),Mini Competition (Internal),Contract,17/03/2014,36,48,16/03/2018,Yes,16/03/2018,01/09/2017,"Â£68,888.00","Â£275,552.00",Community Integrated Care,VCSE,519996,WA8 7SP,Stockport- Services to People
263,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability (103.3 - Phase 1),Mini Competition (Internal),Contract,01/07/2014,36,48,30/06/2018,Yes,30/06/2018,30/09/2017,"Â£215,703.00","Â£862,812.00",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services and Purchasing Card,Call Off (External),Contract,01/04/2014,60,84,31/03/2019,No,31/03/2021,31/03/2018,"Â£400,000.00","Â£2,400,000.00",Barclays Bank PLC,Large,01026167,E14 4BB,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£2,816,633.89","Â£28,166,338.86",George Cox and Sons LTD,SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance, Retaining Walls ",OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£1,650,651.80","Â£16,506,517.97",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy/planned highways stuctural maintenance",OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£92,523.36","Â£1,017,757.01","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Carriageway Surfacing ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,01/08/2017,"Â£1,048,598.13","Â£11,534,579.44",Tarmac Limited,Large,7533961,WV4 6JP,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU Tender,Contract,01/12/2013,24,54,30/06/2018,Yes,30/06/2018,30/05/2018,"Â£4,200,000.00","Â£16,800,000.00",Various - see below,Various - see below,Various - see below,Various - see below,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,-,-,-,-,-,-,-,-,-,-,-,Aggregate Industries Ltd,Large,245717,RH1 3ES,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,-,-,-,-,-,-,-,-,-,-,-,J Hopkins Contractors Ltd,Large,1112562,M17 1LP,Stockport- Services to Place
381,Stockport Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,OJEU Tender,Contract,01/10/2014,36,48,30/09/2018,Yes,30/09/2018,01/07/2018,"Â£7,030.00","Â£21,090.00",Killgerm Chemicals Ltd,SME,2794829,WF5 9NA,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,31/03/2018,"Â£916,666.67","Â£10,083,333.33",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations/street lighting schemes,OJEU Tender,Contract,01/04/2009,60,120,31/03/2019,Yes,31/03/2019,31/03/2018,"Â£246,728.97","Â£2,714,018.69",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
