Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,18+,Suffolk,SOUTHSIDE HOSPITAL,444,38,
3AP,18+,Rockland,"REFUAH HEALTH CENTER, INC.",266,0,
2AP,18+,Queens,County,10188,1335,
3AP,0-17,Nassau,NORTH SHORE CHILD & FAMILY GUIDANCE ASSOCIATI,26,0,
3AP,18+,Orange,"REHABILITATION SUPPORT SERVICES, INC.",36,0,NO
2AP,18+,Brooklyn,"BROOKLYN CENTER FOR PSYCHOTHERAPY, INC.",51,4,
2AP,18+,Schenectady,ELLIS HOSPITAL,845,58,
3AP,0-17,Region,Region,3356,4,
2AP,0-17,Otsego,County,248,4,
2AP,18+,Greene,County,263,18,
3AP,18+,Bronx,County,14457,51,
2AP,18+,Bronx,DIASPORA COMMUNITY SERVICES  AI,36,3,
2AP,18+,Monroe,County,4120,313,
2AP,18+,Erie,County,4150,361,
2AP,0-17,Oneida,County,486,17,
2AP,18+,Washington,County,119,8,
3AP,18+,Yates,County,50,0,
3AP,18+,Cayuga,CONFIDENTIAL HELP FOR AL & DR,22,0,NO
2AP,18+,Queens,CHARLES B WANG COMM HTH CTR I,24,4,
3AP,18+,Rensselaer,County,1,0,
2AP,18+,Rockland,GOOD SAMARITAN HOSPITAL,142,30,YES
2AP,18+,Monroe,FINGER LAKES AREA COUNSELING AND RECOVERY AGY,58,2,
2AP,18+,Lewis,County,57,2,NO
3AP,18+,Oswego,"CATH CHAR/RC DIOCESE SYRACUSE, INC., OSWEGO",22,0,
3AP,18+,Manhattan,NYU DOWNTOWN HOSPITAL,42,0,NO
2AP,18+,Bronx,"ARGUS COMMUNITY, INC.",241,17,NO
2AP,18+,Brooklyn,"SPANISH SPEAKING ELDERLY COUNCIL-RAICES, INC.",24,0,NO
2AP,18+,Suffolk,"TRANSITIONAL SERVICES/NY FOR LONG ISLAND,INC.",32,16,YES
3AP,18+,Chautauqua,TLC HEALTH NETWORK,72,0,NO
3AP,18+,Albany,HUTCHINGS PSYCHIATRIC CENTER,215,4,
2AP,0-17,Queens,County,603,22,
2AP,18+,Bronx,"MENTAL HEALTH PROVIDERS OF WESTERN QUEENS, IN",46,4,
3AP,0-17,Manhattan,HELP/PROJECT SAMARITAN SVCS CORP,32,0,
3AP,18+,Brooklyn,ST. JOSEPH'S MEDICAL CENTER,53,0,NO
2AP,18+,Albany,PILGRIM PSYCHIATRIC CENTER,60,5,
2AP,18+,Monroe,MENTAL HEALTH ASSOCIATION OF ROCHES,22,3,
2AP,0-17,Manhattan,County,1750,64,
2AP,18+,Nassau,HUDSON RIVER HEALTH CARE,217,34,
3AP,18+,Suffolk,OMH STATE PC NETWORK,262,1,NO
2AP,18+,Nassau,County,5087,584,
3AP,18+,Niagara,NIAGARA COUNTY DEPARTMENT OF MENTAL HEALTH,169,1,
3AP,18+,Nassau,UCPA OF NASSAU COUNTY     INC,41,0,NO
3AP,0-17,Queens,OMH STATE PC NETWORK,57,0,
2AP,0-17,Bronx,"UNION COMMUNITY HEALTH CENTER, INC.",38,0,
3AP,18+,Brooklyn,"HOUSING WORKS HEALTH SERVICES III, INC.  D/B/",134,0,
2AP,0-17,Rensselaer,County,144,5,NO
3AP,18+,Warren,County,774,0,
3AP,0-17,Orange,"HUDSON RIVER HEALTHCARE, INC.",21,0,
2AP,18+,Columbia,"MENTAL HEALTH ASSOC/COLUMBIA-GREENE COS., INC",58,12,NO
3AP,0-17,Erie,MERCY HOSPITAL OF BUFFALO,50,0,
2AP,18+,Columbia,County,222,26,
3AP,18+,Monroe,"DEPAUL COMMUNITY SERVICES, INC.",64,0,
3AP,18+,Ulster,County,1090,6,
2AP,18+,Manhattan,"BOWERY RESIDENTS' COMMITTEE, INC.",113,20,NO
3AP,18+,Bronx,"POSTGRADUATE CENTER FOR MENTAL HEALTH, INC.",22,0,NO
