Player ID,Name,Assoc,Gender,Birth year
113207,A'ASA Junella,ASA,Female,1976.0
113276,A. QADER Bakhtiyar,IRQ,Male,
100002,AAA Shirchin,MGL,Male,
114572,AACHARYA Yashwant,IND,Male,1990.0
112267,AAL ALI Faisal,UAE,Male,1991.0
145778,AALTONEN Gabriela,SWE,Female,2009.0
100003,AALTONEN Joni,FIN,Male,1976.0
100004,AALTONEN Nina,FIN,Female,1981.0
100185,AAMAN Erik,SWE,Male,1985.0
100005,AARAS Arne,NOR,Male,1986.0
110737,AARAS Pal,NOR,Male,1992.0
131033,AARONS HUGHES Ruth,USA,Female,
145022,AARRAD Wahiba,MAR,Female,2003.0
100006,AAS Merje,EST,Female,1976.0
100007,AAS Oyvind,NOR,Male,1971.0
116168,AASEBO Anna,NOR,Female,1995.0
110761,AASEBO Marte,NOR,Female,1990.0
100008,AASSIF Mohamed,MAR,Male,1988.0
100009,ABACAN Jason,AUS,Male,1979.0
131032,ABAD Jorge,ESP,Male,
136164,ABADLI Wafi Chams Eddine,ALG,Male,2007.0
131540,ABAEI Ali Reza ^^,IRI,Male,1999.0
123482,ABAIEE Ali Reza,IRI,Male,
100010,ABAIMOVA Elena,RUS,Female,1976.0
135207,ABARAVICIUTE Laura,LTU,Female,2004.0
100011,ABARCA Patricio,CHI,Male,
100012,ABAS Crisanta,PHI,Female,1981.0
124035,ABAS Kono,SUR,Male,2000.0
100013,ABASHIDZE Natalia,GEO,Female,1983.0
131545,ABASI Amir Hossein ^^,IRI,Male,2000.0
113987,ABASOVA Gulnara,AZE,Female,1992.0
100236,ABASSI Mohamed Lazhar,TUN,Male,1988.0
137295,ABASSIA Cherif,TUN,Male,2006.0
123481,ABASZADE Mehrdad,IRI,Male,2001.0
131537,ABASZADE Mehrdad ^^,IRI,Male,2001.0
131710,ABAT Mael,FRA,Male,1999.0
122569,ABAZA Ahmed,EGY,Male,1996.0
131526,ABAZAR Danial ^^,IRI,Male,2001.0
111419,ABAZI Blerta,KOS,Female,1989.0
100015,ABBAS Alice,AUS,Female,1955.0
125166,ABBAS Ashraf,EGY,Male,
100016,ABBAS Daisy,AUS,Female,1982.0
137325,ABBAS Fadhel,BRN,Male,2004.0
100017,ABBAS Fahd,UAE,Male,1972.0
100018,ABBAS Fahim,PAK,Male,1986.0
100020,ABBAS Roy,AUS,Male,1985.0
100023,ABBAS Saleem,PAK,Male,1975.0
112051,ABBASI Amirhossein,IRI,Male,1993.0
134246,ABBASI Amirreza,IRI,Male,2000.0
111339,ABBASI MWINYI Mohamed,TAN,Male,
108135,ABBASI Saeid,IRI,Male,
100022,ABBASOVA Sevinj,AZE,Female,
121916,ABBASPOUR Amir Hossein,IRI,Male,2000.0
100024,ABBASSI Mohammad Ali,IRI,Male,
111060,ABBAT Alice,FRA,Female,1992.0
100025,ABBATE-BULATOVA Fliura,ITA,Female,1963.0
137326,ABBES Abdelwaheb,BRN,Male,2005.0
100026,ABBES Amina,ALG,Female,1985.0
137332,ABBES Mohamed,BRN,Male,1994.0
131030,ABBEY,GHA,Female,
100027,ABBOTT Dereck,RSA,Male,
111553,ABBOTT Kadesia,TTO,Female,1993.0
112141,ABBOTT Terell,TTO,Male,1989.0
100028,ABBOTTS Robert,ENG,Male,
145845,ABBURI Nava,USA,Male,1992.0
113998,ABDAGIC Isak,BIH,Male,1993.0
100029,ABDALA Bruno,BRA,Male,1986.0
122661,ABDALLA Ithar,EGY,Female,1995.0
144666,ABDALLA Yousif,QAT,Male,2009.0
129741,ABDALLAH Azza,SYR,Female,
118083,ABDALLAH Fouad,IRQ,Male,1994.0
124696,ABDALLAH Khalid,TAN,Male,
100030,ABDALLAH Kinty,TAN,Female,
124646,ABDALLAH Kunty Said,TAN,Male,
110971,ABDALRIDHA Mohammed,IRQ,Male,
111783,ABDAN Aly,KUW,Male,
100031,ABDEL GHANI EL BEZR Marwan,LBN,Male,1958.0
131029,ABDEL HALIM Hesham,EGY,Male,
131028,ABDEL Hatem,YEM,Male,
135544,ABDEL JABAR Hamadou ^^,NIG,Male,1996.0
135415,ABDEL NOUR Elie Joe ^^,LBN,Male,1995.0
125143,ABDEL-AZIM Sanaa,SYR,Female,
100032,ABDEL-AZIZ Farah,EGY,Female,1992.0
113488,ABDEL-AZIZ Salma,EGY,Female,1993.0
100033,ABDEL-AZIZ Samar,EGY,Female,
100055,ABDEL-AZIZ Shimaa,EGY,Female,1981.0
116723,ABDEL-AZIZ Youssef,EGY,Male,2000.0
100035,ABDEL-GHANY Ahmed,LBN,Male,
111760,ABDEL-HAMID Galila,YEM,Female,
114267,ABDEL-HAMID Wessam,IRQ,Male,
125157,ABDEL-KERIM Hoda,EGY,Female,
115253,ABDEL-KHALEK Yasmine,EGY,Female,1994.0
100038,ABDEL-LATIF Marwa,EGY,Female,1984.0
125154,ABDEL-SAHEB Amaal,IRQ,Female,
125153,ABDEL-SAHEB Feryal,IRQ,Female,
122183,ABDELAAL Adham,EGY,Male,2001.0
137506,ABDELAAL Anas,EGY,Male,2007.0
122184,ABDELAAL Farah,EGY,Female,2001.0
137475,ABDELALI Mariem ^^,BRN,Female,2005.0
133560,ABDELAZIZ Mariam,EGY,Female,2001.0
135593,ABDELAZIZ Omar,EGY,Male,2005.0
135609,ABDELAZIZ Sahar,EGY,Female,2001.0
131027,ABDELFATTAH Ashraf,EGY,Male,
131037,ABDELFATTAH Farah,EGY,Female,2000.0
133476,ABDELFATTAH Nour,EGY,Female,2003.0
