animal_name,hair,feathers,eggs,milk,airborne,predator,toothed,backbone,breathes,venomous,legs,domestic
turtle,0,0,1,0,0,0,0,1,1,0,4,1
chameleon,0,0,1,0,0,0,1,1,1,0,4,1
iguana,0,0,1,0,0,1,1,1,1,0,4,1
lizard,0,0,1,0,0,1,1,1,1,0,4,0
gecko,0,0,1,0,0,0,1,1,1,0,4,1
python,0,0,1,0,0,1,1,1,1,1,0,0
boa,0,0,1,0,0,1,1,1,1,0,0,0
adder,0,0,1,0,0,1,1,1,1,1,0,0
crocodile,0,0,1,0,0,1,1,1,1,0,4,0
alligator,0,0,1,0,0,1,1,1,1,0,4,0
gharial,0,0,1,0,0,1,1,1,1,0,4,0
skink,0,0,1,0,0,0,1,1,1,0,4,0
anchovy,0,0,1,0,0,0,0,1,0,0,0,0
flounder,0,0,1,0,0,0,0,1,0,0,0,0
halibut,0,0,1,0,0,0,0,1,0,0,0,0
mackerel,0,0,1,0,0,0,0,1,0,0,0,0
barracuda,0,0,1,0,0,1,1,1,0,0,0,0
marlin,0,0,1,0,0,0,0,1,0,0,0,0
trout,0,0,1,0,0,0,0,1,0,0,0,0
salamander,0,0,1,0,0,0,1,1,1,0,4,1
siren,0,0,1,0,0,0,1,1,1,0,2,0
tree frog,0,0,1,0,0,0,1,1,1,0,4,0
dart frog,0,0,1,0,0,0,1,1,1,0,4,0
firebelly,0,0,1,0,0,0,1,1,1,0,4,0
wart toad,0,0,1,0,0,0,1,1,1,0,4,0
mosquito,0,0,1,0,1,0,0,0,1,0,6,0
hornet,0,0,1,0,1,1,0,0,1,1,6,0
cricket,0,0,1,0,0,0,0,0,1,0,6,0
beetle,0,0,1,0,0,0,0,0,1,0,6,0
butterfly,1,0,1,0,1,0,0,0,1,0,6,0
palmetto,0,0,1,0,1,1,0,0,1,0,6,0
cockroach,0,0,1,0,0,0,0,0,1,0,6,0
mantis,0,0,1,0,0,1,0,0,1,0,6,0
dragonfly,0,0,1,0,1,0,0,0,1,0,6,0
aphid,0,0,1,0,0,0,0,0,1,0,6,0
cicada,0,0,1,0,1,0,0,0,1,0,6,0
antlion,0,0,1,0,1,0,0,0,1,0,6,0
scallop,0,0,1,0,0,0,0,0,0,0,0,0
spider,0,0,1,0,0,1,1,0,1,1,8,0
snail,0,0,1,0,0,0,0,0,1,0,0,0
silkworm,0,0,1,0,0,0,0,0,1,0,0,0
jellyfish,0,0,1,0,0,0,0,0,0,1,0,0
squid,0,0,1,0,0,0,0,0,0,0,0,0
